,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Brian Yang', 'Jascha Atmodikromo']","['[CAN] ', '[SUR] ']","['21-4', '21-9']",MS - Qualification,20171115
1,"['Denzel Sweet', 'Gaetan Depaquis']","['[SUR] ', '[] ']","['21-14', '21-18']",MS - Qualification,20171115
2,"['Danny Chen', 'Gavin Robinson']","['[SUR] ', '[BAR] ']","['21-18', '21-19']",MS - Qualification,20171115
3,"['Bons Vincent', 'Roche Young A Fat']","['[] ', '[SUR] ']","['21-14', '21-19']",MS - Qualification,20171115
4,"['Dylan Darmohoetomo', 'Shae Michael Martin']","['[SUR] ', '[BAR] ']","['21-12', '21-10']",MS - Qualification,20171115
5,"['Dylan Darmohoetomo', 'Naim Mohammed']","['[SUR] ', '[TTO] ']","['19-21', '23-21', '21-14']",MS,20171115
6,"['Brian Yang', 'Armando Gaitan']","['[CAN] ', '[MEX] ']","['21-17', '21-12']",MS,20171115
7,"['Soren Opti [6]', 'Anthony Mcnee']","['[SUR] ', '[JAM] ']","['21-15', '21-12']",MS,20171115
8,"['Kevin Yao Lin Zou', 'Jamal Jared Ronaldo Thijssen']","['[SUR] ', '[SUR] ']","['21-11', '21-17']",MS,20171115
9,"['Leodannis Martinez [4]', 'Jia Luo']","['[CUB] ', '[SUR] ']","['21-4', '21-6']",MS,20171115
10,"['Gareth Henry', 'Denzel Sweet']","['[JAM] ', '[SUR] ']","['21-7', '21-11']",MS,20171115
11,"['Dennis Coke [8]', 'Gilmar Jones']","['[JAM] ', '[SUR] ']","['21-16', '21-11']",MS,20171115
12,"['Danny Chen', 'Dakeil Jonathan Thorpe']","['[SUR] ', '[BAR] ']","['21-15', '14-21', '21-16']",MS,20171115
13,"['Damien Howell', 'Alroy Toney']","['[BAR] ', '[SUR] ']","['24-22', '21-14']",MS,20171115
14,['Timothy Chiu [7]'],['[CAN] '],[],MS,20171115
15,"['Mitchel Wongsodikromo', 'Cory Fanus']","['[SUR] ', '[BAR] ']","['21-16', '21-13']",MS,20171115
16,"['Osleni Guerrero [3]', 'Tariq Sweet']","['[CUB] ', '[SUR] ']","['21-4', '21-4']",MS,20171115
17,['Juan Del Prado'],['[SUR] '],[],MS,20171115
18,"['Christopher Alexander Martinez Salvador [5]', 'Samuel O’Brien Ricketts']","['[GUA] ', '[JAM] ']","['15-21', '22-20', '21-18']",MS,20171115
19,"['Mitch, Aubrey Nai Chung Tong', 'Bons Vincent']","['[SUR] ', '[] ']","['21-15', '21-14']",MS,20171115
