,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Jason Anthony Ho-Shue', 'Diego Mini']","['[CAN] ', '[PER] ']","['21-15', '21-10']",MS,20170427,"Havana , Cuba"
1,"['Haramara Gaitan', 'Paula La Torre Regal']","['[MEX] ', '[PER] ']","['23-21', '21-11']",WS,20170427,"Havana , Cuba"
2,"['Brittney Tam', 'Daniela Macias']","['[CAN] ', '[PER] ']","['21-14', '21-11']",WS,20170427,"Havana , Cuba"
3,"['Stephanie Pakenham', 'Adriana Artiz Ataury']","['[CAN] ', '[CUB] ']","['21-18', '21-14']",WS,20170427,"Havana , Cuba"
4,"['Alejandra Jose Paiz Quan', 'Noemi Almonte']","['[GUA] ', '[DOM] ']","['21-15', '21-18']",WS,20170427,"Havana , Cuba"
5,"['Tahimara Oropeza', 'Nikte Alejandra Sotomayor']","['[CUB] ', '[GUA] ']","['21-12', '21-14']",WS,20170427,"Havana , Cuba"
6,"['Jamie Subandhi', 'Maria Delia Zambrano']","['[USA] ', '[ECU] ']","['21-16', '21-8']",WS,20170427,"Havana , Cuba"
7,"['Cynthia Gonzalez', 'Camila Macaya']","['[MEX] ', '[CHI] ']","['21-9', '21-17']",WS,20170427,"Havana , Cuba"
8,"['Mariana Ugalde', 'Disha Gupta']","['[MEX] ', '[USA] ']","['21-17', '21-14']",WS,20170427,"Havana , Cuba"
9,"['Fernanda Saponara Rivva', 'Diana Corleto Soto']","['[PER] ', '[GUA] ']","['21-11', '21-12']",WS,20170427,"Havana , Cuba"
10,"['Yeily Mari Ortiz Rodriguez', 'Mariana Isabel Paiz Quan']","['[CUB] ', '[GUA] ']","['21-11', '21-6']",WS,20170427,"Havana , Cuba"
11,"['Sabrina Solis', 'Thalia Mengana Marrero']","['[MEX] ', '[CUB] ']","['21-9', '21-16']",WS,20170427,"Havana , Cuba"
12,"['Isabel Zhong', 'Daniela Zapata']","['[USA] ', '[PER] ']","['21-15', '21-9']",WS,20170427,"Havana , Cuba"
13,"['Ygor Coelho [1]', 'Nicolas Macias']","['[BRA] ', '[PER] ']","['21-13', '21-9']",MS,20170427,"Havana , Cuba"
14,"['Cristian Araya', 'Angel Herrera Rodríguez']","['[CHI] ', '[CUB] ']","['22-20', '16-21', '23-21']",MS,20170427,"Havana , Cuba"
15,"['Anibal Marroquin [7]', 'Yamit Gironza']","['[GUA] ', '[COL] ']",[],MS,20170427,"Havana , Cuba"
16,"['Paul-Antoine Dostie-Guindon', 'Mathew Fogarty']","['[CAN] ', '[USA] ']","['21-5', '21-9']",MS,20170427,"Havana , Cuba"
17,"['Howard Shu [3]', 'Luke Couture']","['[USA] ', '[CAN] ']","['21-12', '21-19']",MS,20170427,"Havana , Cuba"
18,"['Alonso Medel', 'Jose Guevara']","['[CHI] ', '[PER] ']","['21-19', '21-19']",MS,20170427,"Havana , Cuba"
19,"['Lino Munoz [6]', 'Daniel La Torre Regal']","['[MEX] ', '[PER] ']","['21-17', '21-11']",MS,20170427,"Havana , Cuba"
20,"['Leodannis Martinez', 'Cesar Adonis Brito Gonzalez']","['[CUB] ', '[DOM] ']","['21-15', '21-10']",MS,20170427,"Havana , Cuba"
21,"['Jason Anthony Ho-Shue', 'William Cabrera']","['[CAN] ', '[DOM] ']","['21-14', '21-10']",MS,20170427,"Havana , Cuba"
