,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Gabriel Urteaga Hammond', 'Nicolas Macias [1]']","['[PER] ', '[PER] ']",[],MS - Qualification,20170420
1,"['Mariano Novoa', 'Santiago De La Oliva Alzamora']","['[PER] ', '[PER] ']","['21-18', '21-15']",MS - Qualification,20170420
2,"['Gustavo Alfredo Salazar [4]', 'Renzo Camogliano Telge']","['[PER] ', '[PER] ']","['21-15', '21-17']",MS - Qualification,20170420
3,"['Fabricio Farias', 'Rodrigo Camogliano Telge']","['[BRA] ', '[PER] ']","['21-11', '21-15']",MS - Qualification,20170420
4,"['Diego Subauste Tokumura', 'Bryan Rodrigo Roque Caycho']","['[PER] ', '[PER] ']","['21-11', '21-10']",MS - Qualification,20170420
5,"['Matias Zamorano Ramos', 'Alfonso Garcia-Rosell [3]']","['[PER] ', '[PER] ']",[],MS - Qualification,20170420
6,"['Uriel Francisco Canjura Artiga', 'Leonardo Isa']","['[ESA] ', '[PER] ']","['21-2', '21-8']",MS - Qualification,20170420
7,"['Raul Blondet Martinez', 'Dennis Coke [2]']","['[PER] ', '[JAM] ']",[],MS - Qualification,20170420
8,"['Maria Delia Zambrano', 'Stefany Ying Chie Chen Chen']","['[ECU] ', '[PER] ']","['21-10', '21-9']",WS,20170420
9,"['Haramara Gaitan', 'Belen Troncoso']","['[MEX] ', '[CHI] ']","['21-5', '21-6']",WS,20170420
10,"['Daniela Macias', 'Katherine Wynter']","['[PER] ', '[JAM] ']","['21-12', '21-8']",WS,20170420
11,"['Nairoby Abigail Jimenez [3]', 'Johanna Breyne']","['[DOM] ', '[BEL] ']",['11-0'],WS,20170420
12,"['Samia Lima', 'Micaela Flores Vasquez De Velasco']","['[BRA] ', '[PER] ']","['21-11', '21-10']",WS,20170420
13,"['Ingrid Valeria Salas Huamani', 'Sara Michele Barrios Chiong']","['[PER] ', '[GUA] ']","['20-22', '21-13', '21-15']",WS,20170420
14,"['Micaela Castillo Salazar', 'Lauren Villalobos']","['[PER] ', '[CRC] ']","['26-24', '21-19']",WS,20170420
15,"['Paula La Torre Regal', 'Chiara Piazza']","['[PER] ', '[ITA] ']","['21-13', '21-16']",WS,20170420
16,"['Sofia Setim', 'Adelina Quiñones']","['[POR] ', '[MEX] ']","['21-17', '21-12']",WS,20170420
17,"['Jaqueline Lima', 'Ines Castillo']","['[BRA] ', '[PER] ']","['14-21', '21-16', '21-16']",WS,20170420
18,"['Nikte Alejandra Sotomayor [4]', 'Fernanda Saponara Rivva']","['[GUA] ', '[PER] ']","['21-16', '21-17']",WS,20170420
19,"['Disha Gupta', 'Thaina Bellido Garcia']","['[USA] ', '[PER] ']","['21-7', '21-8']",WS,20170420
20,"['Yaqueline Duarte', 'Daniela Zapata']","['[MEX] ', '[PER] ']","['21-18', '16-21', '21-16']",WS,20170420
21,"['Fatima Beatriz Centeno Fuentes', 'Ines Mendoza Rosell']","['[ESA] ', '[PER] ']","['21-8', '21-7']",WS,20170420
22,"['Yue Yang Cao', 'Aimee Moran [2]']","['[PER] ', '[WAL] ']",[],WS,20170420
23,"['Mario Cuba', 'Diego Mini', 'Phillip Chew', 'Ryan Chew']","['[PER] ', '[PER] ', '[USA] ', '[USA] ']","['22-24', '21-19', '21-19']",MD,20170420
24,"['Duarte Nuno Anjo', 'Anthony Mcnee']","['[POR] ', '[JAM] ']","['21-16', '21-15']",MS,20170420
25,"['Diego Mini', 'Diego Castillo']","['[PER] ', '[CHI] ']","['21-13', '21-12']",MS,20170420
26,"['Raul Blondet Martinez', 'Ruben Castellanos [7]']","['[PER] ', '[GUA] ']",[],MS,20170420
27,"['Rosario Maddaloni [2]', 'Nicolas Macias']","['[ITA] ', '[PER] ']","['21-13', '21-13']",MS,20170420
28,"['Rudolf Dellenbach [4]', 'Mariano Novoa']","['[ITA] ', '[PER] ']","['21-8', '21-10']",MS,20170420
29,"['Dennis Coke', 'Cory Fanus']","['[JAM] ', '[BAR] ']","['21-13', '21-18']",MS,20170420
30,"['Fabricio Farias', 'Nicholas Bonkowsky [5]']","['[BRA] ', '[TTO] ']","['21-16', '21-14']",MS,20170420
31,"['Uriel Francisco Canjura Artiga', 'Jose Guevara']","['[ESA] ', '[PER] ']","['21-7', '18-21', '24-22']",MS,20170420
32,"['Arturo Hernandez', 'Diego Subauste Tokumura']","['[MEX] ', '[PER] ']","['21-15', '21-17']",MS,20170420
33,"['Bruno Barrueto Deza', 'Alonso Medel']","['[PER] ', '[CHI] ']","['21-19', '21-13']",MS,20170420
34,"['Gustavo Alfredo Salazar', 'Mathew Fogarty']","['[PER] ', '[USA] ']","['21-9', '21-15']",MS,20170420
35,"['Adam Mendrek [3]', 'Rodolfo Ramirez']","['[CZE] ', '[GUA] ']",[],MS,20170420
36,"['Daniel La Torre Regal', 'Matias Zamorano Ramos']","['[PER] ', '[PER] ']","['21-10', '21-13']",MS,20170420
37,"['Nicolas Macias', 'Micaela Castillo Salazar', 'Ruben Castellanos', 'Nikte Alejandra Sotomayor']","['[PER] ', '[PER] ', '[GUA] ', '[GUA] ']",[],XD,20170420
38,"['Duarte Nuno Anjo', 'Sofia Setim', 'Mario Carrera Gracey', 'Johanna Breyne']","['[POR] ', '[POR] ', '[PER] ', '[BEL] ']",[],XD,20170420
39,"['Job Castillo', 'Anibal Marroquin']","['[MEX] ', '[GUA] ']",[],MS,20170420
40,"['Diego Mini', 'Paula La Torre Regal', 'Uriel Francisco Canjura Artiga', 'Fatima Beatriz Centeno Fuentes']","['[PER] ', '[PER] ', '[ESA] ', '[ESA] ']","['26-24', '21-18']",XD,20170420
41,"['Rodrigo Camogliano Telge', 'Micaela Flores Vasquez De Velasco', 'Diego Castillo', 'Belen Troncoso']","['[PER] ', '[PER] ', '[CHI] ', '[CHI] ']","['21-9', '21-11']",XD,20170420
42,"['Ygor Coelho [1]', 'Gabriel Urteaga Hammond']","['[BRA] ', '[PER] ']","['21-11', '21-7']",MS,20170420
43,"['Osleni Guerrero [6]', 'Christopher Alexander Martinez Salvador']","['[CUB] ', '[GUA] ']","['21-12', '21-12']",MS,20170420
44,"['Ygor Coelho [1]', 'Duarte Nuno Anjo']","['[BRA] ', '[POR] ']","['14-21', '21-16', '21-15']",MS,20170420
45,"['Osleni Guerrero [6]', 'Diego Mini']","['[CUB] ', '[PER] ']","['21-8', '21-11']",MS,20170420
46,"['Job Castillo', 'Rudolf Dellenbach [4]']","['[MEX] ', '[ITA] ']","['21-14', '21-16']",MS,20170420
47,"['Dennis Coke', 'Gustavo Alfredo Salazar']","['[JAM] ', '[PER] ']","['19-21', '21-12', '21-16']",MS,20170420
48,"['Fabricio Farias', 'Arturo Hernandez']","['[BRA] ', '[MEX] ']","['21-18', '21-19']",MS,20170420
49,"['Adam Mendrek [3]', 'Bruno Barrueto Deza']","['[CZE] ', '[PER] ']","['21-8', '21-10']",MS,20170420
50,"['Daniel La Torre Regal', 'Raul Blondet Martinez']","['[PER] ', '[PER] ']","['21-7', '21-6']",MS,20170420
51,"['Rosario Maddaloni [2]', 'Uriel Francisco Canjura Artiga']","['[ITA] ', '[ESA] ']","['21-9', '21-5']",MS,20170420
