,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Chi-Lin Wang', 'Chia Hsin Lee', 'Ruben Jille', 'Iris Tabeling']","['[TPE] ', '[TPE] ', '[NED] ', '[NED] ']","['21-12', '18-21', '21-10']",XD - Qualification,20170307,"Birmingham, England"
1,"['Xiao Min Lin', 'Wu Fang Chien', 'Jenny Moore', 'Victoria Williams']","['[TPE] ', '[TPE] ', '[ENG] ', '[ENG] ']","['21-18', '21-19']",WD - Qualification,20170307,"Birmingham, England"
2,"['Danny Bawa Chrisnanta [1]', 'Hendra Wijaya', 'Christopher Coles', 'Gregory Mairs']","['[SGP] ', '[SGP] ', '[ENG] ', '[ENG] ']","['21-19', '21-17']",MD - Qualification,20170307,"Birmingham, England"
3,"['Pawel Pietryja', 'Aneta Wojtkowska', 'Jakub Bitman', 'Alzbeta Basova']","['[POL] ', '[POL] ', '[CZE] ', '[CZE] ']","['21-15', '21-12']",XD - Qualification,20170307,"Birmingham, England"
4,"['Nadia Fankhauser [4]', 'Sannatasah Saniru', 'Evie Burbidge', 'Elizabeth Mcmorrow']","['[SUI] ', '[MAS] ', '[ENG] ', '[ENG] ']","['21-16', '21-16']",WD - Qualification,20170307,"Birmingham, England"
5,"['Ronan Labar', 'Audrey Fontaine', 'Ko-Chi Chang [4]', 'Hsin Tien Chang']","['[FRA] ', '[FRA] ', '[TPE] ', '[TPE] ']","['21-18', '21-19']",XD - Qualification,20170307,"Birmingham, England"
6,"['Ashwini Ponnappa', 'Reddy N. Sikki', 'Lauren Smith', 'Sarah Walker']","['[IND] ', '[IND] ', '[ENG] ', '[ENG] ']","['21-17', '16-21', '24-22']",WD - Qualification,20170307,"Birmingham, England"
7,"['Martin Campbell', 'Patrick Machugh', 'Adam Hall', 'Peter Mills']","['[SCO] ', '[SCO] ', '[SCO] ', '[ENG] ']","['21-17', '21-14']",MD - Qualification,20170307,"Birmingham, England"
8,"['Mark Lamsfuss', 'Isabel Herttrich', 'Robin Tabeling', 'Cheryl Seinen']","['[GER] ', '[GER] ', '[NED] ', '[NED] ']","['21-11', '21-14']",XD - Qualification,20170307,"Birmingham, England"
9,"['Bao Yixin', 'Yu Xiaohan', 'Lisa Kaminski', 'Hannah Pohl']","['[CHN] ', '[CHN] ', '[GER] ', '[GER] ']","['21-13', '21-4']",WD - Qualification,20170307,"Birmingham, England"
10,"['Wang Yilyu', 'Huang Dongping', 'Ben Lane', 'Jessica Pugh']","['[CHN] ', '[CHN] ', '[ENG] ', '[ENG] ']","['21-18', '21-14']",XD - Qualification,20170307,"Birmingham, England"
