,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Christopher Grimley', 'Sebastiaan Li']","['[SCO] ', '[NED] ']","['21-15', '21-9']",MS - Qualification ,20170913
1,"['Swarnaraj Bora', 'Wolfgang Gnedt']","['[IND] ', '[AUT] ']","['21-13', '21-8']",MS - Qualification ,20170913
2,"['Bodhit Joshi', 'Julien Carraggi']","['[IND] ', '[BEL] ']","['18-21', '21-17', '21-16']",MS - Qualification ,20170913
3,"['Daniel S. Farid', 'Johnnie Torjussen']","['[IND] ', '[ENG] ']","['21-12', '11-21', '21-13']",MS - Qualification ,20170913
4,"['Put Marijn', 'Vladimir Nikulov']","['[BEL] ', '[RUS] ']","['21-7', '21-12']",MS - Qualification ,20170913
5,"['Robert Mann [14]', 'Luke Pearce']","['[LUX] ', '[ENG] ']","['16-21', '21-19', '21-19']",MS - Qualification ,20170913
6,"['Sean Vendy', 'Sarah Walker', 'Nicklas Mathiasen', 'Gabriella Bøje']","['[ENG] ', '[ENG] ', '[DEN] ', '[DEN] ']","['21-10', '21-19']",XD - Qualification ,20170913
7,"['Steve Olesen', 'Sandra-Maria Jensen', 'Fabien Delrue', 'Lizzie Tolman']","['[DEN] ', '[DEN] ', '[FRA] ', '[ENG] ']","['17-21', '21-10', '21-18']",XD - Qualification ,20170913
8,"['Rasmus Messerschmidt [8]', 'Samuel Hsiao']","['[DEN] ', '[GER] ']","['20-22', '22-20', '21-12']",MS - Qualification ,20170913
9,"['Marius Myhre [4]', 'David Peng']","['[NOR] ', '[GER] ']","['21-13', '21-7']",MS - Qualification ,20170913
10,"['Daniel S. Farid', 'Bernardo Atilano [9]']","['[IND] ', '[POR] ']","['21-11', '21-18']",MS - Qualification ,20170913
11,"['Scott Evans [4]', 'Amanda Hogstrom', 'Eloi Adam', 'Vimala Heriau']","['[IRL] ', '[SWE] ', '[FRA] ', '[FRA] ']","['21-18', '21-12']",XD - Qualification ,20170913
12,"['Line Christophersen', 'Katia Normand [3]']","['[DEN] ', '[FRA] ']","['21-19', '21-17']",WS - Qualification ,20170913
13,"['Iben Bergstein [5]', 'Emma Karlsson']","['[DEN] ', '[SWE] ']","['21-12', '15-21', '22-20']",WS - Qualification ,20170913
14,"['Utkarsh Arora', 'Swarnaraj Bora', 'Christopher Grimley', 'Matthew Grimley']","['[IND] ', '[IND] ', '[SCO] ', '[SCO] ']","['15-21', '21-17', '21-18']",MD - Qualification ,20170913
15,"['Amalie Magelund', 'Freja Ravn', 'Maryna Ilyinskaya [2]', 'Yelyzaveta Zharka']","['[DEN] ', '[DEN] ', '[UKR] ', '[UKR] ']","['21-16', '18-21', '21-15']",WD - Qualification ,20170913
16,"['Alexandra Bøje', 'Sara Lundgaard', 'Adriana F. Goncalves', 'Sonia Goncalves']","['[DEN] ', '[DEN] ', '[POR] ', '[POR] ']","['21-16', '21-9']",WD - Qualification ,20170913
17,"['Maryna Ilyinskaya [8]', 'Anastasiia Semenova']","['[UKR] ', '[RUS] ']","['21-11', '21-12']",WS - Qualification ,20170913
18,"['Toma Junior Popov [16]', 'Rasmus Messerschmidt [8]']","['[FRA] ', '[DEN] ']","['21-19', '18-21', '21-17']",MS - Qualification ,20170913
19,"['Daniel S. Farid', 'Lars Schaenzler [5]']","['[IND] ', '[GER] ']","['21-18', '21-15']",MS - Qualification ,20170913
20,"['Christian Kirchmayr', 'Lukas Zevl']","['[SUI] ', '[CZE] ']","['21-14', '21-12']",MS - Qualification ,20170913
21,"['David Peng', 'Alex Vlaar']","['[GER] ', '[BUL] ']","['21-19', '18-21', '21-17']",MS - Qualification ,20170913
22,"['Mikkel Enghøj', 'Felix Burestedt [6]']","['[DEN] ', '[SWE] ']","['19-21', '21-18', '21-19']",MS - Qualification ,20170913
23,"['Bernardo Atilano [9]', 'Elias Bracke']","['[POR] ', '[BEL] ']","['21-16', '21-18']",MS - Qualification ,20170913
24,"['Søren Hald', 'Luís Enrique Peñalver [3]']","['[DEN] ', '[ESP] ']","['21-9', '19-21', '29-27']",MS - Qualification ,20170913
25,"['Matthew Grimley', 'Birger Abts']","['[SCO] ', '[BEL] ']","['18-21', '26-24', '21-16']",MS - Qualification ,20170913
26,"['Philip Seerup', 'Irina Amalie Andersen', 'Callum Hemming [3]', 'Fee Teng Liew']","['[DEN] ', '[DEN] ', '[ENG] ', '[ENG] ']","['21-18', '21-14']",XD - Qualification ,20170913
27,"['Toma Junior Popov [16]', 'Swarnaraj Bora']","['[FRA] ', '[IND] ']","['21-18', '21-19']",MS - Qualification ,20170913
28,"['Nhat Nguyen', 'Mikkel Enghøj']","['[IRL] ', '[DEN] ']","['21-15', '21-13']",MS - Qualification ,20170913
29,"['Lars Schaenzler [5]', 'Arnaud Merkle']","['[GER] ', '[FRA] ']","['21-12', '21-13']",MS - Qualification ,20170913
