,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Andrey Parakhodin', 'Hannes Gerberich']","['[RUS] ', '[GER] ']","['14-21', '22-20', '21-18']",MS - Qualification ,20171010
1,"['Sean Vendy', 'Sarah Walker', 'Vladimir Malkov', 'Elena Komendrovskaja']","['[ENG] ', '[ENG] ', '[RUS] ', '[RUS] ']","['21-17', '21-13']",XD - Qualification ,20171010
2,"['Peter Lang', 'Christopher Skrzeba']","['[GER] ', '[GER] ']","['21-12', '21-17']",MS - Qualification ,20171010
3,"['Yukino Nakai', 'Georgina Bland']","['[JPN] ', '[ENG] ']","['21-4', '21-15']",WS - Qualification ,20171010
4,"['Ilias Xanthou', 'Raymond Webster']","['[GRE] ', '[ENG] ']","['21-2', '21-6']",MS - Qualification ,20171010
5,"['Nikita Khakimov', 'Andrey Parakhodin', 'Lars Kros', 'Timo Stoffelen']","['[RUS] ', '[RUS] ', '[NED] ', '[NED] ']","['21-6', '21-13']",MD - Qualification ,20171010
6,"['Max Weisskirchen', 'Tobias Mund']","['[GER] ', '[GER] ']","['21-11', '21-9']",MS - Qualification ,20171010
7,"['Naoki Yamazawa', 'Phone Pyae Naing']","['[JPN] ', '[MYA] ']","['21-14', '15-21', '21-9']",MS - Qualification ,20171010
8,"['Olga Arkhangelskaya', 'Cendrine Hantz']","['[RUS] ', '[SUI] ']","['21-13', '11-21', '21-19']",WS - Qualification ,20171010
9,"['Ayla Huser', 'Zuzana Pavelkova']","['[SUI] ', '[CZE] ']","['21-8', '10-21', '21-14']",WS - Qualification ,20171010
10,"['Freek Golinski', 'Lise Jaques', 'Alex Vlaar', 'Iris Tabeling']","['[BEL] ', '[BEL] ', '[BUL] ', '[NED] ']","['21-9', '21-17']",XD - Qualification ,20171010
11,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Richard Eidestedt', 'Clara Nistad']","['[IND] ', '[IND] ', '[SWE] ', '[SWE] ']","['21-17', '21-12']",XD - Qualification ,20171010
12,"['Nikolaj Persson', 'Ari Trisnanto', 'David Kramer', 'Christoph Offermann']","['[GER] ', '[GER] ', '[GER] ', '[GER] ']","['21-14', '21-12']",MD - Qualification ,20171010
13,"['Kan Chao Yu', 'Birger Abts']","['[TPE] ', '[BEL] ']","['21-13', '15-21', '21-16']",MS - Qualification ,20171010
14,"['Ondřej Král', 'Samuel Hsiao']","['[CZE] ', '[GER] ']","['21-19', '14-21', '21-8']",MS - Qualification ,20171010
15,"['Jonathan Persson', 'Rowan Scheurkogel']","['[GER] ', '[BEL] ']","['21-14', '21-10']",MS - Qualification ,20171010
