,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Vitalij Durkin', 'Nina Vislova', 'Anton Kaisti', 'Jenny Nystrom']","['[RUS] ', '[RUS] ', '[FIN] ', '[FIN] ']","['21-19', '22-20']",XD - Qualification,20171024
1,"['Scott Evans', 'Amanda Hogstrom', 'Oliver Schaller', 'Celine Burkart']","['[IRL] ', '[SWE] ', '[SUI] ', '[SUI] ']","['21-15', '21-15']",XD - Qualification,20171024
2,"['Niclas Nohr', 'Sara Thygesen', 'Gregory Mairs', 'Jenny Moore']","['[DEN] ', '[DEN] ', '[ENG] ', '[ENG] ']","['21-18', '18-21', '21-15']",XD - Qualification,20171024
3,"['Jones Ralfy Jansen', 'Eva Janssens', 'Jelle Maas', 'Imke Van Der Aar']","['[GER] ', '[GER] ', '[NED] ', '[NED] ']","['21-15', '16-21', '22-20']",XD - Qualification,20171024
4,"['Johannes Pistorius', 'Lara Kaepplein', 'Matthew Clare', 'Victoria Williams']","['[GER] ', '[GER] ', '[ENG] ', '[ENG] ']","['17-21', '21-16', '21-9']",XD - Qualification,20171024
5,"['Ivan Sozonov', 'Evgeniya Kosetskaya', 'Alexandr Zinchenko', 'Olga Morozova']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['21-16', '21-7']",XD - Qualification,20171024
6,"['Ruben Jille', 'Emilie Lefel', 'Thom Gicquel', 'Delphine Delrue']","['[NED] ', '[FRA] ', '[FRA] ', '[FRA] ']","['21-19', '21-16']",XD - Qualification,20171024
7,"['Tinn Isriyanet [4]', 'Pacharapun Chochuwong', 'Peter Kaesbauer', 'Olga Konon']","['[THA] ', '[THA] ', '[GER] ', '[GER] ']","['21-17', '13-21', '21-14']",XD - Qualification,20171024
8,"['Kai Schaefer', 'Pierrick Cajot']","['[GER] ', '[FRA] ']","['21-14', '21-14']",MS - Qualification,20171024
9,"['Thomas Rouxel', 'Lee Cheuk Yiu']","['[FRA] ', '[HKG] ']","['21-12', '23-21']",MS - Qualification,20171024
10,"['Rasmus Gemke', 'Eetu Heino']","['[DEN] ', '[FIN] ']","['22-20', '22-20']",MS - Qualification,20171024
11,"['Wei Nan', 'Raul Must']","['[HKG] ', '[EST] ']","['21-16', '21-23', '24-22']",MS - Qualification,20171024
12,"['Scott Evans', 'Tien Minh Nguyen']","['[IRL] ', '[VIE] ']","['22-20', '18-21', '21-10']",MS - Qualification,20171024
13,"['Kenta Nishimoto', 'Erik Meijs']","['[JPN] ', '[NED] ']","['24-22', '21-15']",MS - Qualification,20171024
14,"['Lucas Corvee', 'Kieran Merrilees']","['[FRA] ', '[SCO] ']","['21-12', '21-14']",MS - Qualification,20171024
15,"['Takuma Ueda', 'Lucas Claerbout']","['[JPN] ', '[FRA] ']","['21-18', '21-17']",MS - Qualification,20171024
16,"['Niclas Nohr', 'Sara Thygesen', 'Jones Ralfy Jansen', 'Eva Janssens']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-10', '16-21', '21-16']",XD - Qualification,20171024
