,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Lu Chia Pin', 'Yang Ching Tun', 'Bjarne Geiss', 'Eva Janssens']","['[TPE] ', '[TPE] ', '[GER] ', '[GER] ']","['18-21', '21-16', '21-14']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
1,"['Oliver Schaller', 'Celine Burkart', 'Johannes Pistorius', 'Barbara Bellenberg']","['[SUI] ', '[SUI] ', '[GER] ', '[GER] ']","['21-12', '13-21', '23-21']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
2,"['Pawel Pietryja [3]', 'Aneta Wojtkowska', 'Daniel Benz', 'Theresa Wurm']","['[POL] ', '[POL] ', '[GER] ', '[GER] ']","['21-16', '21-14']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
3,"['Anton Kaisti', 'Jenny Nystrom', 'Ruben Jille', 'Iris Tabeling']","['[FIN] ', '[FIN] ', '[NED] ', '[NED] ']","['20-22', '21-12', '21-16']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
4,"['Raphael Beck', 'Carla Nelte', 'Jelle Maas [4]', 'Imke Van Der Aar']","['[GER] ', '[GER] ', '[NED] ', '[NED] ']","['21-13', '20-22', '21-15']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
5,"['Marcus Ellis', 'Lauren Smith', 'Alex Vlaar', 'Sannatasah Saniru']","['[ENG] ', '[ENG] ', '[BUL] ', '[MAS] ']","['21-11', '21-10']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
6,"['Jones Ralfy Jansen', 'Franziska Volkmann', 'Alexandr Zinchenko', 'Olga Morozova']","['[GER] ', '[GER] ', '[RUS] ', '[RUS] ']","['17-21', '21-14', '21-11']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
7,"['Priskila Siahaya', 'Julie Dawall Jakobsen']","['[INA] ', '[DEN] ']","['21-14', '21-17']",WS - Qualification,20170228,"Mülheim an der Ruhr, Germany"
8,"['Vasily Kuznetsov', 'Lea-Lyn Stremlau', 'Daniel Hess', 'Cisita Joity Jansen']","['[RUS] ', '[GER] ', '[GER] ', '[GER] ']","['21-18', '20-22', '21-16']",XD - Qualification,20170228,"Mülheim an der Ruhr, Germany"
9,"['Lianne Tan', 'Sonja Pekkola']","['[BEL] ', '[FIN] ']","['21-14', '21-18']",WS - Qualification,20170228,"Mülheim an der Ruhr, Germany"
