,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Chia Hung Lu', 'Lin Jhih Yun', 'Ferdinand Sinarta Surbakti', 'Cynthia Shara Ayunidha']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-16', '21-13']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
1,"['Jae Hwan Kim', 'Kim So Yeong', 'Hung Ying Yuan', 'Pei Shan Hsieh']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-16', '21-12']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
2,"['Chan Tsz Kit', 'Chow King Ling', 'Lu Chia Pin', 'Li Ting Peng']","['[HKG] ', '[HKG] ', '[TPE] ', '[TPE] ']","['18-21', '21-14', '21-15']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
3,"['Liao Kuan Hao', 'Chien Hui Yu', 'Chang Tak Ching', 'Tsang Wing Chiu Avery']","['[TPE] ', '[TPE] ', '[HKG] ', '[HKG] ']","['21-18', '21-18']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
4,"['Yu Leong, Alfred Lau', 'Chun Cheng Chen']","['[MAS] ', '[TPE] ']","['21-18', '21-6']",MS - Qualification,20170627,"Taipei, Chinese Taipei"
5,"['Huang Da Wei', 'Ankur Sangpang Rai']","['[TPE] ', '[IND] ']","['21-18', '21-12']",MS - Qualification,20170627,"Taipei, Chinese Taipei"
6,"['Ying Chun Lin', 'Ting Yu Liang [4]']","['[TPE] ', '[TPE] ']","['21-19', '15-21', '21-19']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
7,"['Hyang Im Kim [2]', 'Chang Ya Lan']","['[KOR] ', '[TPE] ']","['21-18', '21-11']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
8,"['I-Ting Lai', 'Hung En-Tzu']","['[TPE] ', '[TPE] ']","['21-9', '21-15']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
9,"['Chen Hsiao Huan', 'Joo I Jeon']","['[TPE] ', '[KOR] ']","['8-21', '21-17', '21-18']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
10,"['Lin Jhih Yun', 'Sekartaji Putri']","['[TPE] ', '[INA] ']","['21-18', '21-13']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
11,"['Lin Hsiang Ti', 'Tsang Wing Chiu Avery']","['[TPE] ', '[HKG] ']","['21-11', '19-21', '21-7']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
12,"['Natsumi Shimoda', 'Li Ting Peng [3]']","['[JPN] ', '[TPE] ']","['21-16', '21-6']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
13,"['Wen Chi Hsu', 'Chow King Ling']","['[TPE] ', '[HKG] ']","['21-17', '21-7']",WS - Qualification,20170627,"Taipei, Chinese Taipei"
14,"['Kim Won Ho', 'Seung Jae Seo', 'Lam Wai Lok [2]', 'Hee Chun Mak']","['[KOR] ', '[KOR] ', '[HKG] ', '[HKG] ']","['21-14', '21-15']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
15,"['Chang Kai Liang', 'Cheng Po Wei', 'Maftuki Muhammad', 'Habibi Zulfauzi']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-16', '21-8']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
16,"['Willian Astan', 'Ferdinand Sinarta Surbakti', 'Wei Chen', 'Chen-Ping Wei']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['18-21', '21-18', '21-14']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
17,"['Jong Woo Choi', 'Hui Tae Kim', 'Hilkiya Bl', 'Hiski Rumengan']","['[KOR] ', '[KOR] ', '[INA] ', '[INA] ']","['21-10', '21-8']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
18,"['Hyuk Gyun Choi', 'Park Kyung Hoon', 'Yu Leong, Alfred Lau', 'Yu Ming, Adam Lau']","['[KOR] ', '[KOR] ', '[MAS] ', '[MAS] ']","['21-17', '21-13']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
19,"['Kevin Ezra', 'Hendra Gustiawan', 'Kai Ho Tang', 'Hin Shun Wong']","['[INA] ', '[INA] ', '[ENG] ', '[ENG] ']","['21-17', '21-10']",MD - Qualification,20170627,"Taipei, Chinese Taipei"
20,"['Min Hyuk Kang', 'Ha Na Baek', 'Chan Tsz Kit', 'Chow King Ling']","['[KOR] ', '[KOR] ', '[HKG] ', '[HKG] ']","['21-15', '21-12']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
21,"['Liao Kuan Hao', 'Chien Hui Yu', 'Yu Jen Chi [2]', 'Chih Chen Lee']","['[TPE] ', '[TPE] ', '[TPE] ', '[TPE] ']","['21-16', '24-22']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
22,"['Chia-Han Lee [1]', 'Pai Yu Po', 'Chia Hung Lu', 'Lin Jhih Yun']","['[TPE] ', '[TPE] ', '[TPE] ', '[TPE] ']","['21-8', '22-20']",XD - Qualification,20170627,"Taipei, Chinese Taipei"
