,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Saurabh Sharma', 'Anoushka Parikh', 'Dinesh Chaudhry', 'Lalita Dahiya']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-10', '21-6']",XD - Qualification,20170328
1,"['Zhao Junpeng', 'Abhishek Yelegar']","['[CHN] ', '[IND] ']","['21-11', '21-9']",MS - Qualification,20170328
2,"['Akshay Raut [4]', 'Nimmi Patel', 'Rushikesh Mali', 'Seema Panchal']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-14', '21-15']",XD - Qualification,20170328
3,"['Chirag Shetty', 'Mahima Aggarwal', 'Kashish Sharma', 'Jagriti Nashier']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-17', '14-21', '8-2']",XD - Qualification,20170328
4,"['Dhruv Kapila', 'Kuhoo Garg', 'Raju Mohamed Rehan', 'J. Anees Kowsar']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-12', '21-13']",XD - Qualification,20170328
5,"['Gabrielle Adcock', 'Jessica Pugh', 'Shenan Christian', 'Riya Gajjar']","['[ENG] ', '[ENG] ', '[IND] ', '[IND] ']","['21-13', '21-5']",WD - Qualification,20170328
6,"['Harshit Aggarwal', 'Denis Grachev']","['[IND] ', '[RUS] ']","['21-15', '21-11']",MS - Qualification,20170328
7,"['Cynthia Shara Ayunidha [1]', 'Debora Rumate Vehrenica', 'Pinky Karki', 'Yania Taring']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-16', '21-8']",WD - Qualification,20170328
8,"['Dhanya Nair [4]', 'Riya Pillai', 'Shehjar Chowdhary', 'Anusha Goel']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-16', '21-13']",WD - Qualification,20170328
9,"['Satwiksairaj Rankireddy [2]', 'Maneesha K', 'Kona Tarun', 'Arathi Sara Sunil']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['14-21', '21-12', '22-20']",XD - Qualification,20170328
10,"['Rohan Kapoor [3]', 'Sanjana Santosh', 'Kapil Chaudhary', 'Riya Arolkar']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-14', '21-18']",XD - Qualification,20170328
11,"['Jae Hwan Kim', 'Lee So Hee', 'Vishal Thakran', 'Megha Morchana Bora']","['[KOR] ', '[KOR] ', '[IND] ', '[IND] ']","['21-8', '21-9']",XD - Qualification,20170328
12,"['Marcus Ellis', 'Lauren Smith', 'Reddy B. Sumeeth', 'Ashwini Ponnappa']","['[ENG] ', '[ENG] ', '[IND] ', '[IND] ']","['21-17', '21-18']",XD - Qualification,20170328
13,"['Vijeta Bhargava', 'Ekta Kalia', 'Priya Konjengbam', 'Maheshwari Devi Kshetrimayum']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']",[],WD - Qualification,20170328
14,"['Anto Agna', 'Sneha Santhilal', 'Mukherjee Riya', 'Karishma Wadkar']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-18', '24-22']",WD - Qualification,20170328
15,"['Rahul Yadav Chittaboina', 'Harsheel Dani']","['[IND] ', '[IND] ']","['12-21', '21-15', '21-12']",MS - Qualification,20170328
16,"['Solgyu Choi', 'Kim Gi Jung', 'Harinder Malik', 'Satinder Malik']","['[KOR] ', '[KOR] ', '[IND] ', '[IND] ']","['21-6', '21-6']",MD - Qualification,20170328
17,"['K. Nandagopal [3]', 'Sanyam Shukla', 'Venkatesh Prasad', 'Jagadish Yadav']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-4', '21-16']",MD - Qualification,20170328
18,"['Vighnesh Devlekar', 'Saurabh Sharma', 'Rushikesh Mali', 'Rajesh Krishnan Navaneethakrishnan']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-10', '21-13']",MD - Qualification,20170328
19,"['Nimmi Patel', 'Saruni Sharma', 'Sumitra Pujari', 'Manali Sinha']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['23-21', '21-17']",WD - Qualification,20170328
20,"['Ben Lane [2]', 'Sean Vendy', 'Krishna Prasad Garaga', 'Dhruv Kapila']","['[ENG] ', '[ENG] ', '[IND] ', '[IND] ']","['21-13', '21-6']",MD - Qualification,20170328
21,"['Shruti Mundada [2]', 'Anoushka Parikh', 'Dimpal Hazarika', 'Sanghamitra Saikia']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-9', '19-9']",WD - Qualification,20170328
22,"['Hendra Setiawan', 'Boon Heong Tan', 'Rohit Raturi', 'Mohit Tiwari']","['[INA] ', '[MAS] ', '[IND] ', '[IND] ']","['21-13', '21-11']",MD - Qualification,20170328
23,"['Kenta Nishimoto', 'Aditya Joshi']","['[JPN] ', '[IND] ']","['21-14', '21-11']",MS - Qualification,20170328
24,"['Supak Jomkoh', 'Pakin Kuna-Anuvit', 'Sanjay Jayaraj V', 'Aditya Nair']","['[THA] ', '[THA] ', '[IND] ', '[IND] ']","['21-8', '21-6']",MD - Qualification,20170328
25,"['Jeon Hyeok Jin', 'Siril Verma']","['[KOR] ', '[IND] ']","['21-14', '21-11']",MS - Qualification,20170328
26,"['Rasika Raje', 'Amolika Singh Sisodiya']","['[IND] ', '[IND] ']","['21-11', '15-21', '21-9']",WS - Qualification,20170328
27,"['Mahima Aggarwal [3]', 'Maneesha K', 'Smriti Nagarkoti', 'Parssa Naqvi']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-16']",WD - Qualification,20170328
28,"['Sai Uttejitha Rao Chukka', 'Lalita Dahiya']","['[IND] ', '[IND] ']","['21-12', '21-12']",WS - Qualification,20170328
29,"['Aakarshi Kashyap', 'Mugdha Agrey']","['[IND] ', '[IND] ']","['21-9', '21-12']",WS - Qualification,20170328
30,"['Balasubramannian Narendran Geetha', 'S. Sunjith (Jr)', 'Bhaskar Chakraborty [4]', 'Vishal Thakran']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-18']",MD - Qualification,20170328
31,"['Jae Hwan Kim', 'Yoo Yeon Seong', 'Bennet Antony', 'Arjun Kumar Reddy Malgari']","['[KOR] ', '[KOR] ', '[IND] ', '[IND] ']","['21-15', '21-18']",MD - Qualification,20170328
32,"['Kazumasa Sakai', 'Pratul Joshi']","['[JPN] ', '[IND] ']","['21-18', '21-5']",MS - Qualification,20170328
33,"['Debora Rumate Vehrenica [4]', 'Riya Pillai']","['[INA] ', '[IND] ']","['13-21', '21-18', '21-15']",WS - Qualification,20170328
34,"['Lee Cheuk Yiu', 'Hemanth M.Gowda']","['[HKG] ', '[IND] ']","['21-12', '21-11']",MS - Qualification,20170328
35,"['Anura Prabhudesai', 'Ira Sharma']","['[IND] ', '[IND] ']","['21-14', '21-13']",WS - Qualification,20170328
36,"['Deepali Gupta', 'Preethi Konadam']","['[IND] ', '[IND] ']","['22-20', '21-12']",WS - Qualification,20170328
37,"['Kwang Hee Heo', 'Shreyansh Jaiswal']","['[KOR] ', '[IND] ']","['21-8', '21-19']",MS - Qualification,20170328
38,"['Pardeshi Shreyanshi', 'Mudaliar Pooja']","['[IND] ', '[IND] ']",[],WS - Qualification,20170328
39,"['Vaidehi Choudhari', 'Smit Toshniwal']","['[IND] ', '[IND] ']","['21-12', '21-13']",WS - Qualification,20170328
40,"['Marcus Ellis', 'Lauren Smith', 'Rohan Kapoor [3]', 'Sanjana Santosh']","['[ENG] ', '[ENG] ', '[IND] ', '[IND] ']","['21-13', '21-14']",XD - Qualification,20170328
41,"['Rasika Raje', 'Aakarshi Kashyap']","['[IND] ', '[IND] ']","['21-18', '21-16']",WS - Qualification,20170328
42,"['Dhruv Kapila', 'Kuhoo Garg', 'Akshay Raut [4]', 'Nimmi Patel']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-15', '21-17']",XD - Qualification,20170328
43,"['Saurabh Sharma', 'Anoushka Parikh', 'Chirag Shetty', 'Mahima Aggarwal']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-18']",XD - Qualification,20170328
44,"['Jae Hwan Kim', 'Lee So Hee', 'Satwiksairaj Rankireddy [2]', 'Maneesha K']","['[KOR] ', '[KOR] ', '[IND] ', '[IND] ']","['21-9', '21-18']",XD - Qualification,20170328
