,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Le Thanh Lam', 'Ahsan Asif']","['[VIE] ', '[PAK] ']","['21-12', '21-15']",MS - Qualification,20171109
1,"['Quang Dinh Tran', 'Emran Rahim']","['[VIE] ', '[AFG] ']","['21-14', '21-9']",MS - Qualification,20171109
2,"['Chanmara Tep', 'Qamar Ahsan']","['[CAM] ', '[PAK] ']","['21-19', '14-21', '23-21']",MS - Qualification,20171109
3,"['Abdur Rehman [1]', 'Elyas Gharman']","['[PAK] ', '[AFG] ']",[],MS - Qualification,20171109
4,"['Raja Muhammad Hasnain', 'Sayed Imran Meri [3]']","['[PAK] ', '[AFG] ']","['21-12', '21-11']",MS - Qualification,20171109
5,"['Rizwan Muhammad', 'Shah Hussain Mosazai']","['[PAK] ', '[AFG] ']",[],MS - Qualification,20171109
6,"['Shoaib Riaz', 'Ahmad Nadim Mustafazada']","['[PAK] ', '[AFG] ']",[],MS - Qualification,20171109
7,"['Hashir Bashir [2]', 'Sayed Masoud Sayedy']","['[PAK] ', '[AFG] ']","['21-12', '21-15']",MS - Qualification,20171109
8,"['Le Thanh Lam', 'Hasibullha Nazari']","['[VIE] ', '[AFG] ']",[],MS - Qualification,20171109
9,"['Quang Dinh Tran', 'Fazal Rehman']","['[VIE] ', '[PAK] ']","['21-16', '19-21', '21-18']",MS - Qualification,20171109
10,"['Chanmara Tep', 'Said Shahabudin Aini [4]']","['[CAM] ', '[AFG] ']","['21-8', '21-5']",MS - Qualification,20171109
11,"['Anjum Bashir', 'Ahmed Nibal']","['[PAK] ', '[MDV] ']","['21-6', '21-13']",MS,20171109
12,"['Aljallad Ahmad [4]', 'Jamil Soban']","['[SYR] ', '[PAK] ']","['21-12', '25-23']",MS,20171109
13,"['Duc Phat Le [1]', 'Hashir Bashir']","['[VIE] ', '[PAK] ']","['21-14', '21-8']",MS,20171109
14,"['Khizra Rasheed', 'Zainab Yari']","['[PAK] ', '[AFG] ']",[],WS,20171109
15,"['Amir Saeed', 'Chanmara Tep']","['[PAK] ', '[CAM] ']","['23-21', '21-14']",MS,20171109
16,"['Murad Ali', 'Quang Dinh Tran']","['[PAK] ', '[VIE] ']","['21-9', '21-12']",MS,20171109
17,"['Awais Zahid', 'Enis Sesalan']","['[PAK] ', '[TUR] ']","['15-21', '21-15', '21-18']",MS,20171109
18,"['Yusuf Ramazan Bay', 'Abdur Rehman']","['[TUR] ', '[PAK] ']","['21-19', '21-13']",MS,20171109
19,"['Shoaib Riaz', 'Enamullah Faqiri']","['[PAK] ', '[AFG] ']","['21-10', '21-16']",MS,20171109
20,"['Azeem Sarwar', 'Hussein Zayan Shaheed [8]']","['[PAK] ', '[MDV] ']","['21-9', '21-11']",MS,20171109
21,"['Muhammad Muqeet Tahir', 'Rizwan Muhammad']","['[PAK] ', '[PAK] ']","['21-9', '21-16']",MS,20171109
22,"['Le Thanh Lam', 'Zohaib Khan Khalil']","['[VIE] ', '[PAK] ']","['21-17', '21-18']",MS,20171109
23,"['Duc Phat Le [1]', 'Anjum Bashir']","['[VIE] ', '[PAK] ']","['21-13', '21-15']",MS,20171109
24,"['Aljallad Ahmad [4]', 'Murad Ali']","['[SYR] ', '[PAK] ']","['21-18', '21-12']",MS,20171109
25,"['Rizwan Azam [6]', 'Shoaib Riaz']","['[PAK] ', '[PAK] ']","['21-15', '21-13']",MS,20171109
26,"['Azeem Sarwar', 'Muhammad Muqeet Tahir']","['[PAK] ', '[PAK] ']","['21-18', '21-15']",MS,20171109
27,"['Le Thanh Lam', 'Quang Dinh Tran', 'Raja Muhammad Hasnain', 'Amir Saeed']","['[VIE] ', '[VIE] ', '[PAK] ', '[PAK] ']","['21-16', '21-15']",MD,20171109
28,"['Muhammed Ali Kurt [5]', 'Dipesh Dhami']","['[TUR] ', '[NEP] ']","['21-7', '21-12']",MS,20171109
29,"['Bishnu Katwal', 'Sajan Krishna Tamrakar', 'Shah Hussain Mosazai', 'Hasibullha Nazari']","['[NEP] ', '[NEP] ', '[AFG] ', '[AFG] ']",[],MD,20171109
30,"['Murad Ali', 'Hashir Bashir', 'Elyas Gharman', 'Ahmad Nadim Mustafazada']","['[PAK] ', '[PAK] ', '[AFG] ', '[AFG] ']",[],MD,20171109
