,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Lim Zhen Ting', 'Chin Kah Mun', 'M Sulton Al Hakim [3]', 'Aprilsasi Putri Lejarsar Variella']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-16', '21-12']",XD - Qualification,20170904
1,"['Lin Shang Kai', 'Ye Jing Ya', 'Nonpakorn Nantatheero', 'Sarita Suwannakitborihan']","['[TPE] ', '[TPE] ', '[THA] ', '[THA] ']","['21-14', '21-19']",XD - Qualification,20170904
2,"['Tri Haryanto [2]', 'Fadilla Afni', 'Nguyen Van Viet', 'Do Thi Hoai']","['[INA] ', '[INA] ', '[VIE] ', '[VIE] ']","['21-17', '16-21', '24-22']",XD - Qualification,20170904
3,"['Ath Chiengwong', 'Kittipak Dubthuk', 'Fenta Age Prasetya', 'Monika Sandia']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-16', '21-12']",XD - Qualification,20170904
4,"['Yang Ming-Tse', 'Sung Shuo Yun', 'Yunosuke Kubota', 'Akane Watanabe']","['[TPE] ', '[TPE] ', '[JPN] ', '[JPN] ']","['18-21', '21-18', '21-14']",XD - Qualification,20170904
5,"['Lee Chia-Han', 'Lin Wan Ching', 'Muhammad Fachrikar', 'Zarra Faza Azka']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['22-20', '21-16']",XD - Qualification,20170904
6,"['Do Van Nhan [4]', 'Dinh Thi Phuong Hong', 'Wisnu Cahyo Saputro', 'Zahra Mahria Rossedy Permata']","['[VIE] ', '[VIE] ', '[INA] ', '[INA] ']","['21-17', '21-10']",XD - Qualification,20170904
7,"['Lee Jian Yi', 'Lee Zhi Qing', 'Chen Xin-Yuan', 'Chung Yu Feng']","['[MAS] ', '[MAS] ', '[TPE] ', '[TPE] ']","['21-14', '21-16']",XD - Qualification,20170904
8,"['Nguyen Thien Loc', 'Aditiya Dwiantoro']","['[VIE] ', '[INA] ']","['21-19', '21-11']",MS - Qualification,20170904
9,"['Yeoh Seng Zoe', 'Setthanan Piyawatcharavijit [8]']","['[MAS] ', '[THA] ']","['21-12', '14-21', '21-15']",MS - Qualification,20170904
10,"['Ho Nguyen Vinh Quang', 'Muhammad Syafiq Iqbal Mohd Nadzri']","['[VIE] ', '[MAS] ']",[],MS - Qualification,20170904
11,"['Soh Wooi Yik', 'Redy Perdana']","['[MAS] ', '[INA] ']","['21-13', '20-14']",MS - Qualification,20170904
12,"['Tri Haryanto', 'Jhotiswaran Karupathevan']","['[INA] ', '[MAS] ']","['21-14', '21-16']",MS - Qualification,20170904
13,"['Liu Wei Chi [7]', 'Tan Li Bin']","['[TPE] ', '[MAS] ']","['23-21', '21-12']",MS - Qualification,20170904
14,"['Thammasin Sitthikom', 'Mikael Dwi Putra']","['[THA] ', '[INA] ']","['21-15', '21-11']",MS - Qualification,20170904
15,"['Nugroho Andi Saputro', 'Vo Bao Thien']","['[INA] ', '[CAN] ']","['21-9', '21-16']",MS - Qualification,20170904
16,"['Muhammad Naim Ahmad Fairuzly', 'Pacharapol Nipornram [5]']","['[MAS] ', '[THA] ']","['21-17', '21-19']",MS - Qualification,20170904
17,"['Lau Yu Leong, Alfred', 'Ivan Kuzaev']","['[MAS] ', '[UZB] ']","['21-13', '15-21', '21-8']",MS - Qualification,20170904
18,"['Lai Yu-Hua', 'M Sulton Al Hakim']","['[TPE] ', '[INA] ']","['20-22', '21-7', '21-6']",MS - Qualification,20170904
19,"['Nguyen Thu Thao', 'Alexander Kim']","['[VIE] ', '[UZB] ']","['19-21', '21-16', '25-23']",MS - Qualification,20170904
20,"['Hung Chun Chung', 'Nguyen Hoang Nam [6]']","['[TPE] ', '[VIE] ']","['21-14', '21-10']",MS - Qualification,20170904
21,"['Kachain Buarung', 'Abdul Karim Hidayat']","['[THA] ', '[INA] ']","['21-14', '21-12']",MS - Qualification,20170904
22,"['Nonpakorn Nantatheero', 'Kim Thuan']","['[THA] ', '[VIE] ']","['21-8', '12-21', '21-11']",MS - Qualification,20170904
23,"['Yang Ming-Tse', 'Sung Shuo Yun', 'Ath Chiengwong', 'Kittipak Dubthuk']","['[TPE] ', '[TPE] ', '[THA] ', '[THA] ']","['21-19', '13-21', '21-17']",XD - Qualification,20170904
24,"['Lee Chia-Han', 'Lin Wan Ching', 'Lim Zhen Ting', 'Chin Kah Mun']","['[TPE] ', '[TPE] ', '[MAS] ', '[MAS] ']","['21-19', '21-16']",XD - Qualification,20170904
25,"['Lin Shang Kai', 'Ye Jing Ya', 'Do Van Nhan [4]', 'Dinh Thi Phuong Hong']","['[TPE] ', '[TPE] ', '[VIE] ', '[VIE] ']","['21-16', '23-21']",XD - Qualification,20170904
26,"['Lee Jian Yi', 'Lee Zhi Qing', 'Tri Haryanto [2]', 'Fadilla Afni']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['16-21', '21-15', '17-19']",XD - Qualification,20170904
27,"['Le Thu Huyen', 'Hung Yi-Ting']","['[VIE] ', '[TPE] ']","['21-12', '21-14']",WS - Qualification,20170904
28,"['Pardeshi Shreyanshi', 'Supanida Katethong']","['[IND] ', '[THA] ']","['21-18', '21-13']",WS - Qualification,20170904
29,"['Chen Hsiao Huan', 'Anura Prabhudesai']","['[TPE] ', '[IND] ']","['21-19', '21-11']",WS - Qualification,20170904
30,"['Liang Ting Yu', 'Tran Thi Phuong Thuy']","['[TPE] ', '[VIE] ']","['21-13', '21-16']",WS - Qualification,20170904
31,"['Yang Li Lian', 'Shikha Gautam']","['[MAS] ', '[IND] ']","['21-13', '14-21', '21-19']",WS - Qualification,20170904
32,"['Pacharapol Nipornram', 'Panachai Worasaktayanan', 'Alexander Kim', 'Artyom Savatyugin']","['[THA] ', '[THA] ', '[UZB] ', '[UZB] ']","['21-19', '18-21', '21-15']",MD - Qualification,20170904
33,"['Lin Ying Chun', 'Atitaya Povanon']","['[TPE] ', '[THA] ']","['21-18', '21-18']",WS - Qualification,20170904
34,"['Lu Chia Pin [4]', 'Wu Yuan Cheng', 'Aditiya Dwiantoro', 'Henry Jansen Putra Wibowo']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-12', '21-7']",MD - Qualification,20170904
35,"['Chen Tang Jie', 'Soh Wooi Yik', 'Do Van Nhan', 'Nguyen Van Viet']","['[MAS] ', '[MAS] ', '[VIE] ', '[VIE] ']","['21-12', '21-6']",MD - Qualification,20170904
36,"['Arun George', 'Sanyam Shukla', 'Chaloempon Charoenkitamorn', 'Mek Narongrit']","['[IND] ', '[IND] ', '[THA] ', '[THA] ']","['21-15', '21-18']",MD - Qualification,20170904
37,"['Chananchida Jucharoen', 'Chung Yu Feng']","['[THA] ', '[TPE] ']","['18-21', '21-7', '21-19']",WS - Qualification,20170904
38,"['Dinh Thi Phuong Hong', 'Piramon Chamnaktan']","['[VIE] ', '[THA] ']","['23-21', '23-21']",WS - Qualification,20170904
39,"['Drajat Beno', 'Tri Haryanto', 'Nathaniel Ernestan Sulistyo', 'Yu Jaspar Woon Chai']","['[INA] ', '[INA] ', '[INA] ', '[BRU] ']","['21-15', '21-15']",MD - Qualification,20170904
40,"['Chang Ko-Chi [3]', 'Chen Xin-Yuan', 'Fenta Age Prasetya', 'Wisnu Cahyo Saputro']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-16', '21-19']",MD - Qualification,20170904
41,"['Inkarat Apisuk', 'Tanupat Viriyangkura', 'Hari Kiran Chereddi', 'K. Ajay Kumar']","['[THA] ', '[THA] ', '[IND] ', '[IND] ']","['21-9', '21-8']",MD - Qualification,20170904
42,"['Andika Ramadiansyah', 'Yantoni Edy Saputra', '- Hantoro', 'Rafiddias Akhdan Nugroho']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-11', '21-16']",MD - Qualification,20170904
