,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Ruben Jille [2]', 'Iris Tabeling', 'Konstantin Abramov', 'Anastasia Chervyakova']","['[NED] ', '[NED] ', '[RUS] ', '[RUS] ']","['22-20', '15-21', '23-21']",XD - Qualification,20170314
1,"['Marcus Ellis', 'Lauren Smith', 'Andreas Zbinden', 'Nadia Fankhauser']","['[ENG] ', '[ENG] ', '[SUI] ', '[SUI] ']","['21-6', '21-11']",XD - Qualification,20170314
2,"['Johannes Pistorius [4]', 'Barbara Bellenberg', 'Florent Riancho', 'Sabrina Jaquet']","['[GER] ', '[GER] ', '[FRA] ', '[SUI] ']","['21-19', '21-17']",XD - Qualification,20170314
3,"['Bjorn Seguin', 'Gabriela Stoeva', 'Bjarne Geiss', 'Eva Janssens']","['[USA] ', '[BUL] ', '[GER] ', '[GER] ']","['21-15', '21-15']",XD - Qualification,20170314
4,"['Stilian Makarski', 'Diana Dimova', 'Kyrill Schaffluetzel', 'Sabrina Angehrn']","['[BUL] ', '[BUL] ', '[SUI] ', '[SUI] ']","['21-13', '21-15']",XD - Qualification,20170314
5,"['Jones Ralfy Jansen', 'Franziska Volkmann', 'Alex Vlaar', 'Sannatasah Saniru']","['[GER] ', '[GER] ', '[BUL] ', '[MAS] ']","['24-22', '21-16']",XD - Qualification,20170314
6,"['Tontowi Ahmad', 'Gloria Emanuelle Widjaja', 'Silvan Furrer', 'Chantal Von Rotz']","['[INA] ', '[INA] ', '[SUI] ', '[SUI] ']","['21-12', '21-10']",XD - Qualification,20170314
7,"['Priskila Siahaya', 'Chang Ya Lan']","['[INA] ', '[TPE] ']","['18-21', '21-13', '21-12']",WS - Qualification,20170314
8,"['Kusumah Sandy Darma', 'Khairunnisa Imma Muthiah', 'Thomas Bless', 'Jennifer Kobelt']","['[INA] ', '[INA] ', '[SUI] ', '[SUI] ']","['21-6', '21-13']",XD - Qualification,20170314
9,"['Ayla Huser', 'Jenjira Stadelmann']","['[SUI] ', '[SUI] ']","['21-17', '21-13']",WS - Qualification,20170314
10,"['Rui Chen Yap', 'Sonja Pekkola']","['[MAS] ', '[FIN] ']","['21-17', '21-6']",WS - Qualification,20170314
11,"['Agnes Korosi', 'Cendrine Hantz']","['[HUN] ', '[SUI] ']","['11-21', '21-13', '21-10']",WS - Qualification,20170314
12,"['Nadia Fankhauser', 'Natalya Voytsekh [4]']","['[SUI] ', '[UKR] ']",[],WS - Qualification,20170314
13,"['Cai Yanyan', 'Theresa Wurm']","['[CHN] ', '[GER] ']","['21-10', '21-10']",WS - Qualification,20170314
14,"['Sayaka Takahashi', 'Yvonne Li [2]']","['[JPN] ', '[GER] ']",[],WS - Qualification,20170314
15,"['Ronja Stern', 'Sabrina Angehrn']","['[SUI] ', '[SUI] ']","['21-12', '21-8']",WS - Qualification,20170314
16,"['Ronja Stern', 'Chantal Von Rotz', 'Linda Efler', 'Eva Janssens']","['[SUI] ', '[SUI] ', '[GER] ', '[GER] ']",[],WD - Qualification,20170314
17,"['Bjarne Geiss', 'Johannes Pistorius', 'Ko-Chi Chang', 'Lin Yu Hsien']","['[GER] ', '[GER] ', '[TPE] ', '[TPE] ']","['21-9', '17-21', '21-19']",MD - Qualification,20170314
18,"['Hendra Setiawan', 'Boon Heong Tan', 'Titon Gustaman', 'Stilian Makarski']","['[INA] ', '[MAS] ', '[INA] ', '[BUL] ']","['21-11', '21-16']",MD - Qualification,20170314
19,"['Milosz Bochat [3]', 'Adam Cwalina', 'Jacco Arends', 'Ruben Jille']","['[POL] ', '[POL] ', '[NED] ', '[NED] ']","['21-18', '21-15']",MD - Qualification,20170314
20,"['Nikita Khakimov [4]', 'Andrey Parakhodin', 'Julien Scheiwiller', 'Iztok Utrosa']","['[RUS] ', '[RUS] ', '[SUI] ', '[SLO] ']","['21-19', '14-21', '22-20']",MD - Qualification,20170314
21,"['Mohd Razif Abdul Latif', 'Muhammad Hafiz Hashim', 'Vanmael Heriau', 'Florent Riancho']","['[MAS] ', '[MAS] ', '[FRA] ', '[FRA] ']","['21-13', '21-12']",MD - Qualification,20170314
22,"['Ronan Labar', 'Brice Leverdez', 'Mathias Bonny', 'Gilles Tripet']","['[FRA] ', '[FRA] ', '[SUI] ', '[SUI] ']","['21-13', '21-16']",MD - Qualification,20170314
23,"['Kohei Gondo', 'Tatsuya Watanabe', 'Agung Ruhanda', 'Kusumah Sandy Darma']","['[JPN] ', '[JPN] ', '[SUI] ', '[INA] ']","['21-11', '21-18']",MD - Qualification,20170314
24,"['Henri Aarnio [2]', 'Iikka Heino', 'Pierrick Deschenaux', 'Oliver Schaller']","['[FIN] ', '[FIN] ', '[SUI] ', '[SUI] ']","['21-15', '17-21', '21-17']",MD - Qualification,20170314
25,"['Priskila Siahaya', 'Ronja Stern']","['[INA] ', '[SUI] ']","['21-6', '21-12']",WS - Qualification,20170314
26,"['Rui Chen Yap', 'Ayla Huser']","['[MAS] ', '[SUI] ']","['21-10', '21-15']",WS - Qualification,20170314
27,"['Marcus Ellis', 'Lauren Smith', 'Johannes Pistorius [4]', 'Barbara Bellenberg']","['[ENG] ', '[ENG] ', '[GER] ', '[GER] ']","['21-5', '21-8']",XD - Qualification,20170314
