,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Yuki Kaneko', 'Koharu Yonemoto', 'Chang Tak Ching', 'Ng Wing Yung']","['[JPN] ', '[JPN] ', '[HKG] ', '[HKG] ']","['21-18', '18-21', '21-17']",XD - Qualification,20171121
1,"['Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin', 'Yohanes Rendy Sugiarto', 'Cynthia Shara Ayunidha']","['[MAS] ', '[INA] ', '[INA] ', '[INA] ']","['18-21', '21-7', '21-9']",XD - Qualification,20171121
2,"['Tinn Isriyanet', 'Pacharapun Chochuwong', 'Ho Wai Lun', 'Yuen Sin Ying']","['[THA] ', '[THA] ', '[HKG] ', '[HKG] ']","['21-12', '22-24', '21-18']",XD - Qualification,20171121
3,"['Li Kuen Hon', 'Leung Sze Lok', 'Didit Juang', 'Keshya Nurvita Hanadia']","['[HKG] ', '[HKG] ', '[INA] ', '[INA] ']","['20-22', '21-12', '21-17']",XD - Qualification,20171121
4,"['Anders Skaarup Rasmussen', 'Line Højmark Kjaersfeldt', 'Takuto Inoue', 'Arisa Higashino']","['[DEN] ', '[DEN] ', '[JPN] ', '[JPN] ']","['21-15', '12-21', '21-15']",XD - Qualification,20171121
5,"['Alfian Eko Prasetya', 'Melati Daeva Oktavianti', 'Tam Chun Hei', 'Ng Tsz Yau']","['[INA] ', '[INA] ', '[HKG] ', '[HKG] ']","['27-25', '21-18']",XD - Qualification,20171121
6,"['Hafiz Faizal', 'Gloria Emanuelle Widjaja', 'Satwiksairaj Rankireddy', 'Ashwini Ponnappa']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-18', '21-11']",XD - Qualification,20171121
7,"['Niclas Nohr', 'Sara Thygesen', 'Hee Chun Mak', 'Yeung Nga Ting']","['[DEN] ', '[DEN] ', '[HKG] ', '[HKG] ']","['21-16', '16-21', '21-15']",XD - Qualification,20171121
8,"['Chow King Ling', 'Ana Rovita']","['[HKG] ', '[INA] ']","['21-18', '21-10']",WS - Qualification,20171121
9,"['Porntip Buranaprasertsuk [4]', 'Ying Chun Lin']","['[THA] ', '[TPE] ']","['21-15', '14-21', '21-14']",WS - Qualification,20171121
