,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Nelson Patricio Fernando Marcolino', 'Gilbert Mwiya']","['[MOZ] ', '[ZAM] ']","['21-9', '23-21']",MS - Qualification,20171130
1,"['Idrisse Issofo Mossagy', 'Ngosa Chongo']","['[MOZ] ', '[ZAM] ']","['21-8', '21-0']",MS - Qualification,20171130
2,"['Mark Banda', 'Nevers Phiri']","['[ZAM] ', '[ZAM] ']","['21-14', '21-12']",MS - Qualification,20171130
3,"['Ibrahimo Issufo Mussagy', 'Cephus Banda']","['[MOZ] ', '[ZAM] ']","['21-7', '21-6']",MS - Qualification,20171130
4,"['Edgar Sikanika', 'Omel Njobvu']","['[ZAM] ', '[ZAM] ']","['21-9', '21-6']",MS - Qualification,20171130
5,"['Fred Simabambaya', 'Edmilson Paulo Mutondo']","['[ZAM] ', '[MOZ] ']","['21-6', '21-9']",MS - Qualification,20171130
6,"['Abdelrahman Kashkal', 'Dalitso Banda']","['[EGY] ', '[ZAM] ']","['21-4', '21-8']",MS - Qualification,20171130
7,"['Kalonde Charles', 'Lucio Raul Mize Lampiao']","['[ZAM] ', '[MOZ] ']","['21-10', '21-12']",MS - Qualification,20171130
8,"['Fausto Armando Mutanhere', 'Bernaid Siwale']","['[MOZ] ', '[ZAM] ']","['21-5', '21-18']",MS - Qualification,20171130
9,"['Peter Zulu', 'Martin Kangwa']","['[ZAM] ', '[ZAM] ']","['21-12', '21-2']",MS - Qualification,20171130
10,"['Thabani Mathe', 'Joshua Banda']","['[ZIM] ', '[ZAM] ']","['21-6', '21-8']",MS - Qualification,20171130
11,"['Robert Bwalya', 'Tlhoego Chamo']","['[ZAM] ', '[BOT] ']","['21-5', '21-6']",MS - Qualification,20171130
12,"['James Tembo', 'Chrispin Chilokwa']","['[ZAM] ', '[ZAM] ']","['21-17', '18-21', '21-7']",MS - Qualification,20171130
13,"['Malama Musonda', 'Valter Antonio Jeque']","['[ZAM] ', '[MOZ] ']","['21-18', '21-11']",MS - Qualification,20171130
14,"['Bwalya Chanda', 'Andrew Mumba']","['[ZAM] ', '[ZAM] ']","['21-13', '21-10']",MS - Qualification,20171130
15,"['Mwanza Edward', 'Andre Aleluia Tiago']","['[ZAM] ', '[MOZ] ']","['21-16', '21-4']",MS - Qualification,20171130
16,"['Zulficar Issufo Mussagy', 'Sikwela Mike']","['[MOZ] ', '[ZAM] ']","['21-7', '21-9']",MS - Qualification,20171130
17,"['Isaac Senfuka [1]', 'Nelson Patricio Fernando Marcolino']","['[UGA] ', '[MOZ] ']","['22-20', '21-8']",MS - Qualification,20171130
18,"['Idrisse Issofo Mossagy', 'Paul Mwamba']","['[MOZ] ', '[ZAM] ']","['21-19', '21-10']",MS - Qualification,20171130
19,"['Taizya Lusambo [6]', 'Mark Banda']","['[ZAM] ', '[ZAM] ']","['21-16', '21-15']",MS - Qualification,20171130
20,"['Ibrahimo Issufo Mussagy', 'Badara Nchimunya Mudenda']","['[MOZ] ', '[ZAM] ']","['21-13', '21-6']",MS - Qualification,20171130
21,"['Mabo Donald [4]', 'Edgar Sikanika']","['[ZAM] ', '[ZAM] ']","['21-14', '21-14']",MS - Qualification,20171130
22,"['Chalwe Chongo', 'Fred Simabambaya']","['[ZAM] ', '[ZAM] ']","['21-4', '21-9']",MS - Qualification,20171130
23,"['Abdelrahman Kashkal', 'Julius Mbewe [8]']","['[EGY] ', '[ZAM] ']","['21-8', '21-9']",MS - Qualification,20171130
24,"['Kalonde Charles', 'Bright Kunda']","['[ZAM] ', '[ZAM] ']","['21-11', '21-13']",MS - Qualification,20171130
25,"['Fausto Armando Mutanhere', 'Peter Zulu']","['[MOZ] ', '[ZAM] ']","['21-13', '21-18']",MS - Qualification,20171130
26,"['Thabani Mathe', 'Mwansa Rodrick [5]']","['[ZIM] ', '[ZAM] ']","['21-18', '14-21', '21-19']",MS - Qualification,20171130
27,"['Robert Bwalya', 'Gillan Katunasa']","['[ZAM] ', '[ZAM] ']","['21-19', '19-21', '21-13']",MS - Qualification,20171130
28,"['Fred Kirabo [3]', 'James Tembo']","['[UGA] ', '[ZAM] ']","['13-21', '23-21', '21-6']",MS - Qualification,20171130
29,"['Marvin Chisela', 'Malama Musonda']","['[ZAM] ', '[ZAM] ']","['21-19', '21-11']",MS - Qualification,20171130
30,"['Timothy Kafunda [7]', 'Bwalya Chanda']","['[ZAM] ', '[ZAM] ']","['21-12', '21-10']",MS - Qualification,20171130
31,"['Owen Mukuka', 'Mwanza Edward']","['[ZAM] ', '[ZAM] ']","['21-17', '18-21', '21-19']",MS - Qualification,20171130
32,"['Zulficar Issufo Mussagy', 'Topsy Phiri [2]']","['[MOZ] ', '[ZAM] ']","['21-18', '21-19']",MS - Qualification,20171130
33,"['Idrisse Issofo Mossagy', 'Isaac Senfuka [1]']","['[MOZ] ', '[UGA] ']","['22-20', '21-14']",MS - Qualification,20171130
34,"['Ibrahimo Issufo Mussagy', 'Taizya Lusambo [6]']","['[MOZ] ', '[ZAM] ']","['21-15', '18-21', '21-18']",MS - Qualification,20171130
35,"['Mabo Donald [4]', 'Chalwe Chongo']","['[ZAM] ', '[ZAM] ']","['21-8', '21-19']",MS - Qualification,20171130
36,"['Abdelrahman Kashkal', 'Kalonde Charles']","['[EGY] ', '[ZAM] ']","['21-13', '21-5']",MS - Qualification,20171130
37,"['Thabani Mathe', 'Fausto Armando Mutanhere']","['[ZIM] ', '[MOZ] ']","['21-4', '21-11']",MS - Qualification,20171130
38,"['Fred Kirabo [3]', 'Robert Bwalya']","['[UGA] ', '[ZAM] ']","['21-2', '21-10']",MS - Qualification,20171130
39,"['Timothy Kafunda [7]', 'Marvin Chisela']","['[ZAM] ', '[ZAM] ']","['21-16', '10-21', '22-20']",MS - Qualification,20171130
40,"['Zulficar Issufo Mussagy', 'Owen Mukuka']","['[MOZ] ', '[ZAM] ']","['15-21', '21-15', '21-15']",MS - Qualification,20171130
41,"['Misha Zilberman [1]', 'Ibrahimo Issufo Mussagy']","['[ISR] ', '[MOZ] ']","['21-9', '21-8']",MS,20171130
42,"['Fred Kirabo', 'Clement Krobakpo']","['[UGA] ', '[NGR] ']","['21-11', '21-12']",MS,20171130
43,"['Aatish Lubah [6]', 'Youcef Sabri Medel']","['[MRI] ', '[ALG] ']",[],MS,20171130
44,"['Mohd Naser Mansour Nayef', 'Emmanuel Yaw Donkor']","['[JOR] ', '[GHA] ']",[],MS,20171130
45,"['Maxime Moreels [3]', 'Brian Kasirye']","['[BEL] ', '[UGA] ']","['21-10', '21-14']",MS,20171130
46,"['Matej Hlinican', 'Mohamed Abderrahime Belarbi']","['[SVK] ', '[ALG] ']",[],MS,20171130
47,"['Thabani Mathe', 'Adham Hatem Elgamal [5]']","['[ZIM] ', '[EGY] ']",[],MS,20171130
48,"['Fabio Caponio', 'Kalombo Mulenga']","['[ITA] ', '[ZAM] ']","['21-6', '21-14']",MS,20171130
49,"['Tumisang Olekantse', 'Adel Hamek']","['[BOT] ', '[ALG] ']",[],MS,20171130
50,"['Robert Mann [7]', 'Idrisse Issofo Mossagy']","['[LUX] ', '[MOZ] ']","['21-12', '21-8']",MS,20171130
51,"['Chongo Ezra Mulenga', 'Timothy Kafunda']","['[ZAM] ', '[ZAM] ']","['21-12', '21-14']",MS,20171130
52,"['Georges Julien Paul [4]', 'Mabo Donald']","['[MRI] ', '[ZAM] ']","['21-11', '21-10']",MS,20171130
53,"['Zach Russ', 'Juma Muwowo']","['[ENG] ', '[ZAM] ']","['21-5', '21-13']",MS,20171130
54,"['Bahaedeen Ahmad Alshannik [8]', 'Mohamed Mostafa Kamel']","['[JOR] ', '[EGY] ']","['21-14', '21-16']",MS,20171130
55,"['Jonathan Persson', 'Zulficar Issufo Mussagy']","['[GER] ', '[MOZ] ']","['21-11', '21-7']",MS,20171130
56,"['Rosario Maddaloni [2]', 'Abdelrahman Kashkal']","['[ITA] ', '[EGY] ']","['21-13', '21-6']",MS,20171130
57,"['Penelope Mudenda', 'Linda Mazri']","['[ZAM] ', '[ALG] ']",[],WS,20171130
58,"['Doha Hany', 'Elizaberth Chipeleme']","['[EGY] ', '[ZAM] ']","['21-15', '21-1']",WS,20171130
59,"['Aisha Nakiyemba', 'Mwansa Esther']","['[UGA] ', '[ZAM] ']","['21-4', '21-9']",WS,20171130
60,"['Ogar Siamupangila [3]', 'Lorain Mumba']","['[ZAM] ', '[ZAM] ']","['21-7', '21-4']",WS,20171130
61,"['Towela Gondwe', 'Ines Ziani']","['[ZAM] ', '[ALG] ']",[],WS,20171130
62,"['Botho Makubate', 'Sakuwanda Kusolu']","['[BOT] ', '[ZAM] ']","['21-10', '21-3']",WS,20171130
63,"['Grace Gabriel', 'Nakubiana Sitondo']","['[NGR] ', '[ZAM] ']","['21-2', '21-4']",WS,20171130
64,"['Bridget Shamim Bangi', 'Annet Njobvu']","['[UGA] ', '[ZAM] ']","['21-2', '21-4']",WS,20171130
65,"['Mercy Joseph', 'Ngandwe Miyambo']","['[KEN] ', '[ZAM] ']","['21-19', '21-18']",WS,20171130
66,"['Leungo Bronia Tshweneetsile', 'Mary Chilambe']","['[BOT] ', '[ZAM] ']","['21-8', '21-16']",WS,20171130
67,"['Dorcas Ajoke Adesokan [4]', 'Delphine Nakanyika']","['[NGR] ', '[ZAM] ']","['21-1', '21-2']",WS,20171130
68,"['Johanita Scholtz', 'Matildah Kalandanya']","['[RSA] ', '[ZAM] ']","['21-9', '21-8']",WS,20171130
69,"['Evelyn Siamupangila', 'Halla Bouksani']","['[ZAM] ', '[ALG] ']",[],WS,20171130
70,"['Jana Ashraf', 'Ngoma Nandipa']","['[EGY] ', '[ZAM] ']","['21-4', '21-3']",WS,20171130
71,"['Kate Foo Kune [2]', 'Jenipher Phiri']","['[MRI] ', '[ZAM] ']","['21-7', '21-5']",WS,20171130
72,"['Misha Zilberman [1]', 'Fred Kirabo']","['[ISR] ', '[UGA] ']","['21-9', '21-11']",MS,20171130
73,"['Aatish Lubah [6]', 'Mohd Naser Mansour Nayef']","['[MRI] ', '[JOR] ']","['17-21', '21-15', '21-12']",MS,20171130
74,"['Maxime Moreels [3]', 'Matej Hlinican']","['[BEL] ', '[SVK] ']","['21-19', '21-17']",MS,20171130
75,"['Fabio Caponio', 'Thabani Mathe']","['[ITA] ', '[ZIM] ']","['21-6', '21-4']",MS,20171130
76,"['Robert Mann [7]', 'Tumisang Olekantse']","['[LUX] ', '[BOT] ']","['21-16', '21-15']",MS,20171130
77,"['Georges Julien Paul [4]', 'Chongo Ezra Mulenga']","['[MRI] ', '[ZAM] ']","['21-16', '21-8']",MS,20171130
78,"['Bahaedeen Ahmad Alshannik [8]', 'Zach Russ']","['[JOR] ', '[ENG] ']","['21-17', '21-11']",MS,20171130
79,"['Jonathan Persson', 'Rosario Maddaloni [2]']","['[GER] ', '[ITA] ']","['21-15', '19-21', '21-17']",MS,20171130
80,"['Ksenia Polikarpova [1]', 'Penelope Mudenda']","['[ISR] ', '[ZAM] ']","['21-0', '21-3']",WS,20171130
81,"['Doha Hany', 'Aisha Nakiyemba']","['[EGY] ', '[UGA] ']","['21-19', '17-21', '21-16']",WS,20171130
82,"['Ogar Siamupangila [3]', 'Towela Gondwe']","['[ZAM] ', '[ZAM] ']","['21-6', '21-6']",WS,20171130
