,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Jacob Nilsson', 'Kai Schaefer']","['[SWE] ', '[GER] ']","['21-14', '22-20']",MS ,20180424
1,"['Sabrina Jaquet', 'Natalia Perminova']","['[SUI] ', '[RUS] ']","['21-17', '13-21', '21-17']",WS ,20180424
2,"['Rodion Alimov', 'Alina Davletova', 'Ben Lane', 'Jessica Pugh']","['[RUS] ', '[RUS] ', '[ENG] ', '[ENG] ']","['21-19', '27-25']",XD ,20180424
3,"['Marcus Ellis [3]', 'Lauren Smith', 'Robin Tabeling', 'Cheryl Seinen']","['[ENG] ', '[ENG] ', '[NED] ', '[NED] ']","['17-21', '21-11', '21-15']",XD ,20180424
4,"['Bastian Kersaudy', 'Lea Palermo', 'Jelle Maas', 'Imke Van Der Aar']","['[FRA] ', '[FRA] ', '[NED] ', '[NED] ']","['23-21', '21-12']",XD ,20180424
5,"['Sergey Sirant', 'Milan Ludik']","['[RUS] ', '[CZE] ']","['21-11', '21-11']",MS ,20180424
6,"['Mathias Christiansen [2]', 'Christinna Pedersen', 'Sam Magee', 'Chloe Magee']","['[DEN] ', '[DEN] ', '[IRL] ', '[IRL] ']","['21-18', '21-16']",XD ,20180424
7,"['Joachim Fischer Nielsen', 'Alexandra Bøje', 'Thom Gicquel', 'Delphine Delrue']","['[DEN] ', '[DEN] ', '[FRA] ', '[FRA] ']","['21-16', '23-21']",XD ,20180424
8,"['Luise Heim', 'Linda Zetchiri']","['[GER] ', '[BUL] ']","['21-19', '21-17']",WS ,20180424
9,"['Toby Penty', 'Lucas Claerbout']","['[ENG] ', '[FRA] ']","['21-10', '21-7']",MS ,20180424
10,"['Sam Parsons', 'Luka Wraber']","['[ENG] ', '[AUT] ']","['21-19', '23-21']",MS ,20180424
11,"['Milan Dratva', 'Martina Repiska', 'Dominik Stipsits', 'Antonia Meinke']","['[SVK] ', '[SVK] ', '[AUT] ', '[AUT] ']","['21-17', '17-21', '21-15']",XD ,20180424
12,"['Lianne Tan', 'Agnes Korosi']","['[BEL] ', '[HUN] ']","['21-19', '21-19']",WS ,20180424
13,"['Gergely Krausz', 'Rosario Maddaloni']","['[HUN] ', '[ITA] ']","['21-18', '21-18']",MS ,20180424
14,"['Alexander Roovers', 'Kalle Koljonen']","['[GER] ', '[FIN] ']","['21-18', '14-21', '21-16']",MS ,20180424
15,"['Adam Mendrek', 'Duarte Nuno Anjo']","['[CZE] ', '[POR] ']","['21-14', '21-14']",MS ,20180424
16,"['Jacco Arends [4]', 'Selena Piek', 'Oliver Schaller', 'Celine Burkart']","['[NED] ', '[NED] ', '[SUI] ', '[SUI] ']","['21-14', '21-11']",XD ,20180424
17,"['Airi Mikkela', 'Martina Repiska']","['[FIN] ', '[SVK] ']","['21-12', '21-10']",WS ,20180424
18,"['Christian Kirchmayr', 'Cristian Savin']","['[SUI] ', '[MDA] ']","['21-17', '22-20']",MS ,20180424
19,"['Ronan Labar [8]', 'Audrey Fontaine', 'Jakub Bitman', 'Alzbeta Basova']","['[FRA] ', '[FRA] ', '[CZE] ', '[CZE] ']","['21-15', '21-17']",XD ,20180424
20,"['Luís Enrique Peñalver', 'Zvonimir Durkinjak']","['[ESP] ', '[CRO] ']","['21-19', '13-21', '21-13']",MS ,20180424
21,"['Maria Ulitina', 'Jordan Hart']","['[UKR] ', '[WAL] ']","['22-20', '19-21', '21-14']",WS ,20180424
22,"['Aliye Demirbag', 'Clara Azurmendi']","['[TUR] ', '[ESP] ']",[],WS ,20180424
23,"['Niclas Nohr', 'Sara Thygesen', 'Sander Merits', 'Kati-Kreet Marran']","['[DEN] ', '[DEN] ', '[EST] ', '[EST] ']","['21-9', '21-11']",XD ,20180424
24,"['Marvin Emil Seidel [7]', 'Linda Efler', 'Artem Pochtarov', 'Natalya Voytsekh']","['[GER] ', '[GER] ', '[UKR] ', '[UKR] ']","['21-15', '21-11']",XD ,20180424
25,"['Jan O Jorgensen', 'Orkhan Galandarov']","['[DEN] ', '[AZE] ']","['21-3', '21-7']",MS ,20180424
26,"['Collins Valentine Filimon', 'Elias Nicolaou']","['[ROU] ', '[CYP] ']","['21-8', '16-21', '21-11']",MS ,20180424
27,"['Chloe Birch', 'Maja Pavlinic']","['[ENG] ', '[CRO] ']","['21-18', '21-11']",WS ,20180424
28,"['Nhat Nguyen', 'Kari Gunnarsson']","['[IRL] ', '[ISL] ']","['21-16', '21-17']",MS ,20180424
29,"['Yvonne Li', 'Eleni Christodoulou']","['[GER] ', '[CYP] ']","['21-6', '21-3']",WS ,20180424
30,"['Chris Adcock [1]', 'Gabrielle Adcock', 'Pawel Smilowski', 'Magdalena Swierczynska']","['[ENG] ', '[ENG] ', '[POL] ', '[POL] ']","['21-16', '21-10']",XD ,20180424
