,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Ernesto Reyes', 'Luis Armando Montoya Navarro']","['[CUB] ', '[MEX] ']",[],MS,20180314
1,"['Osvert Riveron', 'Yoel Rosales Macias']","['[USA] ', '[CUB] ']","['21-10', '21-12']",MS,20180314
2,"['Raciel Verdecia Torres', 'Pedro Arturo Garcia-Flores']","['[CUB] ', '[USA] ']","['21-14', '14-21', '21-18']",MS,20180314
3,"['Taymara Oropesa Pupo [1]', 'Camila Palacio Reyes']","['[CUB] ', '[CUB] ']","['21-7', '21-2']",WS,20180314
4,"['Adaivis Robinson Garcia', 'Jacqueline Wendy Myers']","['[CUB] ', '[USA] ']","['21-14', '21-11']",WS,20180314
5,"['Diana Corleto Soto [3]', 'Marianne Gonzalez Ortiz']","['[GUA] ', '[CUB] ']","['21-7', '21-15']",WS,20180314
6,"['Yaqueline Duarte', 'Yudima Garcia Valdez']","['[MEX] ', '[CUB] ']","['23-21', '21-17']",WS,20180314
7,"['Crystal Pan', 'Yeily Mari Ortiz Rodriguez']","['[USA] ', '[CUB] ']","['21-11', '21-3']",WS,20180314
8,"['Thalia Mengana Marrero', 'Mariana Isabel Paiz Quan [4]']","['[CUB] ', '[GUA] ']","['21-13', '21-14']",WS,20180314
9,"['Ana Lucia Albanes Cordon', 'Barbara Ines La Rosa Torres']","['[GUA] ', '[CUB] ']","['21-8', '21-18']",WS,20180314
10,"['Alejandra Jose Paiz Quan [2]', 'Adriana Artiz Ataury']","['[GUA] ', '[CUB] ']","['23-21', '18-21', '21-18']",WS,20180314
11,"['Angel Herrera Rodríguez [4]', 'Roberto Carlos Herrera Vazquez']","['[CUB] ', '[CUB] ']","['21-13', '21-10']",MS,20180314
12,"['Daniel Ferrer Cepero', 'Enrique Iglesia Cordero']","['[CUB] ', '[CUB] ']","['21-14', '21-17']",MS,20180314
13,"['Osvert Riveron', 'Daimel Roll']","['[USA] ', '[CUB] ']","['21-14', '22-20']",MS,20180314
14,"['Xiaodong Sheng', 'Osleni Guerrero [1]']","['[CAN] ', '[CUB] ']","['21-17', '14-21', '21-17']",MS,20180314
15,"['Kyle Alexander Munoz Seixas', 'Raciel Verdecia Torres']","['[PAN] ', '[CUB] ']","['21-9', '21-9']",MS,20180314
16,"['Christopher Alexander Martinez Salvador [3]', 'Lazaro Yovani Madera Padrino']","['[GUA] ', '[CUB] ']","['21-14', '21-8']",MS,20180314
17,"['Ernesto Reyes', 'Kevin Barkman']","['[CUB] ', '[CAN] ']","['21-18', '21-18']",MS,20180314
18,"['Leodannis Martinez Palacio [2]', 'Manuel Del Rosario Pargas']","['[CUB] ', '[CUB] ']","['21-6', '21-5']",MS,20180314
19,"['Ernesto Reyes', 'Yeily Mari Ortiz Rodriguez', 'Daniel Ferrer Cepero', 'Adaivis Robinson Garcia']","['[CUB] ', '[CUB] ', '[CUB] ', '[CUB] ']","['21-14', '21-6']",XD,20180314
20,"['Osleni Guerrero', 'Adriana Artiz Ataury', 'Daimel Roll', 'Barbara Ines La Rosa Torres']","['[CUB] ', '[CUB] ', '[CUB] ', '[CUB] ']","['21-5', '21-9']",XD,20180314
21,"['Xiaodong Sheng', 'Daniel Ferrer Cepero']","['[CAN] ', '[CUB] ']","['21-4', '21-10']",MS,20180314
22,"['Angel Herrera Rodríguez [4]', 'Osvert Riveron']","['[CUB] ', '[USA] ']","['21-12', '14-21', '21-18']",MS,20180314
23,"['Christopher Alexander Martinez Salvador [3]', 'Kyle Alexander Munoz Seixas']","['[GUA] ', '[PAN] ']","['21-10', '21-15']",MS,20180314
24,"['Leodannis Martinez Palacio [2]', 'Ernesto Reyes']","['[CUB] ', '[CUB] ']","['21-10', '21-13']",MS,20180314
25,"['Taymara Oropesa Pupo [1]', 'Adaivis Robinson Garcia']","['[CUB] ', '[CUB] ']","['21-4', '21-5']",WS,20180314
26,"['Yaqueline Duarte', 'Diana Corleto Soto [3]']","['[MEX] ', '[GUA] ']","['21-13', '21-17']",WS,20180314
27,"['Crystal Pan', 'Thalia Mengana Marrero']","['[USA] ', '[CUB] ']","['21-9', '21-10']",WS,20180314
28,"['Alejandra Jose Paiz Quan [2]', 'Ana Lucia Albanes Cordon']","['[GUA] ', '[GUA] ']","['21-18', '21-13']",WS,20180314
29,"['Stefan Cabrera Segura', 'Daniel Valdes Perez', 'Manuel Del Rosario Pargas', 'Enrique Iglesia Cordero']","['[CUB] ', '[CUB] ', '[CUB] ', '[CUB] ']","['16-21', '21-15', '21-13']",MD,20180314
30,"['Angel Herrera Rodríguez', 'Daimel Roll', 'Yoel Rosales Macias', 'Raciel Verdecia Torres']","['[CUB] ', '[CUB] ', '[CUB] ', '[CUB] ']","['21-15', '21-14']",MD,20180314
31,"['Lazaro Yovani Madera Padrino [2]', 'Ernesto Reyes', 'Daniel Ferrer Cepero', 'Roberto Carlos Herrera Vazquez']","['[CUB] ', '[CUB] ', '[CUB] ', '[CUB] ']","['21-17', '21-19']",MD,20180314
