,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Andy Tsai [13]', 'Lu Chen']","['[SWE] ', '[TPE] ']","['21-11', '21-15']",MS - Qualification ,20180308
1,"['Azmy Qowimuramadhoni', 'Joel Douse']","['[AZE] ', '[ENG] ']","['22-20', '21-18']",MS - Qualification ,20180308
2,"['Mihkel Laanes', 'Joao Chang']","['[EST] ', '[POR] ']","['21-17', '21-13']",MS - Qualification ,20180308
3,"['Alex Alcala Dominguez', 'Hannes Gerberich']","['[ESP] ', '[GER] ']","['21-16', '21-16']",MS - Qualification ,20180308
4,"['Bruno Carvalho', 'Luke Pearce']","['[POR] ', '[ENG] ']","['21-16', '21-11']",MS - Qualification ,20180308
5,"['Daniel Nikolov', 'Elias Bracke']","['[BUL] ', '[BEL] ']","['21-14', '21-10']",MS - Qualification ,20180308
6,"['Rui Mendes', 'Joana Lopes', 'Jan Colin Völker', 'Judith Petrikowski']","['[POR] ', '[POR] ', '[GER] ', '[GER] ']",[],XD - Qualification ,20180308
7,"['Johnnie Torjussen', 'Azmy Qowimuramadhoni']","['[ENG] ', '[AZE] ']","['21-13', '15-10']",MS - Qualification ,20180308
8,"['Ditlev Jaeger Holm [7]', 'Chen Ching Wei']","['[DEN] ', '[TPE] ']","['16-21', '21-7', '21-13']",MS - Qualification ,20180308
9,"['Alex Alcala Dominguez', 'Ilias Xanthou [9]']","['[ESP] ', '[GRE] ']","['21-14', '21-11']",MS - Qualification ,20180308
10,"['Vytaute Fomkinaite [8]', 'Adriana F. Goncalves']","['[LTU] ', '[POR] ']","['21-12', '21-18']",WS - Qualification ,20180308
11,"['Julie Ferrier', 'Mariana Chang']","['[FRA] ', '[POR] ']","['21-12', '17-21', '21-14']",WS - Qualification ,20180308
12,"['Anna Thea Madsen [6]', 'Abigail Holden']","['[DEN] ', '[ENG] ']","['21-12', '21-16']",WS - Qualification ,20180308
13,"['Torjus Flaatten', 'Peter Roenn Stensaeth', 'Tomas Coelho', 'Kevin Selvarajah']","['[NOR] ', '[NOR] ', '[POR] ', '[POR] ']","['21-15', '21-15']",MD - Qualification ,20180308
14,"['Felix Nandin', 'Oskar Westerlund', 'Guilherme Ferreira', 'Rafael Miguel']","['[SWE] ', '[SWE] ', '[POR] ', '[POR] ']","['21-6', '21-8']",MD - Qualification ,20180308
15,"['Sturla Flaten Jorgensen', 'Emilie Hamang', 'Rui Mendes', 'Joana Lopes']","['[NOR] ', '[NOR] ', '[POR] ', '[POR] ']","['21-12', '21-12']",XD - Qualification ,20180308
16,"['Yang Yang', 'Ye Hong Wei']","['[TPE] ', '[TPE] ']","['21-9', '21-12']",MS - Qualification ,20180308
17,"['Julie Ferrier', 'Ira Sharma [5]']","['[FRA] ', '[IND] ']","['21-10', '23-21']",WS - Qualification ,20180308
