,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Abraham Ayittey', 'Alex Patrick Zolobe']","['[GHA] ', '[CIV] ']","['21-2', '21-12']",MS,20180216
1,"['Godwin Olofua', 'Ousmane Ouedraogo']","['[NGR] ', '[CIV] ']","['21-5', '21-3']",MS,20180216
2,"['Adel Hamek', 'Roman Razaki']","['[ALG] ', '[BEN] ']","['21-5', '21-8']",MS,20180216
3,"['Samy Khaldi', 'Ashel Dziva']","['[ALG] ', '[ZIM] ']","['21-7', '21-6']",MS,20180216
4,"['Daniel Sam', 'Chongo Ezra Mulenga']","['[GHA] ', '[ZAM] ']","['21-14', '21-16']",MS,20180216
5,"['Kervin Ghislain', 'Paul Kopolo']","['[SEY] ', '[ZIM] ']","['12-21', '21-15', '21-7']",MS,20180216
6,"['Jean Bernard Bongout', 'Mark Banda']","['[MRI] ', '[ZAM] ']","['21-10', '21-15']",MS,20180216
7,"['Anuoluwapo Juwon Opeyori', 'Tejraj Pultoo']","['[NGR] ', '[MRI] ']","['21-10', '21-7']",MS,20180216
8,"['Mohamed Mostafa Kamel', 'Paul Henri Assembe Bloch']","['[EGY] ', '[CMR] ']","['21-10', '21-4']",MS,20180216
9,"['Shady Mamdouh', 'Akpa Jerome Ibrahim Agnimel']","['[EGY] ', '[CIV] ']","['21-12', '21-12']",MS,20180216
10,"['Melvin Appiah', 'Ahmed Amine Ksikes']","['[MRI] ', '[MAR] ']","['22-20', '21-13']",MS,20180216
11,"['Paulin Nguele Biya', 'Osman Hassan Awad Mohamedkhair']","['[CMR] ', '[SUD] ']","['21-9', '21-10']",MS,20180216
12,"['Kalombo Mulenga', 'Raffick Alfonso']","['[ZAM] ', '[ZIM] ']","['21-8', '21-11']",MS,20180216
13,"['Christopher Paul', 'Koceila Mammeri']","['[MRI] ', '[ALG] ']","['21-14', '21-14']",MS,20180216
14,"['Yassine El Mernissi', 'Franck Ahi']","['[MAR] ', '[CIV] ']","['21-10', '21-12']",MS,20180216
15,"['Sifeddine Larbaoui', 'Mabo Donald']","['[ALG] ', '[ZAM] ']","['21-19', '21-9']",MS,20180216
16,"['Enejoh Abah', 'Michael Opoku Baah']","['[NGR] ', '[GHA] ']","['21-16', '21-18']",MS,20180216
17,"['Mohamed Abderrahime Belarbi', 'Jakim Renaud']","['[ALG] ', '[SEY] ']","['21-6', '21-8']",MS,20180216
18,"['Majed Yacine Balahoune', 'Youssef Hafouz']","['[ALG] ', '[TUN] ']","['21-2', '21-0']",MS,20180216
19,"['Bilal Elharab', 'Mamoudou Soudi']","['[MAR] ', '[CMR] ']","['21-4', '15-2']",MS,20180216
20,"['Youcef Sabri Medel', 'Jie Luo']","['[ALG] ', '[SEY] ']","['21-10', '21-17']",MS,20180216
21,"['Thabani Mathe', 'Yessine Vydelingum']","['[ZIM] ', '[TUN] ']","['21-6', '21-2']",MS,20180216
22,"['Adam El Mernissi', 'Younes Hafouz']","['[MAR] ', '[TUN] ']","['21-8', '21-7']",MS,20180216
23,"['Ines Ziani', 'Kuzivakwashe Tritania Mudzamiri']","['[ALG] ', '[ZIM] ']","['21-6', '21-12']",WS,20180216
24,"['Salmeen Essam Elsaid Salem', 'Malak Ouchefoun']","['[EGY] ', '[ALG] ']","['21-13', '17-21', '21-14']",WS,20180216
25,"['Eyram YAA Migbodzi', 'Louise Lisane Mbas']","['[GHA] ', '[CMR] ']","['21-10', '21-15']",WS,20180216
26,"['Juliette Ah-Wan', 'Allisen Camille', 'Daisy Nakalyango', 'Mable Namakoye']","['[SEY] ', '[SEY] ', '[UGA] ', '[UGA] ']","['21-11', '21-7']",WD,20180216
27,"['Georges Julien Paul', 'Aurelie Marie Elisa Allet', 'Ashel Dziva', 'Nyasha Kopolo']","['[MRI] ', '[MRI] ', '[ZIM] ', '[ZIM] ']","['21-6', '21-7']",XD,20180216
28,"['Shady Mamdouh', 'Hana Tarek Mohamed', 'Paulin Nguele Biya', 'Stella Joel Ngadjui']","['[EGY] ', '[EGY] ', '[CMR] ', '[CMR] ']","['21-17', '21-14']",XD,20180216
29,"['Samy Khaldi', 'Halla Bouksani', 'Paul Kopolo', 'Olga Matsanura']","['[ALG] ', '[ALG] ', '[ZIM] ', '[ZIM] ']","['21-12', '21-9']",XD,20180216
30,"['Daniel Sam', 'Gifty Mensah', 'Jean Bernard Bongout', 'Ganesha Mungrah']","['[GHA] ', '[GHA] ', '[MRI] ', '[MRI] ']","['21-17', '21-11']",XD,20180216
31,"['Antoine Eddy Owona Ndimako', 'Louise Lisane Mbas', 'Thabani Mathe', 'Kuzivakwashe Tritania Mudzamiri']","['[CMR] ', '[CMR] ', '[ZIM] ', '[ZIM] ']","['21-16', '18-21', '21-12']",XD,20180216
32,"['Majed Yacine Balahoune', 'Imane Chekkal', 'Michael Opoku Baah', 'Grace ANNABEL Atipaka']","['[ALG] ', '[ALG] ', '[GHA] ', '[GHA] ']","['19-21', '22-20', '21-10']",XD,20180216
33,"['Aatish Lubah', 'Kobita Dookhee', 'Mohamed Amine Guelmaoui', 'Ferd Houda']","['[MRI] ', '[MRI] ', '[ALG] ', '[ALG] ']","['21-15', '21-10']",XD,20180216
34,"['Tejraj Pultoo', 'Sendila Mourat', 'Youssef Hafouz', 'Safa Jebali']","['[MRI] ', '[MRI] ', '[TUN] ', '[TUN] ']","['21-6', '21-6']",XD,20180216
35,"['Clement Krobakpo', 'Dorcas Ajoke Adesokan', 'Mohamed Abdelaziz Ouchefoun', 'Malak Ouchefoun']","['[NGR] ', '[NGR] ', '[ALG] ', '[ALG] ']","['21-14', '21-8']",XD,20180216
36,"['Abdelrahman Abdelhakim', 'Salmeen Essam Elsaid Salem', 'Raffick Alfonso', 'Audrey Matsanura']","['[EGY] ', '[EGY] ', '[ZIM] ', '[ZIM] ']","['21-13', '21-8']",XD,20180216
