,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Michelle Li', 'Ratchanok Intanon [3]']","['[CAN] ', '[THA] ']","['21-15', '14-21', '21-19']",WS ,20180314,"Birmingham, England"
1,"['Gabriela Stoeva', 'Stefani Stoeva', 'Greysia Polii [6]', 'Apriyani Rahayu']","['[BUL] ', '[BUL] ', '[INA] ', '[INA] ']","['21-11', '21-19']",WD ,20180314,"Birmingham, England"
2,"['Tai Tzu Ying [1]', 'Saina Nehwal']","['[TPE] ', '[IND] ']","['21-14', '21-18']",WS ,20180314,"Birmingham, England"
3,"['Misaki Matsutomo [2]', 'Ayaka Takahashi', 'Ashwini Ponnappa', 'Reddy N. Sikki']","['[JPN] ', '[JPN] ', '[IND] ', '[IND] ']","['21-14', '21-13']",WD ,20180314,"Birmingham, England"
4,"['Kidambi Srikanth [3]', 'Brice Leverdez']","['[IND] ', '[FRA] ']","['7-21', '21-14', '22-20']",MS ,20180314,"Birmingham, England"
5,"['Lin Dan [6]', 'Hans-Kristian Solberg Vittinghus']","['[CHN] ', '[DEN] ']","['21-19', '21-16']",MS ,20180314,"Birmingham, England"
6,"['Mathias Boe [2]', 'Carsten Mogensen', 'Chung Eui Seok', 'Kim Dukyoung']","['[DEN] ', '[DEN] ', '[KOR] ', '[KOR] ']","['21-17', '21-9']",MD ,20180314,"Birmingham, England"
7,"['Marcus Ellis', 'Chris Langridge', 'Manu Attri', 'Reddy B. Sumeeth']","['[ENG] ', '[ENG] ', '[IND] ', '[IND] ']","['22-20', '21-12']",MD ,20180314,"Birmingham, England"
8,"['Mathias Christiansen [6]', 'Christinna Pedersen', 'Mark Lamsfuss', 'Isabel Herttrich']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['17-21', '21-17', '21-12']",XD ,20180314,"Birmingham, England"
9,"['Chris Adcock [7]', 'Gabrielle Adcock', 'Goh Soon Huat', 'Shevon Jemie Lai']","['[ENG] ', '[ENG] ', '[MAS] ', '[MAS] ']","['21-14', '21-15']",XD ,20180314,"Birmingham, England"
10,"['Chen Long [4]', 'Qiao Bin']","['[CHN] ', '[CHN] ']","['21-13', '21-11']",MS ,20180314,"Birmingham, England"
11,"['Lee Hyun Il', 'Anders Antonsen']","['[KOR] ', '[DEN] ']","['21-11', '21-14']",MS ,20180314,"Birmingham, England"
12,"['Fitriani Fitriani', 'Soniia Cheah']","['[INA] ', '[MAS] ']","['16-21', '21-18', '21-9']",WS ,20180314,"Birmingham, England"
13,"['Seung Jae Seo', 'Kim Ha Na', 'Wang Chi-Lin', 'Lee Chia Hsin']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['24-22', '16-21', '21-12']",XD ,20180314,"Birmingham, England"
14,"['Hiroyuki Endo', 'Yuta Watanabe', 'Kittinupong Kedren', 'Dechapol Puavaranukroh']","['[JPN] ', '[JPN] ', '[THA] ', '[THA] ']","['21-8', '24-22']",MD ,20180314,"Birmingham, England"
15,"['Misaki Matsutomo [2]', 'Ayaka Takahashi', 'Della Destiara Haris', 'Rizki Amelia Pradipta']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-12', '21-14']",WD ,20180314,"Birmingham, England"
16,"['Praveen Jordan [4]', 'Debby Susanto', 'Marcus Ellis', 'Lauren Smith']","['[INA] ', '[INA] ', '[ENG] ', '[ENG] ']","['21-12', '21-17']",XD ,20180314,"Birmingham, England"
17,"['Pusarla V. Sindhu [4]', 'Nitchaon Jindapol']","['[IND] ', '[THA] ']","['21-13', '13-21', '21-18']",WS ,20180314,"Birmingham, England"
18,"['Li Junhui [3]', 'Liu Yuchen', 'Kim Astrup', 'Anders Skaarup Rasmussen']","['[CHN] ', '[CHN] ', '[DEN] ', '[DEN] ']","['21-17', '21-17']",MD ,20180314,"Birmingham, England"
19,"['Lee Chong Wei [2]', 'Lee Dong Keun']","['[MAS] ', '[KOR] ']","['21-6', '13-21', '21-18']",MS ,20180314,"Birmingham, England"
20,"['Chris Adcock [7]', 'Gabrielle Adcock', 'Seung Jae Seo', 'Kim Ha Na']","['[ENG] ', '[ENG] ', '[KOR] ', '[KOR] ']","['23-21', '23-21']",XD ,20180314,"Birmingham, England"
21,"['Tai Tzu Ying [1]', 'Busanan Ongbamrungphan']","['[TPE] ', '[THA] ']","['21-15', '21-11']",WS ,20180314,"Birmingham, England"
22,"['Kenta Nishimoto', 'Ng Ka Long Angus']","['[JPN] ', '[HKG] ']","['21-12', '21-15']",MS ,20180314,"Birmingham, England"
23,"['Kamilla Rytter Juhl [3]', 'Christinna Pedersen', 'Du Yue', 'Li Yinhui']","['[DEN] ', '[DEN] ', '[CHN] ', '[CHN] ']","['24-22', '22-24', '21-16']",WD ,20180314,"Birmingham, England"
24,"['Goh V Shem', 'Tan Wee Kiong', 'Marcus Ellis', 'Chris Langridge']","['[MAS] ', '[MAS] ', '[ENG] ', '[ENG] ']","['16-21', '23-21', '21-12']",MD ,20180314,"Birmingham, England"
25,"['Shiho Tanaka [5]', 'Koharu Yonemoto', 'Chen Qingchen [1]', 'Jia Yifan']","['[JPN] ', '[JPN] ', '[CHN] ', '[CHN] ']","['14-21', '21-17', '21-15']",WD ,20180314,"Birmingham, England"
26,"['Tai Tzu Ying [1]', 'Aya Ohori']","['[TPE] ', '[JPN] ']","['21-12', '21-13']",WS ,20180314,"Birmingham, England"
27,"['Marcus Fernaldi Gideon [1]', 'Kevin Sanjaya Sukamuljo', 'Chen Hung Ling [7]', 'Wang Chi-Lin']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-15', '21-13']",MD ,20180314,"Birmingham, England"
28,"['Mathias Christiansen [6]', 'Christinna Pedersen', 'Praveen Jordan [4]', 'Debby Susanto']","['[DEN] ', '[DEN] ', '[INA] ', '[INA] ']","['21-16', '21-15']",XD ,20180314,"Birmingham, England"
29,"['Pusarla V. Sindhu [4]', 'Nozomi Okuhara [7]']","['[IND] ', '[JPN] ']","['20-22', '21-18', '21-18']",WS ,20180314,"Birmingham, England"
30,"['Akane Yamaguchi [2]', 'Carolina Marin [5]']","['[JPN] ', '[ESP] ']","['21-15', '21-18']",WS ,20180314,"Birmingham, England"
31,"['Yuta Watanabe', 'Arisa Higashino', 'Chris Adcock [7]', 'Gabrielle Adcock']","['[JPN] ', '[JPN] ', '[ENG] ', '[ENG] ']","['18-21', '21-15', '21-15']",XD ,20180314,"Birmingham, England"
32,"['Lin Dan [6]', 'Lee Chong Wei [2]']","['[CHN] ', '[MAS] ']","['21-16', '21-17']",MS ,20180314,"Birmingham, England"
33,"['Mathias Boe [2]', 'Carsten Mogensen', 'Goh V Shem', 'Tan Wee Kiong']","['[DEN] ', '[DEN] ', '[MAS] ', '[MAS] ']","['22-20', '21-11']",MD ,20180314,"Birmingham, England"
34,"['Kamilla Rytter Juhl [3]', 'Christinna Pedersen', 'Lee So Hee [7]', 'Shin Seung Chan']","['[DEN] ', '[DEN] ', '[KOR] ', '[KOR] ']","['21-15', '21-14']",WD ,20180314,"Birmingham, England"
35,"['Chen Yufei [8]', 'Mia Blichfeldt']","['[CHN] ', '[DEN] ']","['21-17', '21-12']",WS ,20180314,"Birmingham, England"
36,"['Hiroyuki Endo', 'Yuta Watanabe', 'Liao Min Chun', 'Su Ching Heng']","['[JPN] ', '[JPN] ', '[TPE] ', '[TPE] ']","['21-14', '21-19']",MD ,20180314,"Birmingham, England"
37,"['Zhang Nan [8]', 'Li Yinhui', 'Hafiz Faizal', 'Gloria Emanuelle Widjaja']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['21-14', '18-21', '21-18']",XD ,20180314,"Birmingham, England"
38,"['Shi Yuqi [7]', 'Chen Long [4]']","['[CHN] ', '[CHN] ']","['21-10', '21-17']",MS ,20180314,"Birmingham, England"
39,"['Mads Conrad-Petersen [6]', 'Mads Pieler Kolding', 'Li Junhui [3]', 'Liu Yuchen']","['[DEN] ', '[DEN] ', '[CHN] ', '[CHN] ']","['23-21', '21-15']",MD ,20180314,"Birmingham, England"
