,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Ignacio Maceiras', 'Javier De Paepe']","['[ARG] ', '[ARG] ']",[],MS - Qualification,20180405,"Buenos Aires, Argentina"
1,"['Mateo Maira', 'Franco Motto']","['[ARG] ', '[ARG] ']","['21-14', '21-11']",MS - Qualification,20180405,"Buenos Aires, Argentina"
2,"['Facundo Ayala', 'Andres Vazquez']","['[ARG] ', '[ARG] ']","['21-6', '21-7']",MS - Qualification,20180405,"Buenos Aires, Argentina"
3,"['Juan Ignacio Segui', 'Angel Bertolez']","['[ARG] ', '[ARG] ']","['16-21', '21-19', '24-22']",MS - Qualification,20180405,"Buenos Aires, Argentina"
4,"['Enrico Baroni', 'Daniel La Torre Regal [1]']","['[ITA] ', '[PER] ']","['11-21', '21-14', '21-19']",MS,20180405,"Buenos Aires, Argentina"
5,"['Fabricio Farias [5]', 'Sebastian Contró']","['[BRA] ', '[ARG] ']","['21-12', '21-9']",MS,20180405,"Buenos Aires, Argentina"
6,"['Federico Diaz', 'Danilo Peralez']","['[ARG] ', '[ARG] ']","['21-8', '21-9']",MS,20180405,"Buenos Aires, Argentina"
7,"['Alonso Medel [3]', 'Nicolas Oliva']","['[CHI] ', '[ARG] ']","['21-18', '21-16']",MS,20180405,"Buenos Aires, Argentina"
8,"['Ricky Liuzhou', 'Estanislao Joaquin Othar']","['[USA] ', '[ARG] ']","['21-15', '21-14']",MS,20180405,"Buenos Aires, Argentina"
9,"['Uriel Francisco Canjura Artiga [6]', 'Lautaro Vosylius']","['[ESA] ', '[ARG] ']","['21-3', '21-7']",MS,20180405,"Buenos Aires, Argentina"
10,"['Jorge Rodriguez', 'Dino Delmastro']","['[MEX] ', '[ARG] ']","['21-17', '21-16']",MS,20180405,"Buenos Aires, Argentina"
11,"['Jonathan Matias [8]', 'Braian Romero']","['[BRA] ', '[ARG] ']","['21-5', '21-11']",MS,20180405,"Buenos Aires, Argentina"
12,"['Giovanni Toti [4]', 'Pablo Sanchez']","['[ITA] ', '[ARG] ']","['21-9', '21-6']",MS,20180405,"Buenos Aires, Argentina"
13,"['Serafin Zayas', 'Nazareno Ayala']","['[ARG] ', '[ARG] ']","['21-6', '21-12']",MS,20180405,"Buenos Aires, Argentina"
14,"['Luis Armando Montoya Navarro [7]', 'Mateo Pinto']","['[MEX] ', '[ARG] ']","['21-7', '21-4']",MS,20180405,"Buenos Aires, Argentina"
15,"['Christopher Alexander Martinez Salvador [2]', 'Leandro Kesler Lusa']","['[GUA] ', '[ARG] ']","['21-11', '21-14']",MS,20180405,"Buenos Aires, Argentina"
16,"['Angela Zhang', 'Yovella Petrucci']","['[USA] ', '[ARG] ']","['21-15', '21-6']",WS,20180405,"Buenos Aires, Argentina"
17,"['Ailen Oliva', 'Lara Gallardo']","['[ARG] ', '[ARG] ']","['21-3', '21-7']",WS,20180405,"Buenos Aires, Argentina"
18,"['Ruhi Raju', 'Florencia Bernatene']","['[USA] ', '[ARG] ']","['21-8', '21-4']",WS,20180405,"Buenos Aires, Argentina"
19,"['Iona Gualdi', 'Marilyn Romero']","['[ARG] ', '[ARG] ']","['21-5', '21-10']",WS,20180405,"Buenos Aires, Argentina"
20,"['Micaela Suarez', 'Natalia Montiel']","['[ARG] ', '[ARG] ']","['21-19', '21-13']",WS,20180405,"Buenos Aires, Argentina"
21,"['Nicolas Oliva', 'Santiago Otero', 'Mateo Maira', 'Franco Motto']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-8', '21-7']",MD,20180405,"Buenos Aires, Argentina"
22,"['Javier Macagno', 'Estanislao Joaquin Othar', 'Facundo Ayala', 'Juan Ignacio Segui']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['15-21', '21-14', '21-16']",MD,20180405,"Buenos Aires, Argentina"
23,"['Jon Cigorraga', 'Matias Teitelbaum', 'Nazareno Ayala', 'Javier De Paepe']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']",[],MD,20180405,"Buenos Aires, Argentina"
24,"['Mateo Delmastro', 'Federico Diaz', 'Angel Bertolez', 'Lautaro Vosylius']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-11', '21-7']",MD,20180405,"Buenos Aires, Argentina"
25,"['Sebastian Contró', 'Pablo Sanchez', 'Leandro Kesler Lusa', 'Mateo Pinto']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-10', '19-21', '21-13']",MD,20180405,"Buenos Aires, Argentina"
26,"['Facundo Maceiras', 'Ignacio Maceiras', 'Danilo Peralez', 'Braian Romero']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-11', '21-16']",MD,20180405,"Buenos Aires, Argentina"
27,"['Federico Diaz', 'Florencia Bernatene', 'Santiago Otero', 'Iona Gualdi']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-15', '17-21', '21-19']",XD,20180405,"Buenos Aires, Argentina"
28,"['Javier Macagno', 'Barbara Maria Berruezo', 'Serafin Zayas', 'Micaela Suarez']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-18', '27-25']",XD,20180405,"Buenos Aires, Argentina"
29,"['Braian Romero', 'Marilyn Romero', 'Estanislao Joaquin Othar', 'Natalia Montiel']","['[ARG] ', '[ARG] ', '[ARG] ', '[ARG] ']","['21-11', '16-21', '23-21']",XD,20180405,"Buenos Aires, Argentina"
