,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Ratnajit Tamang [4]', 'Pang Fong Pui']","['[NEP] ', '[MAC] ']","['17-21', '21-16', '21-16']",MS - Group D,20180424
1,"['Hu Yun', 'Adnan Ebrahim']","['[HKG] ', '[BRN] ']","['21-16', '21-14']",MS - Group A,20180424
2,"['Bahaedeen Ahmad Alshannik [2]', 'Jaspar Woon Chai Yu']","['[JOR] ', '[BRU] ']","['21-18', '21-15']",MS - Group B,20180424
3,"['Wangcharoen Kantaphon', 'Dmitriy Panarin']","['[THA] ', '[KAZ] ']","['21-14', '21-9']",MS - Group C,20180424
4,"['Sri Krishna Priya Kudaravalli [4]', 'Soraya Aghaeihajiagha']","['[IND] ', '[IRI] ']","['21-12', '22-20']",WS - Group C,20180424
5,"['Angga Pratama', 'Rian Agung Saputro', 'Danny Bawa Chrisnanta [3]', 'Hee Yong Kai Terry']","['[INA] ', '[INA] ', '[SGP] ', '[SGP] ']","['21-19', '21-14']",MD - Group C,20180424
6,"['Mohammad Ahsan [4]', 'Hendra Setiawan', 'Ahmad Mahyuddin Haji Abas', 'Mohamad Fairie Syah Ruslan']","['[INA] ', '[INA] ', '[BRU] ', '[BRU] ']","['21-8', '21-15']",MD - Group D,20180424
7,"['Jui Jeon', 'Thilini Pramodika Hendahewa']","['[KOR] ', '[SRI] ']","['21-6', '21-7']",WS - Group A,20180424
8,"['Leong Iok Chong', 'Pang Fong Pui', 'Kapil Chaudhary [2]', 'Brijesh Yadav']","['[MAC] ', '[MAC] ', '[IND] ', '[IND] ']",[],MD - Group B,20180424
9,"['Thuy Linh Nguyen', 'Fathimath Nabaaha Abdul Razzaq']","['[VIE] ', '[MDV] ']","['21-7', '21-4']",WS - Group B,20180424
10,"['Chua Hui Zhen Grace', 'Weng Chi Ng']","['[SGP] ', '[MAC] ']","['21-3', '21-9']",WS - Group D,20180424
11,"['Ratnajit Tamang [4]', 'Artyom Savatyugin']","['[NEP] ', '[UZB] ']","['21-18', '10-21', '21-15']",MS - Group D,20180424
12,"['Jaspar Woon Chai Yu', 'Batdavaa Munkhbat']","['[BRU] ', '[MGL] ']","['21-15', '21-13']",MS - Group B,20180424
13,"['Adnan Ebrahim', 'Mehran Shahbazi']","['[BRN] ', '[IRI] ']","['21-23', '22-20', '21-15']",MS - Group A,20180424
14,"['Dmitriy Panarin', 'Hussein Zayan Shaheed']","['[KAZ] ', '[MDV] ']","['21-16', '21-5']",MS - Group C,20180424
15,"['Yeo Jia Min', 'Soraya Aghaeihajiagha']","['[SGP] ', '[IRI] ']","['21-10', '21-11']",WS - Group C,20180424
16,"['Dipesh Dhami', 'Ratnajit Tamang', 'Ahmad Mahyuddin Haji Abas', 'Mohamad Fairie Syah Ruslan']","['[NEP] ', '[NEP] ', '[BRU] ', '[BRU] ']","['20-22', '21-8', '21-19']",MD - Group D,20180424
17,"['Dinuka Karunaratna', 'Niluka Karunaratne', 'Kapil Chaudhary [2]', 'Brijesh Yadav']","['[SRI] ', '[SRI] ', '[IND] ', '[IND] ']",[],MD - Group B,20180424
18,"['Pang Fong Pui', 'Artyom Savatyugin']","['[MAC] ', '[UZB] ']","['21-16', '21-9']",MS - Group D,20180424
19,"['Hu Yun', 'Mehran Shahbazi']","['[HKG] ', '[IRI] ']","['21-15', '21-10']",MS - Group A,20180424
20,"['Bahaedeen Ahmad Alshannik [2]', 'Batdavaa Munkhbat']","['[JOR] ', '[MGL] ']","['21-17', '21-10']",MS - Group B,20180424
21,"['Wangcharoen Kantaphon', 'Hussein Zayan Shaheed']","['[THA] ', '[MDV] ']","['21-5', '21-11']",MS - Group C,20180424
22,"['Angga Pratama', 'Rian Agung Saputro', 'Artur Niyazov', 'Dmitriy Panarin']","['[INA] ', '[INA] ', '[KAZ] ', '[KAZ] ']","['21-6', '21-15']",MD - Group C,20180424
23,"['Dinuka Karunaratna', 'Niluka Karunaratne', 'Leong Iok Chong', 'Pang Fong Pui']","['[SRI] ', '[SRI] ', '[MAC] ', '[MAC] ']","['21-13', '21-11']",MD - Group B,20180424
24,"['Mohammad Ahsan [4]', 'Hendra Setiawan', 'Dipesh Dhami', 'Ratnajit Tamang']","['[INA] ', '[INA] ', '[NEP] ', '[NEP] ']","['21-9', '21-7']",MD - Group D,20180424
25,"['Yeo Jia Min', 'Sri Krishna Priya Kudaravalli [4]']","['[SGP] ', '[IND] ']","['21-6', '21-11']",WS - Group C,20180424
26,"['Danny Bawa Chrisnanta [3]', 'Hee Yong Kai Terry', 'Artur Niyazov', 'Dmitriy Panarin']","['[SGP] ', '[SGP] ', '[KAZ] ', '[KAZ] ']","['21-19', '21-15']",MD - Group C,20180424
27,"['Tinn Isriyanet', 'Pacharapun Chochuwong', 'Lu Ching Yao', 'Chiang Kai Hsin']","['[THA] ', '[THA] ', '[TPE] ', '[TPE] ']","['21-11', '17-21', '21-12']",XD,20180424
28,"['Tontowi Ahmad [1]', 'Liliyana Natsir', 'Yuki Kaneko', 'Koharu Yonemoto']","['[INA] ', '[INA] ', '[JPN] ', '[JPN] ']","['21-18', '21-12']",XD,20180424
29,"['Kim Won Ho', 'Shin Seung Chan', 'Saurabh Sharma', 'Anoushka Parikh']","['[KOR] ', '[KOR] ', '[IND] ', '[IND] ']","['21-17', '21-14']",XD,20180424
30,"['Tang Chun Man [3]', 'Tse Ying Suet', 'Praveen Jordan', 'Melati Daeva Oktavianti']","['[HKG] ', '[HKG] ', '[INA] ', '[INA] ']","['21-16', '21-12']",XD,20180424
31,"['Ratchanok Intanon [4]', 'Lee Chia Hsin']","['[THA] ', '[TPE] ']","['21-7', '21-13']",WS,20180424
32,"['He Jiting', 'Du Yue', 'Tan Kian Meng [7]', 'Lai Pei Jing']","['[CHN] ', '[CHN] ', '[MAS] ', '[MAS] ']","['18-21', '21-12', '21-16']",XD,20180424
33,"['Nipitphon Phuangphuapet', 'Jongkolphan Kititharakul', 'Danny Bawa Chrisnanta', 'Wong Jia Ying Crystal']","['[THA] ', '[THA] ', '[SGP] ', '[SGP] ']","['21-9', '13-21', '21-12']",XD,20180424
34,"['Zheng Siwei [5]', 'Huang Yaqiong', 'Hussein Zayan Shaheed', 'Fathimath Nabaaha Abdul Razzaq']","['[CHN] ', '[CHN] ', '[MDV] ', '[MDV] ']","['21-2', '21-9']",XD,20180424
35,"['Choi Solgyu', 'Chae Yujung', 'Liao Min Chun', 'Chen Hsiao Huan']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-17', '24-22']",XD,20180424
36,"['Tai Tzu Ying [1]', 'Jui Jeon']","['[TPE] ', '[KOR] ']","['21-13', '21-9']",WS,20180424
37,"['Chen Long [3]', 'Bahaedeen Ahmad Alshannik']","['[CHN] ', '[JOR] ']","['21-8', '21-8']",MS,20180424
38,"['Kim Hyo Min', 'Lyanny Alessandra Mainaky']","['[KOR] ', '[INA] ']","['21-10', '21-10']",WS,20180424
39,"['He Bingjiao [8]', 'Yip Pui Yin']","['[CHN] ', '[HKG] ']","['21-19', '21-14']",WS,20180424
40,"['Pornpawee Chochuwong', 'Aya Ohori']","['[THA] ', '[JPN] ']","['21-7', '16-21', '21-18']",WS,20180424
41,"['Lee Jang Mi', 'Hanna Ramadini']","['[KOR] ', '[INA] ']","['21-17', '17-21', '25-23']",WS,20180424
42,"['Kidambi Srikanth [1]', 'Kenta Nishimoto']","['[IND] ', '[JPN] ']","['13-21', '21-16', '21-16']",MS,20180424
43,"['Wong Wing Ki Vincent', 'Ratnajit Tamang']","['[HKG] ', '[NEP] ']","['21-16', '17-21', '21-4']",MS,20180424
44,"['Anthony Sinisuka Ginting', 'Niluka Karunaratne']","['[INA] ', '[SRI] ']","['22-20', '21-12']",MS,20180424
45,"['Shi Yuqi [4]', 'Lee Dong Keun']","['[CHN] ', '[KOR] ']","['21-3', '6-2']",MS,20180424
46,"['Wang Chi-Lin', 'Lee Chia Hsin', 'Hee Yong Kai Terry', 'Ong Ren-Ne']","['[TPE] ', '[TPE] ', '[SGP] ', '[SGP] ']","['21-15', '21-13']",XD,20180424
47,"['Della Destiara Haris', 'Rizki Amelia Pradipta', 'Hsu Ya Ching', 'Wu Ti Jung']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-17', '21-16']",WD,20180424
48,"['Kento Momota', 'Tien Minh Nguyen']","['[JPN] ', '[VIE] ']","['21-11', '21-15']",MS,20180424
49,"['Chou Tien Chen [7]', 'Sameer Verma']","['[TPE] ', '[IND] ']","['23-21', '21-17']",MS,20180424
50,"['Chen Qingchen [1]', 'Jia Yifan', 'Kittipak Dubthuk', 'Natcha Saengchote']","['[CHN] ', '[CHN] ', '[THA] ', '[THA] ']","['21-10', '21-18']",WD,20180424
51,"['Saina Nehwal', 'Yeo Jia Min']","['[IND] ', '[SGP] ']","['21-12', '21-9']",WS,20180424
52,"['Greysia Polii [5]', 'Apriyani Rahayu', 'Huang Dongping', 'Li Wenmei']","['[INA] ', '[INA] ', '[CHN] ', '[CHN] ']","['15-21', '21-11', '21-19']",WD,20180424
53,"['Naoko Fukuman', 'Kurumi Yonao', 'Lee So Hee [6]', 'Shin Seung Chan']","['[JPN] ', '[JPN] ', '[KOR] ', '[KOR] ']",['5-2'],WD,20180424
54,"['Yuki Fukushima [3]', 'Sayaka Hirota', 'Chow Mei Kuan', 'Lee Meng Yean']","['[JPN] ', '[JPN] ', '[MAS] ', '[MAS] ']","['21-12', '21-7']",WD,20180424
55,"['Huang Yaqiong', 'Tang Jinhua', 'Cheng Yu Chieh', 'Hu Ling Fang']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-13', '21-15']",WD,20180424
56,"['Jongkolphan Kititharakul [7]', 'Rawinda Prajongjai', 'Xue Xin Gong', 'Weng Chi Ng']","['[THA] ', '[THA] ', '[MAC] ', '[MAC] ']","['21-11', '21-9']",WD,20180424
57,"['Gao Fangjie', 'Nozomi Okuhara [5]']","['[CHN] ', '[JPN] ']","['21-15', '23-21']",WS,20180424
58,"['Jakkampudi Meghana', 'Poorvisha S Ram', 'Ong Ren-Ne', 'Wong Jia Ying Crystal']","['[IND] ', '[IND] ', '[SGP] ', '[SGP] ']","['14-21', '22-20', '21-17']",WD,20180424
59,"['Arjun M.R.', 'Ramchandran Shlok', 'Chung Eui Seok', 'Kim Dukyoung']","['[IND] ', '[IND] ', '[KOR] ', '[KOR] ']","['25-23', '23-21']",MD,20180424
60,"['Takuto Inoue [6]', 'Yuki Kaneko', 'Or Chin Chung', 'Tang Chun Man']","['[JPN] ', '[JPN] ', '[HKG] ', '[HKG] ']","['21-13', '21-10']",MD,20180424
61,"['Du Yue [8]', 'Li Yinhui', 'Chayanit Chaladchalam', 'Phataimas Muenwong']","['[CHN] ', '[CHN] ', '[THA] ', '[THA] ']","['21-10', '21-17']",WD,20180424
62,"['Lee Chong Wei [5]', 'Qiao Bin']","['[MAS] ', '[CHN] ']","['21-17', '21-16']",MS,20180424
63,"['Lu Ching Yao', 'Yang Po Han', 'Sze Fei Goh', 'Nur Izzuddin']","['[TPE] ', '[TPE] ', '[MAS] ', '[MAS] ']","['20-22', '21-18', '21-17']",MD,20180424
64,"['Huang Kaixiang', 'Wang Yilyu', 'Chen Hung Ling [4]', 'Wang Chi-Lin']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-11', '21-19']",MD,20180424
65,"['Angga Pratama', 'Rian Agung Saputro', 'Ong Yew Sin', 'Teo Ee Yi']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-17', '25-23']",MD,20180424
66,"['Fajar Alfian [7]', 'Muhammad Rian Ardianto', 'Hyuk Gyun Choi', 'Park Kyung Hoon']","['[INA] ', '[INA] ', '[KOR] ', '[KOR] ']","['21-18', '21-17']",MD,20180424
67,"['Liu Cheng [2]', 'Zhang Nan', 'Bahaedeen Ahmad Alshannik', 'Mohd Naser Mansour Nayef']","['[CHN] ', '[CHN] ', '[JOR] ', '[JOR] ']","['21-11', '21-16']",MD,20180424
68,"['Dechapol Puavaranukroh [8]', 'Sapsiree Taerattanachai', 'Chang Tak Ching', 'Ng Wing Yung']","['[THA] ', '[THA] ', '[HKG] ', '[HKG] ']","['18-21', '21-12', '21-15']",XD,20180424
69,"['Yuta Watanabe', 'Arisa Higashino', 'Seung Jae Seo [4]', 'Kim Ha Na']","['[JPN] ', '[JPN] ', '[KOR] ', '[KOR] ']","['21-16', '21-12']",XD,20180424
70,"['Ricky Karandasuwardi', 'Debby Susanto', 'Sachin Dias', 'Thilini Pramodika Hendahewa']","['[INA] ', '[INA] ', '[SRI] ', '[SRI] ']","['21-14', '17-21', '21-10']",XD,20180424
71,"['Goh Soon Huat [6]', 'Shevon Jemie Lai', 'Lee Yang', 'Hsu Ya Ching']","['[MAS] ', '[MAS] ', '[TPE] ', '[TPE] ']","['21-19', '21-6']",XD,20180424
72,"['Pusarla V. Sindhu [3]', 'Pai Yu Po']","['[IND] ', '[TPE] ']","['21-14', '21-19']",WS,20180424
73,"['Lee Chun Hei Reginald', 'Chau Hoi Wah', 'Venkat Gaurav Prasad', 'Juhi Dewangan']","['[HKG] ', '[HKG] ', '[IND] ', '[IND] ']","['21-11', '21-13']",XD,20180424
74,"['Busanan Ongbamrungphan', 'Goh Jin Wei']","['[THA] ', '[MAS] ']","['18-21', '21-15', '21-10']",WS,20180424
75,"['Sung Ji Hyun [7]', 'Sayaka Sato']","['[KOR] ', '[JPN] ']","['21-13', '21-19']",WS,20180424
76,"['Chen Xiaoxin', 'Thuy Linh Nguyen']","['[CHN] ', '[VIE] ']","['21-13', '21-9']",WS,20180424
77,"['Wang Yilyu [2]', 'Huang Dongping', 'Tuan Duc Do', 'Nhu Thao Pham']","['[CHN] ', '[CHN] ', '[VIE] ', '[VIE] ']","['21-10', '21-15']",XD,20180424
78,"['Nitchaon Jindapol', 'Ying Ying Lee']","['[THA] ', '[MAS] ']","['12-21', '21-17', '21-17']",WS,20180424
79,"['Chen Yufei [6]', 'Chiang Mei Hui']","['[CHN] ', '[TPE] ']","['21-10', '21-15']",WS,20180424
80,"['Cheung Ngan Yi', 'Dinar Dyah Ayustine']","['[HKG] ', '[INA] ']","['21-17', '21-18']",WS,20180424
81,"['Wang Tzu Wei', 'Lin Dan [6]']","['[TPE] ', '[CHN] ']","['15-21', '21-9', '21-16']",MS,20180424
