,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Yehezkiel Fritz Mainaky', 'Cham Chen']","['[INA] ', '[AUS] ']","['21-14', '21-14']",MS - Qualification,20180508
1,"['Peter Yan', 'K. Ajay Kumar']","['[AUS] ', '[IND] ']",[],MS - Qualification,20180508
2,"['Pit Seng Low', 'De Jun Jackie Tan']","['[AUS] ', '[SGP] ']","['21-10', '21-3']",MS - Qualification,20180508
3,"['Robert Mann', 'Dylan Soedjasa']","['[LUX] ', '[NZL] ']","['21-12', '21-17']",MS - Qualification,20180508
4,"['Yang Shen', 'Dimitri Han']","['[AUS] ', '[AUS] ']","['16-21', '21-18', '21-14']",MS - Qualification,20180508
5,"['Sun Feixiang', 'Kan Chao Yu']","['[CHN] ', '[TPE] ']","['21-17', '21-19']",MS - Qualification,20180508
6,"['Riichi Takeshita', 'Kunlavut Vitidsarn']","['[JPN] ', '[THA] ']","['16-21', '21-17', '21-14']",MS - Qualification,20180508
7,"['Lu Guangzu', 'Henrikho Kho Wibowo']","['[CHN] ', '[INA] ']","['21-17', '21-12']",MS - Qualification,20180508
8,"['Ga Eun Kim', 'Zecily Fung']","['[KOR] ', '[AUS] ']","['21-12', '21-6']",WS - Qualification,20180508
9,"['Ayumi Mine', 'Deng Joy Xuan']","['[JPN] ', '[HKG] ']","['22-20', '21-19']",WS - Qualification,20180508
10,"['Yukino Nakai', 'Kelly Xu']","['[JPN] ', '[AUS] ']","['21-6', '21-9']",WS - Qualification,20180508
11,"['Yingzi Jiang', 'Sally Fu']","['[AUS] ', '[NZL] ']","['21-17', '21-13']",WS - Qualification,20180508
12,"['Yehezkiel Fritz Mainaky', 'Robert Mann']","['[INA] ', '[LUX] ']","['21-15', '21-17']",MS - Qualification,20180508
13,"['Min Hyuk Kang', 'Ha Na Baek', 'Eric Vuong', 'Lee Yen Khoo']","['[KOR] ', '[KOR] ', '[AUS] ', '[AUS] ']","['21-8', '21-18']",XD - Qualification,20180508
14,"['Sun Feixiang', 'Peter Yan']","['[CHN] ', '[AUS] ']","['21-14', '22-20']",MS - Qualification,20180508
15,"['Lu Guangzu', 'Pit Seng Low']","['[CHN] ', '[AUS] ']","['21-3', '21-6']",MS - Qualification,20180508
16,"['Riichi Takeshita', 'Yang Shen']","['[JPN] ', '[AUS] ']","['21-2', '21-11']",MS - Qualification,20180508
17,"['Lukas Defolky', 'Sylvina Kurniawan', 'Eddie Hung', 'Kelly Xu']","['[AUS] ', '[AUS] ', '[AUS] ', '[AUS] ']","['21-14', '21-15']",XD - Qualification,20180508
18,"['Park Kyung Hoon [2]', 'Hee Yong Kong', 'Cham Chen', 'Jodee Vega']","['[KOR] ', '[KOR] ', '[AUS] ', '[AUS] ']","['21-11', '21-6']",XD - Qualification,20180508
