,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Xu Wei', 'Yukino Nakai']","['[CHN] ', '[JPN] ']","['21-18', '21-15']",WS - Qualification ,20180221
1,"['Anna Thea Madsen', 'Smit Toshniwal']","['[DEN] ', '[IND] ']","['21-17', '21-16']",WS - Qualification ,20180221
2,"['Jenny Ertl', 'Daniella Gonda']","['[AUT] ', '[HUN] ']","['10-21', '21-18', '21-17']",WS - Qualification ,20180221
3,"['Kento Saeki', 'Jesper Toft']","['[JPN] ', '[DEN] ']","['22-24', '21-15', '21-16']",MS - Qualification ,20180221
4,"['Lino Munoz', 'Saran Jamsri']","['[MEX] ', '[THA] ']","['21-11', '13-21', '21-19']",MS - Qualification ,20180221
5,"['Wolfgang Gnedt', 'Phanuwat Srimanta']","['[AUT] ', '[THA] ']","['15-21', '21-13', '21-12']",MS - Qualification ,20180221
6,"['Ruttanapak Oupthong', 'Max Weisskirchen']","['[THA] ', '[GER] ']","['21-19', '22-20']",MS - Qualification ,20180221
7,"['Alex Vlaar', 'Shi Xuan Dominic Soh']","['[BUL] ', '[SGP] ']","['21-19', '21-19']",MS - Qualification ,20180221
8,"['Pornpicha Choeikeewong', 'Helina Rüütel']","['[THA] ', '[EST] ']","['21-9', '22-20']",WS - Qualification ,20180221
9,"['Shiori Ebihara', 'Sri Fatmawati']","['[JPN] ', '[INA] ']","['18-21', '23-21', '21-13']",WS - Qualification ,20180221
10,"['Miha Ivanic', 'Cristian Savin']","['[SLO] ', '[MDA] ']","['21-18', '21-12']",MS - Qualification ,20180221
11,"['David Peng', 'Phone Pyae Naing']","['[GER] ', '[MYA] ']","['14-21', '21-14', '21-16']",MS - Qualification ,20180221
12,"['Ruttanapak Oupthong', 'Adi Pratama']","['[THA] ', '[INA] ']","['21-16', '22-20']",MS - Qualification ,20180221
13,"['Daniel Grassmuck', 'Roman Zirnwald', 'Lasse Brund', 'Mickey Lykkegren']","['[AUT] ', '[AUT] ', '[DEN] ', '[DEN] ']","['18-21', '21-12', '21-12']",MD - Qualification ,20180221
14,"['Deng Joy Xuan', 'Li Sizhuo']","['[HKG] ', '[CHN] ']","['21-17', '22-20']",WS - Qualification ,20180221
15,"['Anna Mikhalkova', 'Lia Salehar']","['[UKR] ', '[SLO] ']","['13-21', '26-24', '21-18']",WS - Qualification ,20180221
16,"['Chasinee Korepap', 'Wei Yawen']","['[THA] ', '[CHN] ']","['21-14', '22-20']",WS - Qualification ,20180221
17,"['Cristian Savin', 'Hannes Gerberich']","['[MDA] ', '[GER] ']","['21-17', '21-8']",MS - Qualification ,20180221
18,"['Bernardo Atilano', 'Lukas Zevl']","['[POR] ', '[CZE] ']","['14-21', '21-15', '21-18']",MS - Qualification ,20180221
19,"['David Peng', 'Leon Seiwald']","['[GER] ', '[AUT] ']","['17-21', '24-22', '21-10']",MS - Qualification ,20180221
20,"['Kunlavut Vitidsarn', 'Kenya Mitsuhashi']","['[THA] ', '[JPN] ']","['21-17', '21-14']",MS - Qualification ,20180221
21,"['Dmytro Zavadsky', 'Daniel Hardiana Octavianus']","['[UKR] ', '[INA] ']","['21-11', '21-7']",MS - Qualification ,20180221
22,"['Tanishq Mamilla Palli', 'Jenny Ertl']","['[IND] ', '[AUT] ']","['21-18', '21-10']",WS - Qualification ,20180221
23,"['Amalie Hertz', 'Lin Hsiang Ti']","['[DEN] ', '[TPE] ']","['21-15', '15-21', '22-20']",WS - Qualification ,20180221
24,"['Lino Munoz', 'Kasper Dinesen']","['[MEX] ', '[DEN] ']","['21-16', '18-21', '21-19']",MS - Qualification ,20180221
25,"['Chen Ching Wei', 'Adrian Dziolko']","['[TPE] ', '[POL] ']","['22-20', '21-18']",MS - Qualification ,20180221
26,"['Andre Marteen', 'Ditlev Jaeger Holm']","['[INA] ', '[DEN] ']","['21-19', '21-15']",MS - Qualification ,20180221
