,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Aram Mahmoud', 'Kanishq M']","['[NED] ', '[IND] ']","['19-21', '21-6', '21-12']",MS - Qualification ,20180412,"Wateringen, Netherlands"
1,"['Torjus Flaatten', 'Christoffer Elbrønd']","['[NOR] ', '[DEN] ']","['19-21', '21-14', '21-16']",MS - Qualification ,20180412,"Wateringen, Netherlands"
2,"['Mohamed Abderrahime Belarbi [14]', 'Sander De Decker']","['[ALG] ', '[BEL] ']","['21-16', '21-23', '21-8']",MS - Qualification ,20180412,"Wateringen, Netherlands"
3,"['Julian Edhofer', 'Joachim Cansse']","['[GER] ', '[BEL] ']","['21-18', '21-19']",MS - Qualification ,20180412,"Wateringen, Netherlands"
4,"['Peter Roenn Stensaeth [9]', 'Quentin Filliettaz']","['[NOR] ', '[SUI] ']","['22-20', '21-18']",MS - Qualification ,20180412,"Wateringen, Netherlands"
5,"['Jeppe Bruun', 'Frederik Aalestrup']","['[DEN] ', '[DEN] ']","['21-11', '21-12']",MS - Qualification ,20180412,"Wateringen, Netherlands"
6,"['Johnnie Torjussen', 'Stijn De Langhe']","['[ENG] ', '[BEL] ']","['21-11', '21-15']",MS - Qualification ,20180412,"Wateringen, Netherlands"
7,"['Tobias Kuenzi', 'Peter Roenn Stensaeth [9]']","['[SUI] ', '[NOR] ']","['21-10', '21-12']",MS - Qualification ,20180412,"Wateringen, Netherlands"
8,"['Ieva Pope [6]', 'Joke De Langhe']","['[LAT] ', '[BEL] ']","['21-15', '14-21', '21-17']",WS - Qualification ,20180412,"Wateringen, Netherlands"
9,"['Line Christophersen [3]', 'Anastasiia Shapovalova']","['[DEN] ', '[RUS] ']","['21-13', '17-21', '21-19']",WS - Qualification ,20180412,"Wateringen, Netherlands"
10,"['Rebecca Kuhl', 'Monika Radovska']","['[SWE] ', '[LAT] ']","['24-22', '21-16']",WS - Qualification ,20180412,"Wateringen, Netherlands"
11,"['Chang Ya Lan', 'Cheng Wen Hsing', 'Fee Teng Liew', 'Lizzie Tolman']","['[TPE] ', '[TPE] ', '[ENG] ', '[ENG] ']","['21-14', '21-15']",WD - Qualification ,20180412,"Wateringen, Netherlands"
12,"['Joran Kweekel', 'Dimitar Yanakiev [16]']","['[NED] ', '[BUL] ']","['21-14', '17-21', '21-19']",MS - Qualification ,20180412,"Wateringen, Netherlands"
13,"['Joonas Korhonen [15]', 'Karl Thor Søndergaard']","['[FIN] ', '[DEN] ']","['21-12', '21-15']",MS - Qualification ,20180412,"Wateringen, Netherlands"
14,"['Johanna Magnusson [8]', 'Anne Fuglsang']","['[SWE] ', '[DEN] ']","['21-18', '21-12']",WS - Qualification ,20180412,"Wateringen, Netherlands"
15,"['Aram Mahmoud', 'Rory Easton']","['[NED] ', '[ENG] ']","['21-14', '21-14']",MS - Qualification ,20180412,"Wateringen, Netherlands"
