,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Mikk Ounmaa', 'Sigrid Laura Moora', 'Edijs Livins', 'Diana Stognija']","['[EST] ', '[EST] ', '[LAT] ', '[LAT] ']","['21-14', '21-14']",XD - Qualification ,20180111,"Tallinn, Estonia"
1,"['Joonas Korhonen', 'Marton Szerecz']","['[FIN] ', '[HUN] ']","['21-15', '12-21', '21-11']",MS - Qualification ,20180111,"Tallinn, Estonia"
2,"['Julien Scheiwiller', 'Zach Russ [6]']","['[SUI] ', '[ENG] ']","['21-19', '21-17']",MS - Qualification ,20180111,"Tallinn, Estonia"
3,"['Valentin Singer', 'Marcus Lõo']","['[FRA] ', '[EST] ']","['21-12', '21-8']",MS - Qualification ,20180111,"Tallinn, Estonia"
4,"['Sander Merits', 'Reinis Sefers']","['[EST] ', '[LAT] ']","['21-15', '21-16']",MS - Qualification ,20180111,"Tallinn, Estonia"
5,"['Miika Lahtinen', 'Rui Mendes']","['[FIN] ', '[POR] ']","['25-23', '16-21', '21-15']",MS - Qualification ,20180111,"Tallinn, Estonia"
6,"['Léonice Huet', 'Mathilde Haapanen']","['[FRA] ', '[DEN] ']","['21-12', '21-15']",WS - Qualification ,20180111,"Tallinn, Estonia"
7,"['Maja Pavlinic [4]', 'Julia Bitsoukova']","['[CRO] ', '[BLR] ']","['21-10', '21-13']",WS - Qualification ,20180111,"Tallinn, Estonia"
8,"['Maija Krzywacki', 'Hannaliina Piho']","['[FIN] ', '[EST] ']","['13-21', '21-12', '23-21']",WS - Qualification ,20180111,"Tallinn, Estonia"
9,"['Tuuli Harkonen', 'Vlada Gynga']","['[FIN] ', '[MDA] ']","['21-16', '21-17']",WS - Qualification ,20180111,"Tallinn, Estonia"
10,"['Jere Övermark', 'Inalotta Suutarinen', 'Alexander Raudsepp', 'Merit Mägi']","['[FIN] ', '[FIN] ', '[EST] ', '[EST] ']","['21-10', '21-15']",XD - Qualification ,20180111,"Tallinn, Estonia"
11,"['Dmytro Zavadsky [8]', 'Kristjan Täherand']","['[UKR] ', '[EST] ']","['21-18', '21-18']",MS - Qualification ,20180111,"Tallinn, Estonia"
12,"['Mikk Ounmaa', 'Sigrid Laura Moora', 'Jesper Paul', 'Elina Niiranen']","['[EST] ', '[EST] ', '[FIN] ', '[FIN] ']","['24-22', '21-17']",XD - Qualification ,20180111,"Tallinn, Estonia"
13,"['Jhotiswaran Karupathevan', 'Dimitar Yanakiev']","['[MAS] ', '[BUL] ']","['21-18', '21-16']",MS - Qualification ,20180111,"Tallinn, Estonia"
14,"['Michelle Skødstrup', 'Ashwathi Pillai [3]']","['[DEN] ', '[SWE] ']","['21-7', '21-7']",WS - Qualification ,20180111,"Tallinn, Estonia"
15,"['Oskari Larkimo', 'Tuomas Nuorteva', 'Karl Kivinurm', 'Vahur Lukin']","['[FIN] ', '[FIN] ', '[EST] ', '[EST] ']","['21-13', '21-12']",MD - Qualification ,20180111,"Tallinn, Estonia"
16,"['Julien Scheiwiller', 'Mika Kongas']","['[SUI] ', '[FIN] ']","['16-21', '21-19', '21-17']",MS - Qualification ,20180111,"Tallinn, Estonia"
17,"['Rainer Kaljumae', 'Pauls Gureckis']","['[EST] ', '[LAT] ']","['21-13', '21-10']",MS - Qualification ,20180111,"Tallinn, Estonia"
18,"['Dmytro Zavadsky [8]', 'Douglas Lidman']","['[UKR] ', '[SWE] ']","['21-15', '21-15']",MS - Qualification ,20180111,"Tallinn, Estonia"
19,"['Jere Övermark', 'Inalotta Suutarinen', 'Andres Aru', 'Ulla Helm']","['[FIN] ', '[FIN] ', '[EST] ', '[EST] ']","['21-17', '23-21']",XD - Qualification ,20180111,"Tallinn, Estonia"
20,"['Jesper Paul', 'Shokhzod Gulomzoda']","['[FIN] ', '[RUS] ']","['10-21', '21-12', '21-16']",MS - Qualification ,20180111,"Tallinn, Estonia"
21,"['Mika Kongas', 'Mikhail Lavrikov']","['[FIN] ', '[RUS] ']","['22-20', '21-8']",MS - Qualification ,20180111,"Tallinn, Estonia"
