,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Andy Tsai', 'Juha Honkanen']","['[SWE] ', '[FIN] ']","['21-7', '21-11']",MS - Qualification,20180405
1,"['Julius Von Pfaler', 'Siril Verma [5]']","['[FIN] ', '[IND] ']",[],MS - Qualification,20180405
2,"['Sahil Sipani [6]', 'Raymond Webster']","['[IND] ', '[ENG] ']","['21-0', '21-1']",MS - Qualification,20180405
3,"['Mihkel Laanes', 'Iiro Kokko']","['[EST] ', '[FIN] ']","['18-21', '21-11', '21-16']",MS - Qualification,20180405
4,"['Gurusaidutt R. M. V. [9]', 'Heming Lin']","['[IND] ', '[FIN] ']","['21-10', '21-13']",MS - Qualification,20180405
5,"['Joshua Magee [15]', 'Vladimir Nikulov']","['[IRL] ', '[RUS] ']","['21-14', '21-12']",MS - Qualification,20180405
6,"['Adrian George', 'Mika Kongas']","['[IND] ', '[FIN] ']","['21-16', '21-12']",MS - Qualification,20180405
7,"['Hermansah .', 'Hans-Kristjan Pilve']","['[INA] ', '[EST] ']","['21-12', '21-6']",MS - Qualification,20180405
8,"['Dmytro Zavadsky', 'Jesper Paul']","['[UKR] ', '[FIN] ']","['21-18', '21-12']",MS - Qualification,20180405
9,"['Cristian Savin [16]', 'Anton Monnberg']","['[MDA] ', '[FIN] ']","['21-5', '21-11']",MS - Qualification,20180405
10,"['Justus Kilpi', 'Pauli Saarinen']","['[FIN] ', '[FIN] ']","['21-13', '21-16']",MS - Qualification,20180405
11,"['Kento Saeki', 'Hardik Makkar']","['[JPN] ', '[IND] ']","['21-14', '21-6']",MS - Qualification,20180405
12,"['Maxime Tétreault', 'Jack Macgregor']","['[CAN] ', '[SCO] ']","['21-13', '21-15']",MS - Qualification,20180405
13,"['Pavel Kotsarenko', 'Matej Hlinican [13]']","['[RUS] ', '[SVK] ']","['21-17', '21-19']",MS - Qualification,20180405
14,"['Dmitrii Klimenko', 'Sven- Matti Kamann']","['[RUS] ', '[GER] ']","['21-10', '21-14']",MS - Qualification,20180405
15,"['Kanishq M', 'Marcus Lõo']","['[IND] ', '[EST] ']","['21-13', '21-10']",MS - Qualification,20180405
16,"['Joonas Korhonen', 'Joakim Oldorff']","['[FIN] ', '[FIN] ']","['21-15', '21-16']",MS - Qualification,20180405
17,"['Arto Lahtinen', 'Artem Serpionov']","['[FIN] ', '[RUS] ']","['21-9', '21-10']",MS - Qualification,20180405
18,"['Yoshitaka Ogura', 'Phone Pyae Naing']","['[JPN] ', '[MYA] ']","['23-25', '21-17', '21-12']",MS - Qualification,20180405
19,"['Valtteri Nieminen', 'Milan Dratva [11]']","['[FIN] ', '[SVK] ']","['21-15', '21-13']",MS - Qualification,20180405
20,"['Hemanth M.Gowda', 'Muhammed Ali Kurt [4]']","['[IND] ', '[TUR] ']",[],MS - Qualification,20180405
21,"['Shintaro Inokuma', 'Mads Christophersen [12]']","['[JPN] ', '[DEN] ']","['21-19', '19-21', '21-11']",MS - Qualification,20180405
22,"['Karl Kert', 'Bodhit Joshi [8]']","['[EST] ', '[IND] ']",[],MS - Qualification,20180405
23,"['Pang Ron Hoo', 'Cheah Yee See', 'Juha Honkanen', 'Jannica Monnberg']","['[MAS] ', '[MAS] ', '[FIN] ', '[FIN] ']","['21-9', '21-3']",XD - Qualification,20180405
24,"['Kartik Jindal', 'Jonathan Persson [7]']","['[IND] ', '[GER] ']","['21-11', '21-14']",MS - Qualification,20180405
25,"['Aneeth Kumar Repudi', 'Julian Edhofer']","['[IND] ', '[GER] ']","['21-19', '21-14']",MS - Qualification,20180405
26,"['Kasper Lehikoinen', 'Aryamann Tandon']","['[FIN] ', '[IND] ']",[],MS - Qualification,20180405
27,"['Mikkel Enghøj', 'Anant Shivam Jindal']","['[DEN] ', '[IND] ']","['24-22', '19-21', '22-20']",MS - Qualification,20180405
28,"['Alex Vlaar [14]', 'Sai Wuu Phet @ Sai Lin Tun Aung']","['[BUL] ', '[MYA] ']","['21-9', '21-16']",MS - Qualification,20180405
29,"['Victor Zuhr', 'Taras Bondarenko']","['[SWE] ', '[EST] ']","['21-8', '21-9']",MS - Qualification,20180405
