,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kalle Koljonen', 'Rüdiger Gnedt']","['[FIN] ', '[AUT] ']","['21-8', '21-5']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
1,"['Alex Vlaar', 'Birger Abts']","['[BUL] ', '[BEL] ']","['21-19', '21-18']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
2,"['Yuki Kaneko', 'Koharu Yonemoto', 'Yang Ming-Tse', 'Sung Shuo Yun']","['[JPN] ', '[JPN] ', '[TPE] ', '[TPE] ']","['21-12', '16-21', '21-16']",XD - Qualification,20180306,"Mülheim an der Ruhr, Germany"
3,"['Kim Bruun', 'Søren Toft']","['[DEN] ', '[DEN] ']","['21-14', '21-18']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
4,"['Wolfgang Gnedt', 'David Peng']","['[AUT] ', '[GER] ']","['18-21', '25-23', '21-17']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
5,"['Dmytro Zavadsky', 'Thomas Rouxel']","['[UKR] ', '[FRA] ']","['20-22', '21-16', '21-19']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
6,"['Kan Chao Yu', 'Lucas Claerbout']","['[TPE] ', '[FRA] ']","['21-17', '11-21', '21-18']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
7,"['Zvonimir Durkinjak', 'Valeriy Atrashchenkov']","['[CRO] ', '[UKR] ']","['21-16', '17-21', '21-18']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
8,"['Zhao Junpeng', 'Alexander Roovers']","['[CHN] ', '[GER] ']","['18-21', '21-15', '21-15']",MS - Qualification,20180306,"Mülheim an der Ruhr, Germany"
9,"['Praveen Jordan', 'Melati Daeva Oktavianti', 'Kristoffer Knudsen', 'Isabella Nielsen']","['[INA] ', '[INA] ', '[DEN] ', '[DEN] ']","['21-14', '21-11']",XD - Qualification,20180306,"Mülheim an der Ruhr, Germany"
