,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Alexander Cook', 'Mikk Järveoja']","['[ENG] ', '[EST] ']","['21-13', '16-21', '21-18']",MS - Qualification ,20180419
1,"['Adam Lam', 'Ivan Panev [16]']","['[ENG] ', '[BUL] ']","['21-13', '21-13']",MS - Qualification ,20180419
2,"['Juno Thomas [14]', 'Mihail Rami Panagiotou']","['[LUX] ', '[GRE] ']","['21-14', '21-18']",MS - Qualification ,20180419
3,"['Kaj Sjang Lü', 'Henry Prothero']","['[DEN] ', '[ENG] ']","['21-9', '21-13']",MS - Qualification ,20180419
4,"['Julien Carraggi', 'Christakis Temereas']","['[BEL] ', '[CYP] ']","['21-18', '21-10']",MS - Qualification ,20180419
5,"['Rowan Scheurkogel [2]', 'Saruul Shafiq']","['[BEL] ', '[GER] ']","['21-15', '21-15']",MS - Qualification ,20180419
6,"['Johnnie Torjussen [5]', 'Jonathan Dolan']","['[ENG] ', '[IRL] ']","['13-21', '21-17', '21-16']",MS - Qualification ,20180419
7,"['Mark Sames', 'Adrian Theodoros Demetriades']","['[LTU] ', '[SWE] ']","['21-15', '21-14']",MS - Qualification ,20180419
8,"['Ivan Rusev [1]', 'Blagovest Kisyov']","['[BUL] ', '[BUL] ']","['21-9', '17-21', '21-14']",MS,20180419
9,"['Alex Lane', 'Vegard Rikheim']","['[ENG] ', '[NOR] ']","['21-17', '21-17']",MS,20180419
10,"['Luke Pearce', 'Jaromir Janacek [6]']","['[ENG] ', '[CZE] ']","['17-21', '21-19', '21-19']",MS,20180419
11,"['Peyo Boichinov', 'Mateusz Danielak']","['[BUL] ', '[POL] ']","['19-21', '21-17', '21-17']",MS,20180419
12,"['Toma Junior Popov [4]', 'Dimitar Yanakiev']","['[FRA] ', '[BUL] ']","['21-13', '19-21', '21-4']",MS,20180419
13,"['Joel Douse', 'Elias Nicolaou']","['[ENG] ', '[CYP] ']","['21-18', '21-13']",MS,20180419
14,"['Elias Bracke', 'Harshit Aggarwal [5]']","['[BEL] ', '[IND] ']",[],MS,20180419
15,"['Enis Sesalan', 'Mihkel Laanes']","['[TUR] ', '[EST] ']","['21-14', '21-16']",MS,20180419
16,"['Leon Seiwald', 'Adam Lam']","['[AUT] ', '[ENG] ']","['21-9', '24-22']",MS,20180419
