,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kartikey Gulshan Kumar', 'Siril Verma']","['[IND] ', '[IND] ']","['21-17', '15-21', '21-7']",MS - Qualification,20180130,"New Delhi, India"
1,"['Bodhit Joshi', 'Pratul Joshi']","['[IND] ', '[IND] ']","['21-19', '21-18']",MS - Qualification,20180130,"New Delhi, India"
2,"['Siddharth Pratap Singh', 'Joo Ven Soong [4]']","['[IND] ', '[MAS] ']","['16-21', '21-15', '21-14']",MS - Qualification,20180130,"New Delhi, India"
3,"['Iskandar Zulkarnain', 'Chirag Sen']","['[MAS] ', '[IND] ']","['21-17', '21-18']",MS - Qualification,20180130,"New Delhi, India"
4,"['Daren Liew', 'Mithun Manjunath']","['[MAS] ', '[IND] ']","['21-16', '21-8']",MS - Qualification,20180130,"New Delhi, India"
5,"['Rahul Yadav Chittaboina', 'Daniel S. Farid']","['[IND] ', '[IND] ']",['21-13'],MS - Qualification,20180130,"New Delhi, India"
6,"['Shreyansh Jaiswal', 'Karan Rajan Rajarajan']","['[IND] ', '[IND] ']","['21-17', '21-16']",MS - Qualification,20180130,"New Delhi, India"
7,"['Abhishek Yelegar', 'K. Ajay Kumar']","['[IND] ', '[IND] ']","['21-13', '21-15']",MS - Qualification,20180130,"New Delhi, India"
8,"['Raju Mohamed Rehan', 'J. Anees Kowsar', 'Anubhav Saxena', 'Manali Sinha']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-10', '21-10']",XD - Qualification,20180130,"New Delhi, India"
9,"['Siddharth .', 'Jagriti Nashier', 'Aditya Nair', 'Deeksha Choudhary']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-17', '21-17']",XD - Qualification,20180130,"New Delhi, India"
10,"['Shivam Sharma', 'Poorvisha S Ram', 'S. Sunjith (Jr)', 'Sruthi K.P']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['14-21', '21-18', '21-14']",XD - Qualification,20180130,"New Delhi, India"
11,"['Vighnesh Devlekar', 'Harika Veludurthi', 'Chandrabhusan Tripathi', 'Dimpal Hazarika']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-10', '21-8']",XD - Qualification,20180130,"New Delhi, India"
12,"['Aakarshi Kashyap', 'Vrushali Gummadi [1]']","['[IND] ', '[IND] ']","['21-17', '18-21', '21-15']",WS - Qualification,20180130,"New Delhi, India"
13,"['Amalie Hertz', 'Shruti Mundada']","['[DEN] ', '[IND] ']","['21-14', '21-6']",WS - Qualification,20180130,"New Delhi, India"
14,"['Mattana Hemrachatanun', 'Smit Toshniwal']","['[THA] ', '[IND] ']","['21-12', '21-16']",WS - Qualification,20180130,"New Delhi, India"
15,"['Mukherjee Riya', 'Ira Sharma [2]']","['[IND] ', '[IND] ']","['21-11', '21-15']",WS - Qualification,20180130,"New Delhi, India"
16,"['Shenan Christian', 'Riya Gajjar', 'Jamuna Rani Rachapalli', 'Leela Lakshmi Rachapalli']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']",[],WD - Qualification,20180130,"New Delhi, India"
