,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Fong Hau Sim', 'Mohamad Hafiz Mohamed Sikkander']","['[MAS] ', '[MAS] ']","['21-6', '21-7']",MS - Qualification,20180410,"Semarang, Indonesia"
1,"['Chen Yen Chun', 'Jason Rivaldo Sutrisno']","['[TPE] ', '[INA] ']","['21-15', '21-16']",MS - Qualification,20180410,"Semarang, Indonesia"
2,"['Muhammad Syafiq Iqbal Mohd Nadzri', 'Jovi Mikhael']","['[MAS] ', '[INA] ']","['21-19', '21-18']",MS - Qualification,20180410,"Semarang, Indonesia"
3,"['Zacharia Joshiano Sumanti', 'Serena Kani', 'Muhammad Juan Elgiffani', 'Windi Siti Mulyani']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-14', '21-17']",XD - Qualification,20180410,"Semarang, Indonesia"
4,"['Erwin Rendana Purnomo', 'Riska Ayu Indah Sari', 'Jien Sern Ian Wong [4]', 'Kha Yan Wong']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']",[],XD - Qualification,20180410,"Semarang, Indonesia"
5,"['Marsa Indah Salsabila [2]', 'Chen You-Chi']","['[INA] ', '[TPE] ']","['17-21', '21-18', '25-23']",WS - Qualification,20180410,"Semarang, Indonesia"
6,"['Abdul Karim Hidayat [8]', 'Syahzlan Hazwan Salleh']","['[INA] ', '[MAS] ']","['21-18', '21-4']",MS - Qualification,20180410,"Semarang, Indonesia"
7,"['Rizky Doka Putra', 'Namboun Luangamath']","['[INA] ', '[LAO] ']","['21-10', '21-19']",MS - Qualification,20180410,"Semarang, Indonesia"
8,"['Alden Lefilson Putra Mainaky', 'Muhammad Aiman Abd Malek']","['[INA] ', '[MAS] ']",[],MS - Qualification,20180410,"Semarang, Indonesia"
9,"['Yonathan Ramlie', 'Ade Resky Dwicahyo']","['[INA] ', '[AZE] ']","['19-21', '21-19', '21-16']",MS - Qualification,20180410,"Semarang, Indonesia"
10,"['Muhammad Rehan Diaz [3]', 'Eveshgaran Vasigaran']","['[INA] ', '[MAS] ']","['21-16', '21-7']",MS - Qualification,20180410,"Semarang, Indonesia"
11,"['Widjaja Stephani', 'Desiree, Hao Shan Siow']","['[INA] ', '[MAS] ']","['21-13', '22-20']",WS - Qualification,20180410,"Semarang, Indonesia"
12,"['Mega Ciputra', 'Chaiyasit Sukasem']","['[INA] ', '[THA] ']","['21-14', '21-17']",MS - Qualification,20180410,"Semarang, Indonesia"
13,"['Wei Chong Man', 'Mei Xing Teoh', 'Renaldi Samosir [3]', 'Hediana Julimarbela']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-15', '21-17']",XD - Qualification,20180410,"Semarang, Indonesia"
14,"['Muhammad Imran Khan', 'Andrew Susanto [7]']","['[SGP] ', '[INA] ']","['7-21', '21-9', '22-20']",MS - Qualification,20180410,"Semarang, Indonesia"
15,"['Ramsha Ariadita', 'Syarifah Nurmariam', 'Kok Xian Tan', 'Anna Ching Yik Cheong']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['16-21', '21-8', '21-17']",XD - Qualification,20180410,"Semarang, Indonesia"
16,"['Amir Al Razi Syazwan', 'Zhen Yap', 'Mek Narongrit [2]', 'Supanida Katethong']","['[MAS] ', '[MAS] ', '[THA] ', '[THA] ']",[],XD - Qualification,20180410,"Semarang, Indonesia"
17,"['Azmy Qowimuramadhoni [6]', 'Mario Verdiano Ben-Oni Mainaky']","['[AZE] ', '[INA] ']","['21-10', '21-17']",MS - Qualification,20180410,"Semarang, Indonesia"
18,"['Orijit Chaliha', 'Muhammad Yusuf Maulana']","['[IND] ', '[INA] ']","['21-18', '14-21', '22-20']",MS - Qualification,20180410,"Semarang, Indonesia"
19,"['Yosua Yosua', 'Mathias Pedersen']","['[INA] ', '[DEN] ']","['21-13', '21-13']",MS - Qualification,20180410,"Semarang, Indonesia"
20,"['Muhammad Idham Zainal Abi Syazmil', 'Sueh Jeou Tan', 'Yosia Michael', 'Marsa Indah Salsabila']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-15', '21-13']",XD - Qualification,20180410,"Semarang, Indonesia"
21,"['Ferdian Mahardika Ranialdy', 'Rafika Putri Sejati', 'Muhammad Syawal Mohd Ismail', 'Nurul Farisha Abd Malek']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['26-24', '21-13']",XD - Qualification,20180410,"Semarang, Indonesia"
22,"['Nandini Putri Arumni', 'Shivani Vaishnavi Devi Gangula']","['[INA] ', '[IND] ']","['21-16', '21-13']",WS - Qualification,20180410,"Semarang, Indonesia"
23,"['Laksika Kanlaha', 'Yeh Szu-Jou']","['[THA] ', '[TPE] ']","['22-20', '21-14']",WS - Qualification,20180410,"Semarang, Indonesia"
24,"['Lauhit Pokuri', 'Dean Bencha Wijaya']","['[IND] ', '[INA] ']","['21-11', '21-12']",MS - Qualification,20180410,"Semarang, Indonesia"
25,"['Manjit Singh Khwairakpam', 'Dingku Singh Konthoujam', 'Yu Heng Kau', 'Muhammad Fahmi Soha']","['[IND] ', '[IND] ', '[MAS] ', '[MAS] ']","['21-17', '23-21']",MD - Qualification,20180410,"Semarang, Indonesia"
26,"['Respati Banuaji', 'Naufal Ligo Saufik', 'Xin Yuan Boon', 'Zhong Rui Goh']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-16', '21-12']",MD - Qualification,20180410,"Semarang, Indonesia"
27,"['Mohd Razlan Shah Mohd Ridzuan Shah', 'Tien Ci Wong', 'Aldo Ganang Amiranda', 'Barok Fauzan']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-14', '21-13']",MD - Qualification,20180410,"Semarang, Indonesia"
28,"['Yasnita Enggira Setiawan', 'Ornnicha Jongsathapornparn [1]']","['[INA] ', '[THA] ']","['21-12', '21-18']",WS - Qualification,20180410,"Semarang, Indonesia"
29,"['Savira Sandradewi', 'Chen Li']","['[INA] ', '[TPE] ']","['17-21', '21-18', '21-15']",WS - Qualification,20180410,"Semarang, Indonesia"
30,"['Aidil Sholeh Ali Sadikin [4]', 'Mikael Dwi Putra']","['[MAS] ', '[INA] ']","['21-15', '21-9']",MS - Qualification,20180410,"Semarang, Indonesia"
31,"['Ade Bagus Sapta Ramadhany [4]', 'Timoti Wuisan', 'Syahzlan Hazwan Salleh', 'Datu Mohd Saffuan Nizam Sardik']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-11', '21-15']",MD - Qualification,20180410,"Semarang, Indonesia"
32,"['Ade Resky Dwicahyo', 'Azmy Qowimuramadhoni', 'Muhammad Syauqi Mohd Puzi', 'Mohamad Syazmil Zailan']","['[AZE] ', '[AZE] ', '[MAS] ', '[MAS] ']","['21-18', '21-17']",MD - Qualification,20180410,"Semarang, Indonesia"
33,"['Liang Xiaoyu', 'Devita Puti Alifia']","['[SGP] ', '[INA] ']","['19-21', '21-18', '22-20']",WS - Qualification,20180410,"Semarang, Indonesia"
34,"['Putri Kusuma Wardani', 'Peeraya Khantaruangsakul [3]']","['[INA] ', '[THA] ']","['21-10', '21-12']",WS - Qualification,20180410,"Semarang, Indonesia"
35,"['Eizlan Shah Misfahul Muneer [5]', 'Muhammad Ahdial Octa Khairulloh']","['[MAS] ', '[INA] ']","['21-15', '20-22', '21-14']",MS - Qualification,20180410,"Semarang, Indonesia"
36,"['Vishnu Vardhan Goud Panjala', 'Srikrishna Sai Kumar Podile', 'Yosia Michael [3]', 'Andrew Susanto']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']","['21-19', '17-21', '21-11']",MD - Qualification,20180410,"Semarang, Indonesia"
37,"['Ramsha Ariadita', 'Muhammad Juan Elgiffani', 'Galuh Dwi Putra', 'Gabriel Christopher Winta Wijaya']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-17', '21-18']",MD - Qualification,20180410,"Semarang, Indonesia"
38,"['Leo Rolly Carnando', 'Metya Inayah Cindiani', 'Chang Ching-Yuan', 'Tai Wei-Ling']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-14', '21-10']",XD - Qualification,20180410,"Semarang, Indonesia"
39,"['Indra Leonard Prasetya', 'Erwin Rendana Purnomo', 'Muhammad Shahmi Abdillah', 'Muhammad Nuraidil Adha Azman']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']",[],MD - Qualification,20180410,"Semarang, Indonesia"
40,"['Ornnicha Jongsathapornparn', 'Laksika Kanlaha', 'Windi Siti Mulyani', 'Syarifah Nurmariam']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['17-21', '21-14', '21-9']",WD - Qualification,20180410,"Semarang, Indonesia"
41,"['Nita Violina Marwah', 'Putri Syaikah', 'Chen Li', 'Chen You-Chi']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-13', '21-14']",WD - Qualification,20180410,"Semarang, Indonesia"
42,"['Putri Larasati', 'Melanni Mamahit', 'Yeh Szu-Jou', 'Chieh Yu']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-11', '22-20']",WD - Qualification,20180410,"Semarang, Indonesia"
43,"['Mega Ciputra', 'Muhammad Febriansyah']","['[INA] ', '[INA] ']",['13-4'],MS,20180410,"Semarang, Indonesia"
44,"['Vega Vio Nirwanda [15]', 'Muhammad Rehan Diaz']","['[INA] ', '[INA] ']","['21-16', '21-11']",MS,20180410,"Semarang, Indonesia"
45,"['Jun Yan Ng', 'Daniel Philip']","['[MAS] ', '[NGR] ']","['21-17', '21-12']",MS,20180410,"Semarang, Indonesia"
46,"['Handoko Yusuf Wijayanto', 'Vincent Cheng Wei Phuah']","['[INA] ', '[MAS] ']","['21-12', '10-21', '21-18']",MS,20180410,"Semarang, Indonesia"
