,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kantaphon Wangcharoen', 'Firman Abdul Kholik']","['[THA] ', '[INA] ']","['21-16', '8-21', '21-14']",MS - Qualification,20180123,"Jakarta, Indonesia"
1,"['Saputra Vicky Angga', 'Krishna Adi Nugraha']","['[INA] ', '[INA] ']","['21-14', '16-21', '21-14']",MS - Qualification,20180123,"Jakarta, Indonesia"
2,"['Shesar Hiren Rhustavito', 'Enzi Shafira']","['[INA] ', '[INA] ']","['21-15', '18-21', '21-19']",MS - Qualification,20180123,"Jakarta, Indonesia"
3,"['Panji Ahmad Maulana', 'Subhankar Dey']","['[INA] ', '[IND] ']","['21-9', '23-21']",MS - Qualification,20180123,"Jakarta, Indonesia"
4,"['Vega Vio Nirwanda', 'Abhishek Yelegar']","['[INA] ', '[IND] ']","['22-20', '21-14']",MS - Qualification,20180123,"Jakarta, Indonesia"
5,"['Sony Dwi Kuncoro', 'Chico Aura Dwi Wardoyo']","['[INA] ', '[INA] ']","['21-11', '17-21', '21-18']",MS - Qualification,20180123,"Jakarta, Indonesia"
6,"['Lucas Corvee', 'Kan Chao Yu']","['[FRA] ', '[TPE] ']","['17-21', '21-10', '21-16']",MS - Qualification,20180123,"Jakarta, Indonesia"
7,"['Kim Bruun', 'Fikri Ihsandi Hadmadi']","['[DEN] ', '[INA] ']","['21-15', '2-0']",MS - Qualification,20180123,"Jakarta, Indonesia"
8,"['Rinov Rivaldy', 'Angelica Wiratama', 'Law Cheuk Him', 'Ng Tsz Yau']","['[INA] ', '[INA] ', '[HKG] ', '[HKG] ']","['21-13', '21-18']",XD - Qualification,20180123,"Jakarta, Indonesia"
9,"['Andika Ramadiansyah', 'Mychelle Crhystine Bandaso', 'Danny Bawa Chrisnanta', 'Wong Jia Ying Crystal']","['[INA] ', '[INA] ', '[SGP] ', '[SGP] ']","['21-18', '21-12']",XD - Qualification,20180123,"Jakarta, Indonesia"
10,"['Ronald Ronald', 'Winny Oktavina Kandow', 'Fachryza Abimanyu', 'Bunga Fitriani Romadhini']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-16', '16-21', '21-12']",XD - Qualification,20180123,"Jakarta, Indonesia"
11,"['Tang Jie Chen', 'Yen Wei Peck', 'Yehezkiel Fritz Mainaky', 'Lyanny Alessandra Mainaky']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-15', '21-19']",XD - Qualification,20180123,"Jakarta, Indonesia"
12,"['Metya Inayah Cindiani', 'Indah Cahya Sari Jamil', 'Dhea Bunga Anjani', 'Dinda Dwi Cahyaning']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-15', '21-11']",WD - Qualification,20180123,"Jakarta, Indonesia"
13,"['Febriana Dwipuji Kusuma', 'Ribka Sugiarto', 'Rayhan Vania Salsabila', 'Putri Andini Wahyuningrum']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-12', '21-7']",WD - Qualification,20180123,"Jakarta, Indonesia"
14,"['Lin Ying Chun', 'Pai Yu Po', 'Denisa Dwisyawaliah Budiani', 'Nakhla Aufa Dhiya Ulhaq']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-10', '21-12']",WD - Qualification,20180123,"Jakarta, Indonesia"
15,"['Nisak Puji Lestari', 'Tiara Rosalia Nuraidah', 'Fauzia Kartikasari', 'Mia Dian Nurlia']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-16', '21-16']",WD - Qualification,20180123,"Jakarta, Indonesia"
16,"['Sabar Karyaman Gutama', 'Frengky Wijaya Putra', 'Kapil Chaudhary', 'Brijesh Yadav']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-12', '21-8']",MD - Qualification,20180123,"Jakarta, Indonesia"
17,"['Lu Kai', 'Zheng Siwei', 'Muhammad Fachrikar Adma Parlindungan Man', 'Reza Dwicahya Purnama']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['21-13', '21-9']",MD - Qualification,20180123,"Jakarta, Indonesia"
