,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Dakeil Jonathan Thorpe', 'Marc-Anthony Salmon']","['[BAR] ', '[JAM] ']","['21-12', '21-15']",MS - Qualification,20180227,"Kingston 6, Jamaica"
1,"['Matthew Yee-Grant', 'Kyle Alexander Munoz Seixas']","['[JAM] ', '[PAN] ']",[],MS - Qualification,20180227,"Kingston 6, Jamaica"
2,"['Kevin Barkman', 'Kemar Valentine']","['[CAN] ', '[JAM] ']","['21-13', '21-18']",MS - Qualification,20180227,"Kingston 6, Jamaica"
3,"['Shae Michael Martin', 'Anil Seepaul']","['[BAR] ', '[TTO] ']","['21-15', '21-16']",MS - Qualification,20180227,"Kingston 6, Jamaica"
4,"['Xiaodong Sheng', 'Kenneth Anglin']","['[CAN] ', '[JAM] ']","['21-9', '21-8']",MS - Qualification,20180227,"Kingston 6, Jamaica"
5,"['Peder Søvndal', 'Mickhaile Williams']","['[DEN] ', '[JAM] ']","['21-9', '21-8']",MS - Qualification,20180227,"Kingston 6, Jamaica"
6,"['Bradley Graham', 'Naim Mohammed']","['[JAM] ', '[TTO] ']","['21-17', '19-21', '21-14']",MS - Qualification,20180227,"Kingston 6, Jamaica"
7,"['Joel Angus', 'Gavin Robinson']","['[JAM] ', '[BAR] ']","['21-11', '21-16']",MS - Qualification,20180227,"Kingston 6, Jamaica"
8,"['Cory Fanus', 'Che Alexander Beckford']","['[BAR] ', '[JAM] ']","['21-19', '21-13']",MS - Qualification,20180227,"Kingston 6, Jamaica"
9,"['Enrico Baroni', 'Matthew Yee-Grant']","['[ITA] ', '[JAM] ']","['21-9', '21-13']",MS - Qualification,20180227,"Kingston 6, Jamaica"
10,"['Antonio Li', 'Dakeil Jonathan Thorpe']","['[CAN] ', '[BAR] ']","['21-4', '21-6']",MS - Qualification,20180227,"Kingston 6, Jamaica"
11,"['Xiaodong Sheng', 'Shae Michael Martin']","['[CAN] ', '[BAR] ']","['21-7', '21-10']",MS - Qualification,20180227,"Kingston 6, Jamaica"
12,"['Kevin Barkman', 'Matthew Lee']","['[CAN] ', '[JAM] ']","['21-11', '21-14']",MS - Qualification,20180227,"Kingston 6, Jamaica"
13,"['Rosario Maddaloni [1]', 'Anthony Mcnee']","['[ITA] ', '[JAM] ']","['21-7', '21-11']",MS,20180227,"Kingston 6, Jamaica"
14,"['Gareth Henry', 'Dennis Coke']","['[JAM] ', '[JAM] ']","['21-13', '21-13']",MS,20180227,"Kingston 6, Jamaica"
15,"['Peder Søvndal', 'Cory Fanus']","['[DEN] ', '[BAR] ']","['21-17', '21-19']",MS,20180227,"Kingston 6, Jamaica"
16,"['Leodannis Martinez Palacio [7]', 'Giovanni Toti']","['[CUB] ', '[ITA] ']","['21-15', '21-11']",MS,20180227,"Kingston 6, Jamaica"
17,"['Samuel O’Brien Ricketts', 'Jose Guevara']","['[JAM] ', '[PER] ']","['21-11', '21-18']",MS,20180227,"Kingston 6, Jamaica"
18,"['Milan Dratva', 'Filip Budzel']","['[SVK] ', '[CZE] ']","['21-11', '21-15']",MS,20180227,"Kingston 6, Jamaica"
19,"['Osleni Guerrero [3]', 'Kevin Barkman']","['[CUB] ', '[CAN] ']","['21-14', '21-8']",MS,20180227,"Kingston 6, Jamaica"
20,"['Soren Opti', 'Diego Subauste Tokumura']","['[SUR] ', '[PER] ']","['17-21', '21-12', '21-19']",MS,20180227,"Kingston 6, Jamaica"
21,"['Sahil Sipani [8]', 'Antonio Li']","['[IND] ', '[CAN] ']","['22-20', '21-11']",MS,20180227,"Kingston 6, Jamaica"
22,"['Enrico Baroni', 'Fabio Caponio']","['[ITA] ', '[ITA] ']","['11-21', '21-18', '21-11']",MS,20180227,"Kingston 6, Jamaica"
23,"['Jason Anthony Ho-Shue [2]', 'Joel Angus']","['[CAN] ', '[JAM] ']","['21-11', '21-11']",MS,20180227,"Kingston 6, Jamaica"
24,"['Stefany Ying Chie Chen Chen', 'Avril Plaza Marcelle']","['[PER] ', '[TTO] ']","['21-10', '21-7']",WS,20180227,"Kingston 6, Jamaica"
25,"['Daniela Macias [1]', 'Monyata Riviera']","['[PER] ', '[BAR] ']","['21-16', '21-4']",WS,20180227,"Kingston 6, Jamaica"
26,"['Isabelle Rusli', 'Ines Mendoza Rosell']","['[USA] ', '[PER] ']","['21-17', '21-11']",WS,20180227,"Kingston 6, Jamaica"
