,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Jaromir Janacek', 'Tomáš Švejda', 'Michal Kazmierczak', 'Marcin Wnuk']","['[CZE] ', '[CZE] ', '[POL] ', '[POL] ']","['21-8', '21-13']",MD - Qualification ,20180315
1,"['Michal Hubáček', 'Valentýna Sonnková', 'Jan Colin Völker', 'Judith Petrikowski']","['[CZE] ', '[CZE] ', '[GER] ', '[GER] ']",[],XD - Qualification ,20180315
2,"['Dominik Zietek', 'Wiktoria Adamek', 'Matthew Abela', 'Jana Panochova']","['[POL] ', '[POL] ', '[MLT] ', '[CZE] ']","['21-12', '21-14']",XD - Qualification ,20180315
3,"[""Aman Farogh Sanjay '"", 'Mateusz Danielak']","['[IND] ', '[POL] ']","['13-21', '21-9', '21-12']",MS - Qualification ,20180315
4,"['Matthew Abela', 'Jiří Bureš']","['[MLT] ', '[CZE] ']","['21-17', '11-21', '21-12']",MS - Qualification ,20180315
5,"['Amalie Vestmar', 'Szubert Karolina']","['[DEN] ', '[POL] ']","['21-9', '21-15']",WS - Qualification ,20180315
6,"['Mathilde Møller', 'Veronika Kubečková']","['[DEN] ', '[CZE] ']",['16-15'],WS - Qualification ,20180315
7,"['Patrick Abildgaard', 'Jan Viktora']","['[DEN] ', '[CZE] ']","['21-15', '21-13']",MS - Qualification ,20180315
8,"['Marcin Nowak', 'Matej Polacek']","['[POL] ', '[SVK] ']","['21-16', '21-16']",MS - Qualification ,20180315
9,"['Murad Bayramov', 'Michael Spencer-Smith [1]']","['[AZE] ', '[ENG] ']",[],MS - Qualification ,20180315
10,"['Przemyslaw Szydlowski [1]', 'Szubert Karolina', 'Michal Hubáček', 'Valentýna Sonnková']","['[POL] ', '[POL] ', '[CZE] ', '[CZE] ']","['25-23', '21-11']",XD - Qualification ,20180315
11,"['Emil Hybel [2]', 'Line Fleischer', 'Dominik Zietek', 'Wiktoria Adamek']","['[DEN] ', '[DEN] ', '[POL] ', '[POL] ']","['21-11', '21-19']",XD - Qualification ,20180315
12,"['Juno Thomas', 'Petr Tomala']","['[LUX] ', '[CZE] ']","['21-17', '21-16']",MS - Qualification ,20180315
13,"['Jiří Bureš', 'Ondřej Helar', 'Daniel Grassmuck [1]', 'Roman Zirnwald']","['[CZE] ', '[CZE] ', '[AUT] ', '[AUT] ']",[],MD - Qualification ,20180315
14,"['Miha Ivancic', 'Collins Valentine Filimon [3]']","['[SLO] ', '[ROU] ']",[],MS - Qualification ,20180315
15,"['Daniel Nikolov', 'Jan Benbenek']","['[BUL] ', '[CZE] ']","['21-13', '21-14']",MS - Qualification ,20180315
16,"['Patrick Abildgaard', 'Adam Sowa']","['[DEN] ', '[POL] ']","['21-13', '21-10']",MS - Qualification ,20180315
17,"['Marcin Nowak', 'Ondřej Helar']","['[POL] ', '[CZE] ']","['24-22', '21-10']",MS - Qualification ,20180315
18,"['Sofie Zacho [1]', 'Karolina Wladzinska']","['[DEN] ', '[POL] ']",[],WS - Qualification ,20180315
19,"['Yuri Nakamura', 'Amalie Vestmar']","['[JPN] ', '[DEN] ']","['21-4', '21-11']",WS - Qualification ,20180315
20,"['Mathilde Møller', 'Iza Salehar [2]']","['[DEN] ', '[SLO] ']",[],WS - Qualification ,20180315
21,"['Luka Milic', 'Ilias Xanthou [2]']","['[SRB] ', '[GRE] ']",[],MS - Qualification ,20180315
22,"['Ade Resky Dwicahyo', 'Juno Thomas']","['[AZE] ', '[LUX] ']","['21-13', '21-8']",MS - Qualification ,20180315
23,"['Mathias Thyrri', 'Elisa Melgaard', 'Vít Kulíšek', 'Michaela Fuchsova']","['[DEN] ', '[DEN] ', '[CZE] ', '[CZE] ']","['21-10', '21-14']",XD - Qualification ,20180315
24,"['Dmytro Zavadsky [7]', ""Aman Farogh Sanjay '""]","['[UKR] ', '[IND] ']","['21-17', '26-24']",MS - Qualification ,20180315
25,"['Konrad Ploch', 'Dominik Zietek', 'Vít Kulíšek', 'Vojtech Selong']","['[POL] ', '[POL] ', '[CZE] ', '[CZE] ']","['21-17', '17-21', '21-17']",MD - Qualification ,20180315
26,"['Oleksandar Shmundyak', 'Robert Cybulski']","['[UKR] ', '[POL] ']","['21-17', '21-14']",MS - Qualification ,20180315
27,"['Peder Søvndal', 'Arturo Hernandez [4]']","['[DEN] ', '[MEX] ']","['13-21', '21-12', '21-18']",MS - Qualification ,20180315
28,"['Filip Budzel', 'Gasper Krivec']","['[CZE] ', '[SLO] ']","['21-18', '21-12']",MS - Qualification ,20180315
29,"['Mathilde Haapanen', 'Magdalena Lajdova']","['[DEN] ', '[CZE] ']","['21-17', '15-21', '22-20']",WS - Qualification ,20180315
30,"['Muhammad Lukman Hakim Mohd Ibrahim', 'Filip Budzel']","['[MAS] ', '[CZE] ']","['21-17', '21-16']",MS - Qualification ,20180315
31,"['Vojtech Selong', 'Denisa Šikalová', 'Ciar Pringle', 'Ciara Torrance']","['[CZE] ', '[CZE] ', '[SCO] ', '[SCO] ']","['21-17', '21-14']",XD - Qualification ,20180315
32,"['Adrian George [5]', 'Matthew Abela']","['[IND] ', '[MLT] ']","['21-12', '21-16']",MS - Qualification ,20180315
33,"['Mathilde Haapanen', 'Carina Meinke']","['[DEN] ', '[AUT] ']","['21-13', '21-10']",WS - Qualification ,20180315
34,"['Oleksandar Shmundyak', 'Azmy Qowimuramadhoni']","['[UKR] ', '[AZE] ']","['21-12', '21-16']",MS - Qualification ,20180315
35,"['Muhammad Lukman Hakim Mohd Ibrahim', 'Krzysztof Jakowczuk [6]']","['[MAS] ', '[POL] ']","['22-20', '21-15']",MS - Qualification ,20180315
36,"['Patrick Abildgaard', 'Miha Ivancic']","['[DEN] ', '[SLO] ']","['21-16', '21-17']",MS - Qualification ,20180315
37,"['Ade Resky Dwicahyo', 'Murad Bayramov']","['[AZE] ', '[AZE] ']","['21-6', '21-9']",MS - Qualification ,20180315
38,"['Mathias Thyrri', 'Elisa Melgaard', 'Peder Søvndal', 'Veronika Kubečková']","['[DEN] ', '[DEN] ', '[DEN] ', '[CZE] ']","['21-12', '21-11']",XD - Qualification ,20180315
39,"['Luke Pearce', 'Marton Szerecz']","['[ENG] ', '[HUN] ']","['21-18', '11-21', '21-18']",MS - Qualification ,20180315
40,"['Vojtech Selong', 'Denisa Šikalová', 'Patrick Abildgaard', 'Mathilde Haapanen']","['[CZE] ', '[CZE] ', '[DEN] ', '[DEN] ']","['21-17', '21-12']",XD - Qualification ,20180315
41,"['Azmy Qowimuramadhoni', 'Michael Giesinger [8]']","['[AZE] ', '[AUT] ']","['21-17', '21-16']",MS - Qualification ,20180315
42,"['Oleksandar Shmundyak', 'Bedrich Valenta']","['[UKR] ', '[CZE] ']","['18-21', '21-19', '21-18']",MS - Qualification ,20180315
43,"['Dmytro Zavadsky [7]', 'Joel Douse']","['[UKR] ', '[ENG] ']","['21-10', '22-20']",MS - Qualification ,20180315
44,"['Luke Pearce', 'Michal Kazmierczak']","['[ENG] ', '[POL] ']","['21-10', '21-19']",MS - Qualification ,20180315
45,"['Daniel Nikolov', 'Vegard Rikheim']","['[BUL] ', '[NOR] ']","['12-21', '21-18', '21-12']",MS - Qualification ,20180315
46,"[""Aman Farogh Sanjay '"", 'Tomáš Švejda']","['[IND] ', '[CZE] ']","['21-13', '21-16']",MS - Qualification ,20180315
47,"['Daniel Nikolov', 'Peder Søvndal']","['[BUL] ', '[DEN] ']","['21-11', '21-10']",MS - Qualification ,20180315
48,"['Adrian George [5]', 'Luke Pearce']","['[IND] ', '[ENG] ']","['21-17', '21-19']",MS - Qualification ,20180315
49,"['Luka Milic', 'Marcin Nowak']","['[SRB] ', '[POL] ']","['21-7', '22-20']",MS - Qualification ,20180315
