,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Oleksandr Kolesnik', 'Nikita Fedotovskikh']","['[UKR] ', '[RUS] ']","['21-18', '22-24', '21-19']",MS - Qualification,20180531
1,"['Jack Macgregor', 'Mattias Xu']","['[SCO] ', '[NOR] ']","['21-19', '21-10']",MS - Qualification,20180531
2,"['Alex Lane', 'Andreas Fleischer']","['[ENG] ', '[DEN] ']","['21-18', '21-16']",MS - Qualification,20180531
3,"['Julien Scheiwiller', 'Mikk Ounmaa']","['[SUI] ', '[EST] ']","['21-17', '21-7']",MS - Qualification,20180531
4,"['Philip Illum Klindt', 'Justus Kilpi']","['[DEN] ', '[FIN] ']","['22-20', '21-14']",MS - Qualification,20180531
5,"['Azmy Qowimuramadhoni', 'Jorgen Rosenlund']","['[AZE] ', '[NOR] ']","['21-14', '21-14']",MS - Qualification,20180531
6,"['Adam Lam', 'Sabuhi Huseynov']","['[ENG] ', '[AZE] ']","['21-11', '21-11']",MS - Qualification,20180531
7,"['Kaj Sjang Lü', 'Murad Bayramov']","['[DEN] ', '[AZE] ']",['3-0'],MS - Qualification,20180531
8,"['Jesper Paul', 'Khaitmurat Kulmatov']","['[FIN] ', '[KAZ] ']","['21-7', '10-21', '21-15']",MS - Qualification,20180531
9,"['Jonathan Dolan', 'Matthew Abela']","['[IRL] ', '[MLT] ']","['21-8', '21-10']",MS - Qualification,20180531
10,"['Hans-Kristjan Pilve', 'Jahid Alhasanov']","['[EST] ', '[AZE] ']","['21-8', '21-14']",MS - Qualification,20180531
11,"['Julien Carraggi', 'Karl Kert']","['[BEL] ', '[EST] ']","['13-21', '21-19', '21-14']",MS - Qualification,20180531
12,"['Mark Sames', 'Sander De Decker']","['[LTU] ', '[BEL] ']","['22-20', '21-15']",MS - Qualification,20180531
13,"['Heming Lin', 'Emil Johansson']","['[FIN] ', '[SWE] ']","['21-17', '21-15']",MS - Qualification,20180531
14,"['Alvaro Vazquez', 'Robert Cybulski']","['[ESP] ', '[POL] ']","['18-21', '21-13', '21-16']",MS - Qualification,20180531
15,"['Rui Mendes', 'Andreas Ioannou']","['[POR] ', '[CYP] ']","['21-8', '21-7']",MS - Qualification,20180531
16,"['Anastasia Osiyanenko', 'Helis Pajuste']","['[RUS] ', '[EST] ']","['21-9', '21-18']",WS - Qualification,20180531
17,"['Anna Bygum', 'Malena Norrman']","['[DEN] ', '[SWE] ']","['17-21', '21-7', '21-16']",WS - Qualification,20180531
18,"['Anastasiia Shapovalova', 'Sigridur Arnadottir']","['[RUS] ', '[ISL] ']","['21-12', '21-7']",WS - Qualification,20180531
19,"['Veronika Dobiášová', 'Vera Ellingsen']","['[CZE] ', '[NOR] ']","['21-13', '23-21']",WS - Qualification,20180531
20,"['Alicia Molitor', 'Johanna Luostarinen']","['[GER] ', '[FIN] ']","['21-13', '14-21', '21-15']",WS - Qualification,20180531
21,"['Nella Siilasmaa', 'Anastasiia Boiarun']","['[FIN] ', '[RUS] ']","['21-18', '21-18']",WS - Qualification,20180531
22,"['Viktoriia Kozyreva', 'Maryana Viarbitskaya']","['[RUS] ', '[BLR] ']","['21-10', '21-8']",WS - Qualification,20180531
23,"['Marion Le Turdu', 'Julia Zapolskaya']","['[FRA] ', '[RUS] ']","['21-19', '21-15']",WS - Qualification,20180531
24,"['Alena Iakovleva', 'Jekaterina Romanova']","['[RUS] ', '[LAT] ']","['21-11', '21-11']",WS - Qualification,20180531
25,"['Theresa Isenberg', 'Thorunn Eylands']","['[GER] ', '[ISL] ']","['21-8', '21-9']",WS - Qualification,20180531
26,"['Hanna Karkaus', 'Szubert Karolina']","['[FIN] ', '[POL] ']","['21-18', '21-18']",WS - Qualification,20180531
27,"['Toni Woods', 'Yevgeniya Paksyutova']","['[SCO] ', '[UKR] ']","['15-21', '21-16', '21-15']",WS - Qualification,20180531
28,"['Ann-Kathrin Spöri', 'Rebeka Alekseviciute']","['[GER] ', '[LTU] ']","['21-9', '21-6']",WS - Qualification,20180531
29,"['Hannaliina Piho', 'Kirstin Boonen']","['[EST] ', '[BEL] ']","['21-19', '16-21', '22-20']",WS - Qualification,20180531
30,"['Georgii Karpov [15]', 'Andis Berzins']","['[RUS] ', '[LAT] ']","['21-8', '21-12']",MS - Qualification,20180531
31,"['Josefine Redkjær Jensen', 'Basia Grodynska']","['[DEN] ', '[SCO] ']","['21-17', '21-8']",WS - Qualification,20180531
32,"['Miranda Wilson', 'Joke De Langhe']","['[GER] ', '[BEL] ']","['21-15', '21-12']",WS - Qualification,20180531
33,"['Lukas Resch', 'Artem Tkachuk']","['[GER] ', '[UKR] ']","['21-10', '21-12']",MS - Qualification,20180531
34,"['Jack Macgregor', 'Mikk Järveoja']","['[SCO] ', '[EST] ']","['21-5', '17-21', '21-17']",MS - Qualification,20180531
35,"['Christo Popov', 'Dmitriy Panarin [14]']","['[FRA] ', '[KAZ] ']","['21-10', '20-22', '21-11']",MS - Qualification,20180531
36,"['Niks Podosinoviks', 'Oleksandr Kolesnik']","['[LAT] ', '[UKR] ']","['21-8', '21-17']",MS - Qualification,20180531
37,"['Alex Lane', 'Marcus Lõo']","['[ENG] ', '[EST] ']","['21-11', '21-11']",MS - Qualification,20180531
38,"['Povilas Bartusis', 'Mads Thøgersen [8]']","['[LTU] ', '[DEN] ']","['21-18', '21-18']",MS - Qualification,20180531
39,"['Julien Scheiwiller', 'Johan Azelius']","['[SUI] ', '[SWE] ']","['16-21', '21-10', '21-9']",MS - Qualification,20180531
40,"['Philip Illum Klindt', 'Daniel Johannesson']","['[DEN] ', '[ISL] ']","['21-7', '21-16']",MS - Qualification,20180531
41,"['Oleksandar Shmundyak [4]', 'Tomáš Švejda']","['[UKR] ', '[CZE] ']","['21-9', '21-10']",MS - Qualification,20180531
42,"['Monika Radovska [7]', 'Anastasia Osiyanenko']","['[LAT] ', '[RUS] ']","['21-16', '21-19']",WS - Qualification,20180531
43,"['Azmy Qowimuramadhoni', 'Eveshgaran Vasigaran']","['[AZE] ', '[MAS] ']","['21-11', '21-16']",MS - Qualification,20180531
44,"['Artur Niyazov', 'Lev Barinov']","['[KAZ] ', '[RUS] ']","['21-17', '21-15']",MS - Qualification,20180531
45,"['Bedrich Valenta', 'Adam Lam']","['[CZE] ', '[ENG] ']","['21-12', '21-10']",MS - Qualification,20180531
46,"['David Jones [6]', 'Shokhzod Gulomzoda']","['[ENG] ', '[RUS] ']","['21-17', '21-10']",MS - Qualification,20180531
47,"['Kaj Sjang Lü', 'Egor Okolov']","['[DEN] ', '[RUS] ']","['21-14', '21-19']",MS - Qualification,20180531
48,"['Andreas Bøgebjerg', 'Jonas Jæger', 'Pauls Gureckis', 'Reinis Krauklis']","['[DEN] ', '[DEN] ', '[LAT] ', '[LAT] ']","['21-13', '21-14']",MD - Qualification,20180531
49,"['Valentin Singer', 'Tobias Kuenzi [10]']","['[FRA] ', '[SUI] ']","['21-13', '21-12']",MS - Qualification,20180531
50,"['Jesper Paul', 'Jonas Petkus']","['[FIN] ', '[LTU] ']","['21-9', '21-13']",MS - Qualification,20180531
