,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Mark Sames', 'Eveshgaran Vasigaran']","['[LTU] ', '[MAS] ']","['21-11', '21-19']",MS - Qualification,20180607
1,"['Mads Juel Møller', 'Jahid Alhasanov']","['[DEN] ', '[AZE] ']","['21-9', '21-15']",MS - Qualification,20180607
2,"['Justus Kilpi', 'Taras Bondarenko']","['[FIN] ', '[EST] ']","['21-4', '21-5']",MS - Qualification,20180607
3,"['Sander De Decker', 'Murad Bayramov']","['[BEL] ', '[AZE] ']",['6-3'],MS - Qualification,20180607
4,"['Alex Lane', 'Felix Hammes']","['[ENG] ', '[GER] ']","['21-14', '21-7']",MS - Qualification,20180607
5,"['Lukas Junker', 'Egor Okolov']","['[GER] ', '[RUS] ']","['16-21', '21-19', '21-18']",MS - Qualification,20180607
6,"['Yonathan Levit', 'Flurin Furrer']","['[ISR] ', '[SUI] ']","['21-10', '21-18']",MS - Qualification,20180607
7,"['Adam Pringle', 'Hans-Kristjan Pilve']","['[SCO] ', '[EST] ']","['18-21', '21-10', '21-18']",MS - Qualification,20180607
8,"['Kaj Sjang Lü', 'Tomas Vaskevicius']","['[DEN] ', '[LTU] ']","['21-7', '21-12']",MS - Qualification,20180607
9,"['Lennart Konder', 'Andreas Ioannou']","['[GER] ', '[CYP] ']","['21-11', '21-10']",MS - Qualification,20180607
10,"['Nicolaj Wolf', 'Norbert Swierk']","['[DEN] ', '[POL] ']","['21-13', '21-14']",MS - Qualification,20180607
11,"['Karl Kert', 'Sabuhi Huseynov']","['[EST] ', '[AZE] ']","['21-19', '21-15']",MS - Qualification,20180607
12,"['Vegard Rikheim', 'Benas Vaskevicius']","['[NOR] ', '[LTU] ']","['21-8', '21-5']",MS - Qualification,20180607
13,"['Julien Carraggi', 'Kristofer Darri Finnsson']","['[BEL] ', '[ISL] ']","['21-10', '15-21', '21-13']",MS - Qualification,20180607
14,"['Adam Lam', 'Yanis Gaudin']","['[ENG] ', '[FRA] ']","['19-21', '21-19', '21-12']",MS - Qualification,20180607
15,"['Anton Monnberg', 'Senne Houthoofd']","['[FIN] ', '[BEL] ']","['21-9', '21-19']",MS - Qualification,20180607
16,"['Alexander Cook', 'Heming Lin']","['[ENG] ', '[FIN] ']","['21-10', '17-21', '21-14']",MS - Qualification,20180607
17,"['Albin Carl Hjelm', 'Andis Berzins']","['[SWE] ', '[LAT] ']","['21-6', '21-12']",MS - Qualification,20180607
18,"['Artem Tkachuk', 'Brian Holtschke']","['[UKR] ', '[GER] ']","['17-21', '24-22', '21-19']",MS - Qualification,20180607
19,"['Thomas Sibbald', 'Mikk Ounmaa']","['[NED] ', '[EST] ']","['21-17', '20-22', '21-16']",MS - Qualification,20180607
20,"['Oleksandr Kolesnik', 'Jorgen Rosenlund']","['[UKR] ', '[NOR] ']","['21-15', '21-14']",MS - Qualification,20180607
21,"['Philip Kidmose Henriksen', 'Jonas Petkus']","['[DEN] ', '[LTU] ']","['21-9', '18-21', '21-13']",MS - Qualification,20180607
22,"['Manuel Manca', 'Petros Tentas']","['[SUI] ', '[GRE] ']","['21-10', '21-17']",MS - Qualification,20180607
23,"['Tomáš Švejda', 'Edgaras Slusnys']","['[CZE] ', '[LTU] ']","['21-12', '17-21', '21-13']",MS - Qualification,20180607
24,"['Henri Hurskainen', 'Jonathan Dolan']","['[SWE] ', '[IRL] ']","['21-17', '21-19']",MS - Qualification,20180607
25,"['Jack Macgregor', 'Niks Podosinoviks']","['[SCO] ', '[LAT] ']","['21-10', '21-14']",MS - Qualification,20180607
26,"['Danylo Bosniuk', 'Alexander Landberg']","['[UKR] ', '[SWE] ']","['21-9', '21-10']",MS - Qualification,20180607
27,"['Torjus Flaatten', 'Bedrich Valenta']","['[NOR] ', '[CZE] ']","['21-14', '21-16']",MS - Qualification,20180607
28,"['Anna Bygum', 'Rebeka Alekseviciute']","['[DEN] ', '[LTU] ']","['21-14', '21-14']",WS - Qualification,20180607
29,"['Brid Stepper', 'Jekaterina Romanova']","['[GER] ', '[LAT] ']","['21-17', '21-16']",WS - Qualification,20180607
30,"['Lena Germann', 'Jacqueline Wendy Myers']","['[GER] ', '[USA] ']","['21-9', '21-9']",WS - Qualification,20180607
31,"['Yevgeniya Paksyutova', 'Szubert Karolina']","['[UKR] ', '[POL] ']","['13-21', '21-14', '21-9']",WS - Qualification,20180607
32,"['Lilit Poghosyan', 'Vitalija Movsovic']","['[ARM] ', '[LTU] ']","['21-12', '21-8']",WS - Qualification,20180607
33,"['Prashi Joshi', 'Katrin Neudolt']","['[IND] ', '[AUT] ']","['13-21', '21-12', '23-21']",WS - Qualification,20180607
