,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Ploynaputh Anandechjurakun', 'Mattana Hemrachatanun', 'Sararat Chueboca', 'Suphapich Silprakob']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-18', '16-21', '21-18']",WD - Qualification,20180116,"Bangkok, Thailand"
1,"['Ho Wai Lun', 'Tam Chun Hei', 'Parinyawat Thongnuam [2]', 'Natchanon Tulamok']","['[HKG] ', '[HKG] ', '[THA] ', '[THA] ']","['21-11', '15-21', '21-9']",MD - Qualification,20180116,"Bangkok, Thailand"
2,"['Jun Hao Leong', 'Kantawat Leelavechabutr']","['[MAS] ', '[THA] ']","['11-21', '21-18', '21-9']",MS - Qualification,20180116,"Bangkok, Thailand"
3,"['Teck Zhi Soo [4]', 'Chico Aura Dwi Wardoyo']","['[MAS] ', '[INA] ']","['21-7', '21-18']",MS - Qualification,20180116,"Bangkok, Thailand"
4,"['Mithun Manjunath', 'Henrikho Kho Wibowo']","['[IND] ', '[INA] ']","['21-17', '21-7']",MS - Qualification,20180116,"Bangkok, Thailand"
5,"['Mek Narongrit', 'Yee Han Chong']","['[THA] ', '[MAS] ']","['21-16', '8-21', '23-21']",MS - Qualification,20180116,"Bangkok, Thailand"
6,"['Hashiru Shimono [3]', 'Chirag Sen']","['[JPN] ', '[IND] ']","['21-13', '21-13']",MS - Qualification,20180116,"Bangkok, Thailand"
7,"['Fikri Ihsandi Hadmadi', 'Shreyansh Jaiswal']","['[INA] ', '[IND] ']","['21-19', '23-21']",MS - Qualification,20180116,"Bangkok, Thailand"
8,"['Rizky Kurniawan', 'Komandani Maytri Sugiarto', 'Tanawat Topattanakul', 'Nuttanant Waichamee']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['23-21', '21-18']",MD - Qualification,20180116,"Bangkok, Thailand"
9,"['Kunlavut Vitidsarn', 'Le Duc Phat']","['[THA] ', '[VIE] ']","['21-15', '21-14']",MS - Qualification,20180116,"Bangkok, Thailand"
