,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Riga Oud', 'Haoxuan Xia']","['[NZL] ', '[NZL] ']","['21-9', '21-3']",MS - Qualification,20180201
1,"['Jacob Morgon', 'Patrick Wang']","['[NZL] ', '[NZL] ']","['23-21', '21-12']",MS - Qualification,20180201
2,"['Jian Wang', 'Evan Sun']","['[NZL] ', '[NZL] ']","['21-8', '21-14']",MS - Qualification,20180201
3,"['Ben Perkinson', 'Samuel Sun']","['[NZL] ', '[NZL] ']","['21-6', '21-19']",MS - Qualification,20180201
4,"['Tianyi Xie', 'Tze Wei Sneah']","['[NZL] ', '[NZL] ']","['21-11', '21-11']",MS - Qualification,20180201
5,"['Jack Wang', 'Eli Nathan']","['[NZL] ', '[NZL] ']","['21-10', '21-7']",MS - Qualification,20180201
6,"['Yifan Zhang', 'Daniel Yang']","['[NZL] ', '[NZL] ']","['21-12', '21-13']",MS - Qualification,20180201
7,"['Anthony Joe [1]', 'Carlos Luna']","['[AUS] ', '[NZL] ']","['21-7', '21-12']",MS,20180201
8,"['Srijan Konchada', 'Teiva Politi']","['[NZL] ', '[PYF] ']","['21-10', '21-8']",MS,20180201
9,"['Mathias Pedersen', 'Leon Jang']","['[DEN] ', '[FIJ] ']","['21-11', '21-6']",MS,20180201
10,"['Daxxon Vong [7]', 'Maxie Andrew Wong']","['[NZL] ', '[FIJ] ']","['21-2', '21-5']",MS,20180201
11,"['Daniel Fan [6]', 'Aaron Chen']","['[AUS] ', '[NZL] ']","['21-6', '21-7']",MS,20180201
12,"['Remi Rossi', 'Oscar Lin']","['[PYF] ', '[NZL] ']","['21-6', '21-10']",MS,20180201
13,"['Lucas Mitchell', 'Ronan Ho-Yagues [15]']","['[NZL] ', '[CAL] ']","['21-19', '21-19']",MS,20180201
14,"['Jian Wang', 'Joshua Feng']","['[NZL] ', '[NZL] ']","['17-21', '21-17', '21-14']",MS,20180201
15,"['Jacob Schueler [4]', 'Ahmad Ali']","['[AUS] ', '[FIJ] ']","['21-7', '21-7']",MS,20180201
16,"['Maika Phillips', 'Tianyi Xie']","['[NZL] ', '[NZL] ']","['21-15', '21-12']",MS,20180201
17,"['Edward Lau [13]', 'Kai Chen Teoh']","['[NZL] ', '[AUS] ']","['21-17', '21-18']",MS,20180201
18,"['Evan Lee', 'Tarepa Bourgery']","['[NZL] ', '[PYF] ']","['21-12', '21-16']",MS,20180201
19,"['Dylan Soedjasa [5]', 'Waleson Vinicios Evangeli Santos']","['[NZL] ', '[BRA] ']","['21-10', '21-18']",MS,20180201
20,"['Riga Oud', 'Liam Fong']","['[NZL] ', '[FIJ] ']","['21-14', '21-13']",MS,20180201
