,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['William Ponsonby', 'Leesa Grundy', 'Steven Lesourd', 'Ingrid Ateni']","['[AUS] ', '[AUS] ', '[PYF] ', '[PYF] ']","['21-13', '21-13']",XD - Qualification,20180208
1,"['Heinoa Deane', 'Karine Desfour', 'Liam Fong', 'Andra Whiteside']","['[PYF] ', '[PYF] ', '[FIJ] ', '[FIJ] ']",[],XD - Qualification,20180208
2,"['Chang Ho Kim', 'Nina Smits', 'Teiva Politi', 'Méiissa Mi You']","['[FIJ] ', '[PYF] ', '[PYF] ', '[PYF] ']","['17-21', '21-13', '21-8']",XD - Qualification,20180208
3,"['Liam Fong', 'Andra Whiteside', 'Tarepa Bourgery', 'Esther Tau']","['[FIJ] ', '[FIJ] ', '[PYF] ', '[PYF] ']","['21-16', '21-17']",XD,20180208
4,"['Maika Phillips', 'Anona Pak', 'Leon Jang', 'Carline Bentley']","['[NZL] ', '[NZL] ', '[FIJ] ', '[FIJ] ']","['21-5', '21-5']",XD,20180208
5,"['Sawan Serasinghe [1]', 'Setyana Mapasa', 'Ryan Tong', 'Janice Jiang']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-13', '21-8']",XD,20180208
6,"['Joshua Feng', 'Jacqueline Yu', 'Greig Teriitanoa', 'Estelle Colombies']","['[NZL] ', '[NZL] ', '[PYF] ', '[PYF] ']","['21-12', '21-11']",XD,20180208
7,"['Anthony Joe [4]', 'Joy Lai', 'Matthew Graham', 'Gaea Galvez']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-15', '16-21', '21-12']",XD,20180208
8,"['Burty James Molia', 'Karyn Gibson', 'Jasmanjot Virk', 'Jahvaya Wheki']","['[FIJ] ', '[FIJ] ', '[NZL] ', '[NZL] ']","['17-21', '21-11', '21-19']",XD,20180208
9,"['Oliver Leydon-Davis [3]', 'Susannah Leydon-Davis', 'Ahmad Ali', 'Alissa Dean']","['[NZL] ', '[NZL] ', '[FIJ] ', '[FIJ] ']","['21-8', '21-12']",XD,20180208
10,"['Matthew Chau', 'Leanne Choo', 'Dhanny Oud [2]', 'Jasmin Chung Man Ng']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-19', '21-14']",XD,20180208
11,"['Simon Wing Hang Leung', 'Louisa Ma', 'Jack Wang', 'Roanne Apalisok']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['18-21', '21-16', '21-11']",XD,20180208
12,"['Huaidong Tang', 'Renuga Veeran', 'Jason Seto', 'Rebecca Hayley Fong']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-10', '21-4']",XD,20180208
13,"['Niccolo Tagle', 'Alyssa Tagle', 'Kai Chen Teoh', 'Zecily Fung']","['[NZL] ', '[NZL] ', '[AUS] ', '[AUS] ']","['21-11', '21-19']",XD,20180208
14,"['Jonathan Curtin', 'Danielle Tahuri', 'Toby Wong', 'Sirina Fan']","['[NZL] ', '[NZL] ', '[AUS] ', '[AUS] ']","['21-17', '21-15']",XD,20180208
15,"['Ben Perkinson', 'Ella Smith', 'Maxie Andrew Wong', 'Danielle Whiteside']","['[NZL] ', '[NZL] ', '[FIJ] ', '[FIJ] ']","['21-15', '21-10']",XD,20180208
16,"['William Ponsonby', 'Leesa Grundy', 'Adam Jeffrey', 'Lily Rose']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-18', '21-16']",XD,20180208
17,"['Abhinav Manota', 'Justine Villegas', 'Chang Ho Kim', 'Nina Smits']","['[NZL] ', '[NZL] ', '[FIJ] ', '[PYF] ']","['21-3', '21-6']",XD,20180208
18,"['Jonathan Wong', 'Louis Beaubois']","['[AUS] ', '[PYF] ']","['21-12', '21-14']",MS,20180208
19,"['Evan Wong', 'Shaunna Li', 'Heinoa Deane', 'Karine Desfour']","['[NZL] ', '[NZL] ', '[PYF] ', '[PYF] ']","['21-6', '21-10']",XD,20180208
20,"['Quentin Bernaix', 'Patrick Wang']","['[PYF] ', '[NZL] ']","['21-14', '14-21', '21-14']",MS,20180208
21,"['Daniel Fan [6]', 'Dacmen Vong']","['[AUS] ', '[NZL] ']","['23-21', '13-21', '21-14']",MS,20180208
22,"['Jennifer Tam [2]', 'Sarah Cai']","['[AUS] ', '[GUM] ']","['21-4', '21-7']",WS,20180208
23,"['Cham Chen', 'Ryan Tong']","['[AUS] ', '[NZL] ']","['18-21', '21-17', '22-20']",MS,20180208
24,"['Samuel Ho', 'Tarepa Bourgery']","['[NZL] ', '[PYF] ']","['21-10', '21-11']",MS,20180208
25,"['Carlos Luna', 'Leon Jang']","['[NZL] ', '[FIJ] ']","['21-7', '21-13']",MS,20180208
26,"['Burty James Molia', 'Jasmanjot Virk']","['[FIJ] ', '[NZL] ']","['21-18', '15-21', '21-12']",MS,20180208
27,"['Remi Rossi', 'Maika Phillips']","['[PYF] ', '[NZL] ']","['21-13', '21-7']",MS,20180208
28,"['Srijan Konchada', 'Greig Teriitanoa']","['[NZL] ', '[PYF] ']","['21-17', '21-6']",MS,20180208
29,"['Aidan Karati', 'Joshua Feng']","['[COK] ', '[NZL] ']","['21-10', '21-16']",MS,20180208
30,"['Matthew Graham', 'Rauhiri Goguenheim']","['[NZL] ', '[PYF] ']","['21-8', '21-7']",MS,20180208
31,"['Raymond Sing', 'Edward Lau']","['[AUS] ', '[NZL] ']",[],MS,20180208
32,"['Peter Yan', 'Jack Jiang']","['[AUS] ', '[NZL] ']","['21-16', '21-13']",MS,20180208
33,"['Kai Chen Teoh', 'Ronan Ho-Yagues']","['[AUS] ', '[CAL] ']","['21-7', '21-6']",MS,20180208
34,"['Jack Wang', 'Ahmad Ali']","['[NZL] ', '[FIJ] ']","['21-12', '21-10']",MS,20180208
35,"['Riga Oud', 'Teiva Politi']","['[NZL] ', '[PYF] ']","['21-4', '21-3']",MS,20180208
36,"['Nathan Tang [8]', 'Ben Perkinson']","['[AUS] ', '[NZL] ']","['21-9', '21-6']",MS,20180208
37,"['Daxxon Vong', 'Steven Lesourd']","['[NZL] ', '[PYF] ']","['21-8', '21-15']",MS,20180208
38,"['Adam Jeffrey', 'Liam Fong']","['[NZL] ', '[FIJ] ']","['21-9', '21-11']",MS,20180208
39,"['Oscar Lin', 'Heinoa Deane']","['[NZL] ', '[PYF] ']","['21-11', '21-0']",MS,20180208
40,"['Abhinav Manota', 'Afatareki Mckenzie']","['[NZL] ', '[FIJ] ']",[],MS,20180208
41,"['Ricky Cheng', 'Maxie Andrew Wong']","['[NZL] ', '[FIJ] ']","['21-11', '21-12']",MS,20180208
42,"['William Ponsonby', 'Joshua Curry']","['[AUS] ', '[NZL] ']","['21-17', '21-14']",MS,20180208
43,"['Wesley Caulkett', 'Vincent Harris']","['[AUS] ', '[NZL] ']","['21-16', '21-9']",MS,20180208
