,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Romain Frank', 'Roman Razaki']","['[FRA] ', '[BEN] ']","['21-4', '21-15']",MS - Qualification,20180327,"Orleans, France"
1,"['Michael Spencer-Smith', 'Alexis Chollet']","['[ENG] ', '[FRA] ']","['21-17', '21-15']",MS - Qualification,20180327,"Orleans, France"
2,"['Joshua Magee [6]', 'Anant Shivam Jindal']","['[IRL] ', '[IND] ']","['21-9', '21-15']",MS - Qualification,20180327,"Orleans, France"
3,"['Valeriy Atrashchenkov', 'Bernardo Atilano [3]']","['[UKR] ', '[POR] ']","['21-13', '21-19']",MS - Qualification,20180327,"Orleans, France"
4,"['Samuel Hsiao', 'Toma Junior Popov [4]']","['[GER] ', '[FRA] ']","['21-16', '21-16']",MS - Qualification,20180327,"Orleans, France"
5,"['Aneeth Kumar Repudi', 'Shinsai Deslauriers']","['[IND] ', '[FRA] ']","['15-21', '21-18', '21-17']",MS - Qualification,20180327,"Orleans, France"
6,"['Remi Rossi', 'Hugo Jardim']","['[PYF] ', '[ENG] ']","['21-2', '21-10']",MS - Qualification,20180327,"Orleans, France"
7,"['Hardik Makkar', 'Marc Laporte']","['[IND] ', '[FRA] ']","['21-12', '21-18']",MS - Qualification,20180327,"Orleans, France"
8,"['Gurusaidutt R. M. V.', 'Jocelyn Deschamp']","['[IND] ', '[FRA] ']","['21-18', '21-16']",MS - Qualification,20180327,"Orleans, France"
9,"['Adel Hamek', 'Raymond Webster']","['[ALG] ', '[ENG] ']","['21-3', '21-5']",MS - Qualification,20180327,"Orleans, France"
10,"['Jonathan Persson [5]', 'Adrian George']","['[GER] ', '[IND] ']","['21-15', '21-16']",MS - Qualification,20180327,"Orleans, France"
11,"['Max Weisskirchen [7]', 'Pavel Kotsarenko']","['[GER] ', '[RUS] ']","['21-9', '21-10']",MS - Qualification,20180327,"Orleans, France"
12,"['Valentin Singer', 'Bilal Elharab']","['[FRA] ', '[MAR] ']","['21-16', '21-16']",MS - Qualification,20180327,"Orleans, France"
13,"['Hemanth M.Gowda', 'Alex Vlaar [8]']","['[IND] ', '[BUL] ']","['16-21', '21-19', '21-15']",MS - Qualification,20180327,"Orleans, France"
14,"['Kartik Jindal', 'Mohamed Abderrahime Belarbi']","['[IND] ', '[ALG] ']","['21-13', '21-5']",MS - Qualification,20180327,"Orleans, France"
15,"['Leo Rossi', 'Joseph Waugh']","['[FRA] ', '[ENG] ']",[],MS - Qualification,20180327,"Orleans, France"
16,"['Katia Normand', 'Maryna Ilyinskaya']","['[FRA] ', '[UKR] ']","['21-23', '21-17', '21-10']",WS - Qualification,20180327,"Orleans, France"
17,"['Devi Yunita Indah Sari', 'Anura Prabhudesai']","['[INA] ', '[IND] ']","['22-20', '21-12']",WS - Qualification,20180327,"Orleans, France"
18,"['Marie Batomene', 'Shruti Mundada']","['[FRA] ', '[IND] ']",[],WS - Qualification,20180327,"Orleans, France"
19,"['Ozge Bayrak', 'Priskila Siahaya']","['[TUR] ', '[GER] ']",[],WS - Qualification,20180327,"Orleans, France"
20,"['Peter Kaesbauer [2]', 'Olga Konon', 'Valeriy Atrashchenkov', 'Yelyzaveta Zharka']","['[GER] ', '[GER] ', '[UKR] ', '[UKR] ']","['21-14', '21-18']",XD - Qualification,20180327,"Orleans, France"
21,"['Tim Fischer', 'Daniel Hess', 'Rehan Naufal Kusharjanto', 'Pramudya Kusumawardana Riyanto']","['[GER] ', '[GER] ', '[INA] ', '[INA] ']",[],MD - Qualification,20180327,"Orleans, France"
22,"['Romain Frank', 'Florent Riancho', 'Patrick Scheiel', 'Julian Voigt']","['[FRA] ', '[FRA] ', '[GER] ', '[GER] ']",[],MD - Qualification,20180327,"Orleans, France"
23,"['Mugdha Agrey', 'Isabel Zhong']","['[IND] ', '[USA] ']","['21-17', '21-17']",WS - Qualification,20180327,"Orleans, France"
24,"['Vaidehi Choudhari', 'Porntip Buranaprasertsuk']","['[IND] ', '[THA] ']",[],WS - Qualification,20180327,"Orleans, France"
25,"['Jordan Hart', 'Georgina Bland']","['[WAL] ', '[ENG] ']","['21-19', '21-9']",WS - Qualification,20180327,"Orleans, France"
26,"['Yaelle Hoyaux', 'Viktoriia Vorobeva']","['[FRA] ', '[RUS] ']","['21-8', '21-15']",WS - Qualification,20180327,"Orleans, France"
