,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Naohiro Matsukawa', 'Low Sheng Yan Nicholas']","['[JPN] ', '[SGP] ']","['21-5', '21-10']",MS - Qualification,20180404
1,"['Seong Hyun Son', 'Namboun Luangamath']","['[KOR] ', '[LAO] ']","['21-5', '21-9']",MS - Qualification,20180404
2,"['Koo Takahashi', 'Ye Hong Wei']","['[JPN] ', '[TPE] ']","['21-17', '21-12']",MS - Qualification,20180404
3,"['Jin Kai Xu', 'Tanapat Wilaingam']","['[SGP] ', '[THA] ']","['21-10', '21-12']",MS - Qualification,20180404
4,"['Motoya Ikebata', 'Su Li Wei']","['[JPN] ', '[TPE] ']","['24-22', '21-9']",MS - Qualification,20180404
5,"['Akari Kurihara', 'Yu Jin Sim [3]']","['[JPN] ', '[KOR] ']","['16-21', '21-13', '21-11']",WS - Qualification,20180404
6,"['Ayaho Sugino', 'Momoka Kimura']","['[JPN] ', '[JPN] ']","['21-14', '21-8']",WS - Qualification,20180404
7,"['Ryota Ichii', 'Yehezkiel Fritz Mainaky [1]']","['[JPN] ', '[INA] ']","['21-6', '21-16']",MS - Qualification,20180404
8,"['Minoru Koga', 'Lu Chen [4]']","['[JPN] ', '[TPE] ']","['21-12', '21-13']",MS - Qualification,20180404
9,"['Motoya Ikebata', 'Teruki Muto', 'Low Sheng Yan Nicholas', 'Yap Zhe Bin Joshua']","['[JPN] ', '[JPN] ', '[SGP] ', '[SGP] ']","['21-15', '21-12']",MD - Qualification,20180404
10,"['Se Young An', 'Yuki Minei']","['[KOR] ', '[JPN] ']","['21-16', '21-13']",WS - Qualification,20180404
11,"['Taiki Kato', 'Kam Yong Shen Jordan']","['[JPN] ', '[SGP] ']","['21-3', '21-2']",MS - Qualification,20180404
12,"['Asuka Sugiyama', 'Xi Qing Ong [4]']","['[JPN] ', '[SGP] ']","['21-9', '21-5']",WS - Qualification,20180404
13,"['Nanami Someya', 'Yun Liang']","['[JPN] ', '[SGP] ']","['21-14', '21-13']",WS - Qualification,20180404
14,"['Akito Homma', 'Jin Kai Xu']","['[JPN] ', '[SGP] ']","['21-14', '21-11']",MS - Qualification,20180404
15,"['Takuma Obayashi [3]', 'Seong Hyun Son']","['[JPN] ', '[KOR] ']","['19-21', '21-12', '21-16']",MS - Qualification,20180404
16,"['Naohiro Matsukawa', 'Lin Yong Sheng']","['[JPN] ', '[TPE] ']","['21-14', '21-7']",MS - Qualification,20180404
17,"['Koo Takahashi', 'Yap Zhe Bin Joshua']","['[JPN] ', '[SGP] ']","['21-13', '21-8']",MS - Qualification,20180404
18,"['Yun Kyu Lee [2]', 'Motoya Ikebata']","['[KOR] ', '[JPN] ']","['23-21', '21-15']",MS - Qualification,20180404
19,"['Tuan Duc Do [1]', 'Nhu Thao Pham', 'Tsubasa Kawamura', 'Kaho Osawa']","['[VIE] ', '[VIE] ', '[JPN] ', '[JPN] ']","['21-12', '21-16']",XD,20180404
20,"['Chang Ko-Chi [6]', 'Cheng Chi Ya', 'Takahiro Fujimaki', 'Misaki Makino']","['[TPE] ', '[TPE] ', '[JPN] ', '[JPN] ']","['21-9', '22-20']",XD,20180404
21,"['Kenya Mitsuhashi', 'Naru Shinoya', 'Daisuke Suzuki', 'Yuho Imai']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['21-15', '21-16']",XD,20180404
22,"['Katsuki Tamate', 'Minori Zaitsu', 'Yehezkiel Fritz Mainaky [4]', 'Lyanny Alessandra Mainaky']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-18', '21-13']",XD,20180404
