,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Mariano Velarde Alzamora', 'Jhoey Tejada Rojas']","['[PER] ', '[PER] ']","['21-16', '21-19']",MS - Qualification,20180517,"Lima, Peru"
1,"['Daniela Zapata', 'Linda Bu']","['[PER] ', '[BOL] ']","['21-3', '21-3']",WS,20180517,"Lima, Peru"
2,"['Micaela Castillo Salazar', 'Andrea Flores Vasquez De Velasco']","['[PER] ', '[PER] ']","['21-17', '11-21', '21-17']",WS,20180517,"Lima, Peru"
3,"['Stefany Ying Chie Chen Chen', 'Iona Gualdi']","['[PER] ', '[ARG] ']","['21-7', '23-21']",WS,20180517,"Lima, Peru"
4,"['Diana Corleto Soto', 'Valeria Carolina Wong Lam']","['[GUA] ', '[PER] ']","['21-15', '21-12']",WS,20180517,"Lima, Peru"
5,"['Rafaela Munar Solimano', 'Barbara Maria Berruezo']","['[PER] ', '[ARG] ']","['21-17', '21-18']",WS,20180517,"Lima, Peru"
6,"['Ines Mendoza Rosell', 'Mariana Isabel Paiz Quan']","['[PER] ', '[GUA] ']","['22-20', '21-17']",WS,20180517,"Lima, Peru"
7,"['Sara Michele Barrios Chiong', 'Ariana Moromisato Kina']","['[GUA] ', '[PER] ']","['21-16', '21-12']",WS,20180517,"Lima, Peru"
8,"['Fabiana Silva', 'Fernanda Munar Solimano']","['[BRA] ', '[PER] ']","['21-5', '21-7']",WS,20180517,"Lima, Peru"
9,"['Isabelle Rusli', 'Micaela Flores Vasquez De Velasco']","['[USA] ', '[PER] ']","['16-21', '21-15', '21-13']",WS,20180517,"Lima, Peru"
10,"['Ines Castillo', 'Alejandra Jose Paiz Quan [3/4]']","['[PER] ', '[GUA] ']","['21-15', '21-17']",WS,20180517,"Lima, Peru"
11,"['Namie Miyahira Tsukazan', 'Camila Macaya']","['[PER] ', '[CHI] ']","['25-23', '21-17']",WS,20180517,"Lima, Peru"
12,"['Ingrid Valeria Salas Huamani', 'Ariane Nakasone Rodriguez']","['[PER] ', '[PER] ']","['21-10', '21-11']",WS,20180517,"Lima, Peru"
