,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Sergiy Garist', 'Peter Vasicek']","['[UKR] ', '[SVK] ']","['21-13', '21-13']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
1,"['Joyireh Avi Manasye', 'Ivan Panev [15]']","['[INA] ', '[BUL] ']","['21-9', '20-22', '21-10']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
2,"['Liao Jhuo-Fu', 'Vladyslav Buldenko']","['[TPE] ', '[UKR] ']","['21-9', '21-18']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
3,"['Piotr Wasiluk [8]', 'Temuulen Ayush']","['[POL] ', '[MGL] ']","['21-11', '21-12']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
4,"['Pawel Lepianka', 'Gergo Pytel [1]']","['[POL] ', '[HUN] ']",[],MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
5,"['Luka Milic', 'Sun Chen-Yu']","['[SRB] ', '[TPE] ']","['21-17', '18-21', '21-10']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
6,"['Saruul Shafiq', 'Lu Chen [12]']","['[GER] ', '[TPE] ']","['21-19', '21-13']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
7,"['Chen Ching Wei', 'Niks Podosinoviks']","['[TPE] ', '[LAT] ']","['21-15', '21-14']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
8,"['Philipp Salow', 'Adam Horak']","['[GER] ', '[SVK] ']","['21-13', '21-5']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
9,"['Peter Hrncar', 'Daniel Mendes']","['[SVK] ', '[POR] ']","['21-18', '26-24']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
10,"['David Salutt', 'Gasper Krivec']","['[ITA] ', '[SLO] ']","['21-15', '21-13']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
11,"['Mattias Xu', 'Wojciech Sajdok']","['[NOR] ', '[POL] ']","['21-13', '21-13']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
12,"['Muhammad Lukman Hakim Mohd Ibrahim [6]', 'Ye Hong Wei']","['[MAS] ', '[TPE] ']","['21-16', '21-7']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
13,"['Miguel Barbado', 'Alexander Verner']","['[ESP] ', '[RUS] ']","['21-13', '22-24', '21-3']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
14,"['Alex Alcala Dominguez [9]', 'Mattias Nordin']","['[ESP] ', '[SWE] ']","['26-24', '21-10']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
15,"['Szymon Stokfisz', 'Marco Jorge']","['[POL] ', '[POR] ']","['21-16', '21-12']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
16,"['Filip Jagar', 'Piotr Gajda']","['[CRO] ', '[POL] ']","['21-23', '21-10', '24-22']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
17,"['Christoffer Elbrønd', 'Michal Kikosicki [11]']","['[DEN] ', '[POL] ']","['21-15', '21-12']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
18,"['Juraj Vachalek', 'Robert Cybulski']","['[SVK] ', '[POL] ']","['21-19', '21-9']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
19,"['Huang Yu Kai', 'Oleksandr Kolesnik [7]']","['[TPE] ', '[UKR] ']","['21-18', '18-21', '21-19']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
20,"['Kian Andersen', 'Jakub Horak']","['[DEN] ', '[SVK] ']","['21-8', '21-10']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
21,"['Hu Chuan-En [13]', 'Murad Bayramov']","['[TPE] ', '[AZE] ']","['21-4', '21-3']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
22,"['Su Li Wei', 'Mikkel Toft']","['[TPE] ', '[DEN] ']","['21-17', '21-12']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
23,"['Alvaro Vazquez [4]', 'Lin-Yu Oei']","['[ESP] ', '[GER] ']","['21-18', '21-11']",MS - Qualification,20180228,"Zamarovce – Trencin, Slovakia"
