,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Niclas Nohr', 'Sara Thygesen', 'Peter Kaesbauer', 'Olga Konon']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-16', '19-21', '21-11']",XD ,20180220,"Basel, Switzerland"
1,"['Robin Tabeling', 'Cheryl Seinen', 'Gaetan Mittelheisser', 'Emilie Lefel']","['[NED] ', '[NED] ', '[FRA] ', '[FRA] ']","['19-21', '21-16', '21-9']",XD ,20180220,"Basel, Switzerland"
2,"['Tinn Isriyanet', 'Pacharapun Chochuwong', 'Jakub Bitman', 'Alzbeta Basova']","['[THA] ', '[THA] ', '[CZE] ', '[CZE] ']","['21-11', '21-11']",XD ,20180220,"Basel, Switzerland"
3,"['Ben Lane [6]', 'Jessica Pugh', 'Thom Gicquel', 'Delphine Delrue']","['[ENG] ', '[ENG] ', '[FRA] ', '[FRA] ']","['21-19', '21-15']",XD ,20180220,"Basel, Switzerland"
4,"['Jacco Arends [5]', 'Selena Piek', 'Yang Ming-Tse', 'Sung Shuo Yun']","['[NED] ', '[NED] ', '[TPE] ', '[TPE] ']","['21-16', '21-12']",XD ,20180220,"Basel, Switzerland"
5,"['Marvin Emil Seidel [4]', 'Linda Efler', 'Pang Ron Hoo', 'Yen Wei Peck']","['[GER] ', '[GER] ', '[MAS] ', '[MAS] ']","['21-18', '22-20']",XD ,20180220,"Basel, Switzerland"
6,"['Bastian Kersaudy', 'Lea Palermo', 'Oliver Schaller', 'Celine Burkart']","['[FRA] ', '[FRA] ', '[SUI] ', '[SUI] ']","['21-14', '21-16']",XD ,20180220,"Basel, Switzerland"
7,"['Chang Ko-Chi', 'Cheng Chi Ya', 'Andreas Heinz', 'Annika Horbach']","['[TPE] ', '[TPE] ', '[GER] ', '[GER] ']","['21-13', '19-21', '21-16']",XD ,20180220,"Basel, Switzerland"
8,"['Ruben Jille', 'Imke Van Der Aar', 'Yehezkiel Fritz Mainaky', 'Lyanny Alessandra Mainaky']","['[NED] ', '[NED] ', '[INA] ', '[INA] ']","['21-14', '21-14']",XD ,20180220,"Basel, Switzerland"
9,"['Jones Ralfy Jansen', 'Carla Nelte', 'Freek Golinski', 'Lise Jaques']","['[GER] ', '[GER] ', '[BEL] ', '[BEL] ']","['21-9', '21-10']",XD ,20180220,"Basel, Switzerland"
10,"['Mark Lamsfuss [1]', 'Isabel Herttrich', 'William Villeger', 'Sharone Bauer']","['[GER] ', '[GER] ', '[FRA] ', '[FRA] ']","['21-16', '21-17']",XD ,20180220,"Basel, Switzerland"
11,"['Marcus Ellis [7]', 'Lauren Smith', 'Mathias Bay-Smidt', 'Rikke Søby']","['[ENG] ', '[ENG] ', '[DEN] ', '[DEN] ']","['21-17', '23-21']",XD ,20180220,"Basel, Switzerland"
12,"['Mikkel Mikkelsen [8]', 'Mai Surrow', 'Matijs Dierickx', 'Flore Vandenhoucke']","['[DEN] ', '[DEN] ', '[BEL] ', '[BEL] ']","['21-15', '19-21', '21-10']",XD,20180220,"Basel, Switzerland"
13,"['Josche Zurwonne', 'Eva Janssens', 'Anton Kaisti', 'Jenny Nystrom']","['[GER] ', '[GER] ', '[FIN] ', '[FIN] ']","['17-21', '21-13', '21-16']",XD,20180220,"Basel, Switzerland"
14,"['Kittisak Namdash', 'Savitree Amitrapai', 'Tang Jie Chen', 'Cheah Yee See']","['[THA] ', '[THA] ', '[MAS] ', '[MAS] ']","['21-9', '21-19']",XD,20180220,"Basel, Switzerland"
15,"['Stilian Makarski', 'Diana Dimova', 'Mathew Fogarty', 'Isabel Zhong']","['[BUL] ', '[BUL] ', '[USA] ', '[USA] ']","['21-9', '21-15']",XD,20180220,"Basel, Switzerland"
16,"['Linda Zetchiri [6]', 'Luise Heim']","['[BUL] ', '[GER] ']","['21-18', '18-21', '21-11']",WS,20180220,"Basel, Switzerland"
17,"['Julie Dawall Jakobsen', 'Vaishnavi Reddy Jakka']","['[DEN] ', '[IND] ']","['21-19', '21-17']",WS,20180220,"Basel, Switzerland"
18,"['Minatsu Mitani [2]', 'Qi Xuefei']","['[JPN] ', '[CHN] ']","['21-13', '21-7']",WS,20180220,"Basel, Switzerland"
19,"['Sai Uttejitha Rao Chukka', 'Yvonne Li']","['[IND] ', '[GER] ']","['25-23', '21-16']",WS,20180220,"Basel, Switzerland"
20,"['Sitthikom Thammasin', 'Takuma Ueda']","['[THA] ', '[JPN] ']","['8-21', '21-13', '21-19']",MS,20180220,"Basel, Switzerland"
21,"['Kantaphon Wangcharoen', 'Kai Schaefer']","['[THA] ', '[GER] ']","['21-19', '21-14']",MS,20180220,"Basel, Switzerland"
22,"['Sourabh Verma', 'Misha Zilberman']","['[IND] ', '[ISR] ']","['21-11', '21-18']",MS,20180220,"Basel, Switzerland"
23,"['Gurusaidutt R. M. V.', 'Ygor Coelho [3]']","['[IND] ', '[BRA] ']","['21-16', '21-11']",MS,20180220,"Basel, Switzerland"
24,"['Ayako Sakuramoto', 'Yukiko Takahata', 'Maiken Fruergaard [3]', 'Sara Thygesen']","['[JPN] ', '[JPN] ', '[DEN] ', '[DEN] ']","['21-11', '21-19']",WD,20180220,"Basel, Switzerland"
25,"['Ben Lane', 'Sean Vendy', 'Jacco Arends [7]', 'Ruben Jille']","['[ENG] ', '[ENG] ', '[NED] ', '[NED] ']","['21-12', '15-21', '21-18']",MD,20180220,"Basel, Switzerland"
26,"['Konstantin Abramov', 'Alexandr Zinchenko', 'Mathieu Gangloff', 'Tom Rodrigues']","['[RUS] ', '[RUS] ', '[FRA] ', '[FRA] ']","['21-15', '21-11']",MD,20180220,"Basel, Switzerland"
27,"['Inkarat Apisuk', 'Tanupat Viriyangkura', 'Milosz Bochat', 'Adam Cwalina']","['[THA] ', '[THA] ', '[POL] ', '[POL] ']","['21-17', '21-16']",MD,20180220,"Basel, Switzerland"
28,"['Mariya Mitsova', 'Ronja Stern']","['[BUL] ', '[SUI] ']","['21-18', '21-13']",WS,20180220,"Basel, Switzerland"
29,"['Marcus Ellis [3]', 'Chris Langridge', 'Daniel Benz', 'Andreas Heinz']","['[ENG] ', '[ENG] ', '[GER] ', '[GER] ']","['21-17', '21-13']",MD,20180220,"Basel, Switzerland"
30,"['Natsuki Nidaira', 'Ayumi Mine']","['[JPN] ', '[JPN] ']","['21-19', '21-18']",WS,20180220,"Basel, Switzerland"
31,"['Lise Jaques', 'Flore Vandenhoucke', 'Eva Janssens', 'Judith Petrikowski']","['[BEL] ', '[BEL] ', '[GER] ', '[GER] ']","['21-13', '21-15']",WD,20180220,"Basel, Switzerland"
32,"['Mia Blichfeldt [3]', 'Debora Jille']","['[DEN] ', '[NED] ']","['21-7', '21-11']",WS,20180220,"Basel, Switzerland"
33,"['Kento Momota', 'Christian Kirchmayr']","['[JPN] ', '[SUI] ']","['21-11', '21-15']",MS,20180220,"Basel, Switzerland"
34,"['Isabel Herttrich', 'Carla Nelte', 'Savitree Amitrapai', 'Pacharapun Chochuwong']","['[GER] ', '[GER] ', '[THA] ', '[THA] ']","['21-19', '14-21', '21-17']",WD,20180220,"Basel, Switzerland"
35,"['Sung Shuo Yun', 'Natalia Perminova']","['[TPE] ', '[RUS] ']","['21-18', '16-21', '21-11']",WS,20180220,"Basel, Switzerland"
36,"['Mark Caljouw [5]', 'Adam Mendrek']","['[NED] ', '[CZE] ']","['22-24', '21-8', '21-15']",MS,20180220,"Basel, Switzerland"
37,"['Sameer Verma [2]', 'Thomas Rouxel']","['[IND] ', '[FRA] ']","['22-20', '21-10']",MS,20180220,"Basel, Switzerland"
38,"['Yu Igarashi', 'Lars Schaenzler']","['[JPN] ', '[GER] ']","['21-15', '21-14']",MS,20180220,"Basel, Switzerland"
39,"['Selena Piek', 'Cheryl Seinen', 'Sharone Bauer', 'Charlotte Ganci']","['[NED] ', '[NED] ', '[FRA] ', '[FRA] ']","['21-7', '21-7']",WD,20180220,"Basel, Switzerland"
40,"['Mathias Boe [1]', 'Carsten Mogensen', 'Chun Kang Shia', 'Wee Gieen Tan']","['[DEN] ', '[DEN] ', '[MAS] ', '[MAS] ']","['21-9', '21-19']",MD,20180220,"Basel, Switzerland"
41,"['Line Højmark Kjaersfeldt [7]', 'Devi Yunita Indah Sari']","['[DEN] ', '[INA] ']","['21-14', '21-9']",WS,20180220,"Basel, Switzerland"
42,"['Mathias Bay-Smidt', 'Frederik Søgaard', 'Eloi Adam', 'Samy Corvee']","['[DEN] ', '[DEN] ', '[FRA] ', '[FRA] ']","['21-12', '21-14']",MD,20180220,"Basel, Switzerland"
43,"['Evgeniya Kosetskaya [4]', 'Mukherjee Riya']","['[RUS] ', '[IND] ']","['13-21', '21-12', '21-17']",WS,20180220,"Basel, Switzerland"
44,"['Chloe Birch', 'Chang Ya Lan']","['[ENG] ', '[TPE] ']","['21-17', '21-17']",WS,20180220,"Basel, Switzerland"
45,"['Kasper Antonsen', 'Niclas Nohr', 'Julien Scheiwiller', 'Iztok Utrosa']","['[DEN] ', '[DEN] ', '[SUI] ', '[SLO] ']","['21-12', '21-13']",MD,20180220,"Basel, Switzerland"
46,"['Lyanny Alessandra Mainaky', 'Sri Krishna Priya Kudaravalli']","['[INA] ', '[IND] ']","['21-11', '21-15']",WS,20180220,"Basel, Switzerland"
47,"['Rajiv Ouseph [1]', 'Abhishek Yelegar']","['[ENG] ', '[IND] ']","['21-14', '21-13']",MS,20180220,"Basel, Switzerland"
48,"['Beatriz Corrales [5]', 'Isabel Zhong']","['[ESP] ', '[USA] ']","['21-17', '21-14']",WS,20180220,"Basel, Switzerland"
49,"['Koki Watanabe', 'Lucas Claerbout']","['[JPN] ', '[FRA] ']","['14-21', '21-13', '21-14']",MS,20180220,"Basel, Switzerland"
50,"['Arnaud Merkle', 'Emil Holst [6]']","['[FRA] ', '[DEN] ']","['21-16', '12-21', '22-20']",MS,20180220,"Basel, Switzerland"
51,"['Lucas Corvee', 'Riichi Takeshita']","['[FRA] ', '[JPN] ']","['22-20', '21-11']",MS,20180220,"Basel, Switzerland"
52,"['Linda Efler', 'Olga Konon', 'Celine Burkart', 'Annika Horbach']","['[GER] ', '[GER] ', '[SUI] ', '[GER] ']","['21-7', '21-8']",WD,20180220,"Basel, Switzerland"
53,"['Alzbeta Basova', 'Michaela Fuchsova', 'Silvia Garino', 'Lisa Iversen']","['[CZE] ', '[CZE] ', '[ITA] ', '[ITA] ']","['21-13', '21-16']",WD,20180220,"Basel, Switzerland"
54,"['Aaron Chia', 'Wooi Yik Soh', 'Titon Gustaman', 'Stilian Makarski']","['[MAS] ', '[MAS] ', '[INA] ', '[BUL] ']","['16-21', '21-19', '21-7']",MD,20180220,"Basel, Switzerland"
55,"['Tinn Isriyanet', 'Kittisak Namdash', 'Matijs Dierickx', 'Freek Golinski']","['[THA] ', '[THA] ', '[BEL] ', '[BEL] ']","['21-17', '21-14']",MD,20180220,"Basel, Switzerland"
