,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Dmitriy Panarin', 'Innocent Kabagambe']","['[KAZ] ', '[UGA] ']","['21-2', '21-3']",MS - Qualification,20180222,"KAMPALA, Uganda"
1,"['Artur Niyazov', 'Moustafa Bumpenje']","['[KAZ] ', '[UGA] ']","['21-1', '21-2']",MS - Qualification,20180222,"KAMPALA, Uganda"
2,"['Augustus Owinyi', 'Jonathan Monda']","['[UGA] ', '[KEN] ']","['21-16', '21-19']",MS - Qualification,20180222,"KAMPALA, Uganda"
3,"['Alex Babu', 'Mohamed Abdelaziz Ouchefoun']","['[UGA] ', '[ALG] ']","['21-13', '21-9']",MS - Qualification,20180222,"KAMPALA, Uganda"
4,"['Victor Odra Munga', 'Nicholas Kayongo']","['[KEN] ', '[UGA] ']","['21-15', '21-10']",MS - Qualification,20180222,"KAMPALA, Uganda"
5,"['Khaitmurat Kulmatov', 'Denis Onyango']","['[KAZ] ', '[UGA] ']","['21-3', '21-5']",MS - Qualification,20180222,"KAMPALA, Uganda"
6,"['Mit Patel', 'Aziz Kitaka']","['[KEN] ', '[UGA] ']","['21-3', '21-5']",MS - Qualification,20180222,"KAMPALA, Uganda"
7,"['Amos Muyanja', 'Orijit Chaliha']","['[UGA] ', '[IND] ']",[],MS - Qualification,20180222,"KAMPALA, Uganda"
8,"['Adam Mubiru', 'Clement Gahongore']","['[UGA] ', '[BDI] ']","['21-5', '21-6']",MS - Qualification,20180222,"KAMPALA, Uganda"
9,"['Allan Nkire', 'Cliff Kamugisha']","['[UGA] ', '[UGA] ']","['21-8', '21-8']",MS - Qualification,20180222,"KAMPALA, Uganda"
10,"['Hanifa Hamuza', 'Afuwa Nandudu']","['[UGA] ', '[UGA] ']","['21-9', '21-9']",WS - Qualification,20180222,"KAMPALA, Uganda"
11,"['Tracy Naluwooza', 'Majida Mutesi']","['[UGA] ', '[UGA] ']","['21-13', '21-11']",WS - Qualification,20180222,"KAMPALA, Uganda"
12,"['Mable Namakoye', 'Rehema Nakalema']","['[UGA] ', '[UGA] ']","['22-20', '21-18']",WS - Qualification,20180222,"KAMPALA, Uganda"
13,"['Daisy Nakalyango', 'Bridget Nakasi']","['[UGA] ', '[UGA] ']","['21-8', '21-9']",WS - Qualification,20180222,"KAMPALA, Uganda"
14,"['Nafha Nasrullah [4]', 'Ronah Bayiga']","['[MDV] ', '[UGA] ']","['21-12', '21-13']",WS - Qualification,20180222,"KAMPALA, Uganda"
15,"['Fadilah Shamika Mohamed Rafi', 'Daisy Kabalungi']","['[UGA] ', '[UGA] ']","['21-10', '21-12']",WS - Qualification,20180222,"KAMPALA, Uganda"
16,"['Olivia Nakajja', 'Nicki Chan-Lam']","['[UGA] ', '[MRI] ']",[],WS - Qualification,20180222,"KAMPALA, Uganda"
17,"['Juma Akoth', 'Suzan Asano']","['[KEN] ', '[UGA] ']","['21-3', '21-6']",WS - Qualification,20180222,"KAMPALA, Uganda"
18,"['Friday Attama', 'John Wanyoike [1]']","['[UGA] ', '[KEN] ']",[],MS - Qualification,20180222,"KAMPALA, Uganda"
19,"['Muzafar Lubega [6]', 'Derrick Odida Odoch']","['[UGA] ', '[UGA] ']","['21-10', '21-17']",MS - Qualification,20180222,"KAMPALA, Uganda"
20,"['Israel Wanagalya [4]', 'Ian Senoga']","['[UGA] ', '[UGA] ']","['21-13', '21-13']",MS - Qualification,20180222,"KAMPALA, Uganda"
21,"['Edwin Njeri [3]', 'Paul Makande']","['[KEN] ', '[UGA] ']","['21-15', '19-21', '21-10']",MS - Qualification,20180222,"KAMPALA, Uganda"
22,"['Dmitriy Panarin', 'Arshath Mohamed Nazurudheen Vaheed']","['[KAZ] ', '[UGA] ']","['21-4', '21-4']",MS - Qualification,20180222,"KAMPALA, Uganda"
23,"['Artur Niyazov', 'Atwif Ssentamu']","['[KAZ] ', '[UGA] ']","['21-9', '21-8']",MS - Qualification,20180222,"KAMPALA, Uganda"
24,"['Niels Veenstra', 'Augustus Owinyi']","['[NED] ', '[UGA] ']","['21-7', '21-13']",MS - Qualification,20180222,"KAMPALA, Uganda"
25,"['Kalonde Charles [7]', 'Alex Babu']","['[ZAM] ', '[UGA] ']","['21-14', '21-23', '22-20']",MS - Qualification,20180222,"KAMPALA, Uganda"
26,"['Victor Odra Munga', 'Abdul Rashid Sserwadda']","['[KEN] ', '[UGA] ']","['21-6', '21-5']",MS - Qualification,20180222,"KAMPALA, Uganda"
27,"['Khaitmurat Kulmatov', 'Bruno Masaaba']","['[KAZ] ', '[UGA] ']","['21-3', '21-2']",MS - Qualification,20180222,"KAMPALA, Uganda"
28,"['Mit Patel', 'Patrick Kinyua Mbogo [5]']","['[KEN] ', '[KEN] ']","['21-11', '21-18']",MS - Qualification,20180222,"KAMPALA, Uganda"
