,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Pacharapol Nipornram', 'Ruethaichanok Laisuan', 'Yehezkiel Fritz Mainaky [1]', 'Lyanny Alessandra Mainaky']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-14', '21-13']",XD - Qualification,20180320
1,"['Kenya Mitsuhashi', 'Naru Shinoya', 'Chang Ching-Yuan', 'Liu Chiao-Yun']","['[JPN] ', '[JPN] ', '[TPE] ', '[TPE] ']","['21-14', '21-19']",XD - Qualification,20180320
2,"['Ahmad Maziri Mazlan [3]', 'Lim Peiy Yee, Payee', 'Pham Hong Nam', 'Thi Mai Anh Nguyen']","['[MAS] ', '[MAS] ', '[VIE] ', '[VIE] ']","['21-19', '25-23']",XD - Qualification,20180320
3,"['Yang Ming-Tse', 'Sung Shuo Yun', 'Chen Sihang', 'Zha Yunqin']","['[TPE] ', '[TPE] ', '[CHN] ', '[CHN] ']","['21-8', '21-15']",XD - Qualification,20180320
4,"['Rinov Rivaldy', 'Pitha Haningtyas Mentari', 'Setthanan Piyawatcharavijit', 'Supamart Mingchua']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-12', '21-15']",XD - Qualification,20180320
5,"['An Thanh Huy [4]', 'Pham Ngoc Bich', 'Chen Kuan-Hsien', 'Lee Wei Tzu']","['[VIE] ', '[VIE] ', '[TPE] ', '[TPE] ']","['21-17', '21-19']",XD - Qualification,20180320
6,"['Irfan Fadhilah', 'Pia Zebadiah Bernadet', 'Mohd Razlan Shah Mohd Ridzuan Shah', 'Khoo Erica Pei Shan']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-13', '21-15']",XD - Qualification,20180320
7,"['Parinyawat Thongnuam', 'Kittipak Dubthuk', 'Chi Yu Jen [2]', 'Hsieh Pei Shan']","['[THA] ', '[THA] ', '[TPE] ', '[TPE] ']","['21-15', '21-16']",XD - Qualification,20180320
8,"['Rajat Rathore', 'Tran Quang Dinh']","['[IND] ', '[VIE] ']","['21-18', '21-13']",MS - Qualification,20180320
9,"['Gatjra Piliang Fiqihila Cupu', 'Phuah Vincent Cheng Wei']","['[INA] ', '[MAS] ']","['21-15', '21-14']",MS - Qualification,20180320
10,"['Hua Chun Liang', 'Hardik Makkar']","['[TPE] ', '[IND] ']","['21-12', '21-15']",MS - Qualification,20180320
11,"['Soh Shi Xuan Dominic', 'Nguyen Xuan Manh']","['[SGP] ', '[VIE] ']","['21-14', '21-9']",MS - Qualification,20180320
12,"['Anant Shivam Jindal', 'Adnan Ebrahim']","['[IND] ', '[BRN] ']","['12-21', '21-11', '21-13']",MS - Qualification,20180320
13,"['Lai Yu-Hua [8]', 'Pui Pang Fong']","['[TPE] ', '[MAC] ']","['21-16', '21-12']",MS - Qualification,20180320
14,"['Nyoman Tryadnya Arya Kurniawan', 'Nguyen Thien Loc']","['[INA] ', '[VIE] ']","['16-21', '21-12', '21-18']",MS - Qualification,20180320
15,"['Takuma Obayashi', 'Mayank Ahuja']","['[JPN] ', '[IND] ']","['21-7', '21-12']",MS - Qualification,20180320
16,"['Le Thanh Lam', 'Vichayapong Kanjanakeereewong']","['[VIE] ', '[THA] ']","['23-25', '21-18', '21-15']",MS - Qualification,20180320
17,"['Yang Chih Chieh [4]', 'Jhotiswaran Karupathevan']","['[TPE] ', '[MAS] ']","['21-17', '21-10']",MS - Qualification,20180320
18,"['Hung Chun Chung', 'Muhammad Naim Ahmad Fairuzly']","['[TPE] ', '[MAS] ']","['21-12', '21-17']",MS - Qualification,20180320
19,"['Muhammad Bayu Pangisthu [7]', 'Nguyen Hai Dang']","['[INA] ', '[VIE] ']","['21-13', '21-15']",MS - Qualification,20180320
20,"['Setthanan Piyawatcharavijit', 'Truong Thanh Long [5]']","['[THA] ', '[VIE] ']","['21-19', '21-17']",MS - Qualification,20180320
21,"['Yehezkiel Fritz Mainaky', 'Tang Kai Ho [6]']","['[INA] ', '[ENG] ']","['21-11', '21-16']",MS - Qualification,20180320
22,"['Liu Haichao', 'Praranat Praputtham']","['[CHN] ', '[THA] ']","['21-7', '21-10']",MS - Qualification,20180320
23,"['Phanuwat Srimanta', 'Kevin Arokia Walter']","['[THA] ', '[IND] ']","['29-27', '21-19']",MS - Qualification,20180320
24,"['Porntip Buranaprasertsuk', 'Thi Phuong Hong Dinh']","['[THA] ', '[VIE] ']","['21-18', '16-21', '21-19']",WS - Qualification,20180320
25,"['Thet Htar Thuzar', 'Maharani Sekar Batari']","['[MYA] ', '[INA] ']","['21-9', '21-15']",WS - Qualification,20180320
26,"['Peng Li Ting [4]', 'Isra Faradilla']","['[TPE] ', '[INA] ']","['21-18', '21-15']",WS - Qualification,20180320
27,"['Chasinee Korepap', 'Tran Thi Phuong Thuy']","['[THA] ', '[VIE] ']","['21-11', '21-9']",WS - Qualification,20180320
28,"['Liang Ting Yu', 'Benyapa Aimsaard']","['[TPE] ', '[THA] ']","['22-20', '21-12']",WS - Qualification,20180320
29,"['Sri Fatmawati [3]', 'Lin Ying Chun']","['[INA] ', '[TPE] ']","['21-19', '21-14']",WS - Qualification,20180320
30,"['Pardeshi Shreyanshi', 'Made Deya Surya Saraswati']","['[IND] ', '[INA] ']","['24-22', '21-10']",WS - Qualification,20180320
31,"['Aurum Oktavia Winata', 'Chen Hsiao Huan [2]']","['[INA] ', '[TPE] ']","['21-14', '23-21']",WS - Qualification,20180320
32,"['Nguyen Le Khanh', 'Nguyen Phuc Dan Vy', 'Ao I Kuan', 'Kuan Chi Leng']","['[VIE] ', '[VIE] ', '[MAC] ', '[MAC] ']","['21-12', '21-17']",WD - Qualification,20180320
33,"['Liu Chiao-Yun', 'Wu Yu Chen', 'Pattarasuda Chaiwan', 'Chananchida Jucharoen']","['[TPE] ', '[TPE] ', '[THA] ', '[THA] ']","['21-16', '21-10']",WD - Qualification,20180320
34,"['Chen Xin-Yuan', 'Wu Yuan Cheng', 'Lee Jian Liang', 'Wong Guang Liang Jason']","['[TPE] ', '[TPE] ', '[SGP] ', '[SGP] ']","['21-18', '19-21', '21-15']",MD - Qualification,20180320
35,"['Hendra Gustiawan', 'Ade Bagus Sapta Ramadhany', 'Ahmad Maziri Mazlan', 'Mohd Razlan Shah Mohd Ridzuan Shah']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['15-21', '21-17', '21-19']",MD - Qualification,20180320
36,"['Akira Koga', 'Taichi Saito', 'Altof Barriq [4]', 'Reinard Dhanriano']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-16', '21-18']",MD - Qualification,20180320
37,"['Lu Chia Hung', 'Shih Kuei Chun', 'Tran Quang Dinh', 'Vu Minh Phuc']","['[TPE] ', '[TPE] ', '[VIE] ', '[VIE] ']","['21-18', '21-12']",MD - Qualification,20180320
38,"['Muhammad Shohibul Fikri', 'Bagas Maulana', 'Iek U Ieong', 'Pui Pang Fong']","['[INA] ', '[INA] ', '[MAC] ', '[MAC] ']","['21-9', '21-10']",MD - Qualification,20180320
39,"['Hsueh Hsuan Yi [3]', 'Lin Chia Hsuan', 'Ian Wong Jien Sern', 'Ng Eng Cheong']","['[TPE] ', '[TPE] ', '[MAS] ', '[MAS] ']","['21-14', '21-17']",MD - Qualification,20180320
40,"['Pitha Haningtyas Mentari [1]', 'Angelica Wiratama', 'Lim Peiy Yee, Payee', 'Lim Peiy Zhean']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-18', '21-16']",WD - Qualification,20180320
41,"['Serena Kani', 'Virni Putri', 'B Venkata Ramya Tulasi Bailupudi [3]', 'Varsha V Belawadi']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-7', '21-12']",WD - Qualification,20180320
42,"['Dhea Bunga Anjani', 'Dinda Dwi Cahyaning', 'Ploynaputh Anandechjurakun', 'Mattana Hemrachatanun']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-17', '21-13']",WD - Qualification,20180320
43,"['Abiyyu Fauzan Majid', 'Wirawan Ihsan Adam', 'Parinyawat Thongnuam', 'Natchanon Tulamok']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-19', '21-18']",MD - Qualification,20180320
44,"['Rinov Rivaldy', 'Yeremia Erich Yoche Yacob', 'Lin Shang Kai', 'Tseng Min Hao']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-19', '14-21', '21-18']",MD - Qualification,20180320
45,"['Nguyen Thi Phuong Ha [4]', 'Nguyen Thuy Linh', 'Denisa Dwisyawaliah Budiani', 'Nahla Aufa Dhia Ulhaq']","['[VIE] ', '[VIE] ', '[INA] ', '[INA] ']",[],WD - Qualification,20180320
46,"['Shela Devi Aulia', 'Pia Zebadiah Bernadet', 'Than Van Anh', 'Tran Thi Phuong Thuy']","['[INA] ', '[INA] ', '[VIE] ', '[VIE] ']","['21-13', '21-12']",WD - Qualification,20180320
47,"['Ho Thi Trang', 'Nguyen Thi Thu Minh', 'Pham Ngoc Bich', 'Pham Thi Ngoc Mai']","['[VIE] ', '[VIE] ', '[VIE] ', '[VIE] ']","['18-21', '21-19', '21-10']",WD - Qualification,20180320
48,"['Nguyen Tien Minh [2]', 'Nyoman Tryadnya Arya Kurniawan']","['[VIE] ', '[INA] ']","['21-18', '21-13']",MS,20180320
49,"['Kittipong Imnark', 'Pratul Joshi']","['[THA] ', '[IND] ']","['21-13', '21-19']",MS,20180320
50,"['Krishna Adi Nugraha', 'Masita Mahmudin', 'Hee Yong Kai Terry [1]', 'Tan Wei Han']","['[INA] ', '[INA] ', '[SGP] ', '[SGP] ']","['21-14', '21-16']",XD,20180320
51,"['Rinov Rivaldy', 'Pitha Haningtyas Mentari', 'Po Li-Wei', 'Chang Ching Hui']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-13', '21-11']",XD,20180320
52,"['Do Tuan Duc [4]', 'Pham Nhu Thao', 'Kenya Mitsuhashi', 'Naru Shinoya']","['[VIE] ', '[VIE] ', '[JPN] ', '[JPN] ']","['22-20', '21-16']",XD,20180320
53,"['Wong Guang Liang Jason', 'Putri Sari Dewi Citra', 'Lu Chia Hung', 'Lin Xiao Min']","['[SGP] ', '[SGP] ', '[TPE] ', '[TPE] ']","['21-14', '21-15']",XD,20180320
54,"['Lin Shang Kai [7]', 'Hu Ling Fang', 'Lee Jian Yi', 'Lee Zhi Qing']","['[TPE] ', '[TPE] ', '[MAS] ', '[MAS] ']","['21-11', '21-9']",XD,20180320
55,"['Natchanon Tulamok', 'Natcha Saengchote', 'Ahmad Maziri Mazlan', 'Lim Peiy Yee, Payee']","['[THA] ', '[THA] ', '[MAS] ', '[MAS] ']","['19-21', '21-16', '21-19']",XD,20180320
56,"['Pham Cao Cuong [8]', 'Korakrit Laotrakul']","['[VIE] ', '[THA] ']","['21-15', '21-17']",MS,20180320
57,"['Chen Chi Ting', 'Yehezkiel Fritz Mainaky']","['[TPE] ', '[INA] ']","['21-8', '21-6']",MS,20180320
58,"['Kohei Gondo [5]', 'Ayane Kurihara', 'An Thanh Huy', 'Pham Ngoc Bich']","['[JPN] ', '[JPN] ', '[VIE] ', '[VIE] ']","['21-10', '21-9']",XD,20180320
59,"['Amri Syahnawi', 'Shela Devi Aulia', 'Lee Chia-Han', 'Kuo Yu Wen']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-19', '21-15']",XD,20180320
60,"['Chang Ko-Chi', 'Cheng Chi Ya', 'Danny Bawa Chrisnanta [6]', 'Wong Jia Ying Crystal']","['[TPE] ', '[TPE] ', '[SGP] ', '[SGP] ']","['21-11', '24-22']",XD,20180320
61,"['Fachryza Abimanyu', 'Bunga Fitriani Romadhini', 'Yang Po-Hsuan', 'Lin Wan Ching']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-19', '13-21', '22-20']",XD,20180320
62,"['Yang Ming-Tse', 'Sung Shuo Yun', 'Yogendran Khrishnan [3]', 'Prajakta Sawant']","['[TPE] ', '[TPE] ', '[MAS] ', '[IND] ']","['12-21', '21-17', '23-21']",XD,20180320
63,"['Lim Zhen Ting', 'Chin Kah Mun', 'Parinyawat Thongnuam', 'Kittipak Dubthuk']","['[MAS] ', '[MAS] ', '[THA] ', '[THA] ']","['12-21', '22-20', '21-12']",XD,20180320
64,"['Tseng Min Hao [8]', 'Cheng Yu Chieh', 'Bimo Adi Prakoso', 'Jin Yujia']","['[TPE] ', '[TPE] ', '[SGP] ', '[SGP] ']","['21-13', '21-16']",XD,20180320
65,"['Lin Chia Yu', 'Lee Chih Chen', 'Yeremia Erich Yoche Yacob', 'Angelica Wiratama']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-16', '21-15']",XD,20180320
66,"['Evgenij Dremin [2]', 'Evgenia Dimova', 'Irfan Fadhilah', 'Pia Zebadiah Bernadet']","['[RUS] ', '[RUS] ', '[INA] ', '[INA] ']","['14-21', '21-12', '21-15']",XD,20180320
67,"['Kento Momota [1]', 'Shih Kuei Chun']","['[JPN] ', '[TPE] ']","['21-14', '21-7']",MS,20180320
68,"['Loh Kean Yew', 'Rajat Rathore']","['[SGP] ', '[IND] ']","['21-14', '21-7']",MS,20180320
69,"['Saputra Vicky Angga', 'Lim Chi Wing [10]']","['[INA] ', '[MAS] ']","['21-14', '20-22', '21-15']",MS,20180320
70,"['Hsueh Hsuan Yi', 'Anant Shivam Jindal']","['[TPE] ', '[IND] ']","['21-14', '21-11']",MS,20180320
71,"['Panji Ahmad Maulana [7]', 'Le Thanh Lam']","['[INA] ', '[VIE] ']","['21-15', '21-12']",MS,20180320
72,"['Adulrach Namkul [13]', 'Phanuwat Srimanta']","['[THA] ', '[THA] ']","['21-12', '21-11']",MS,20180320
73,"['Tan Jia Wei', 'Le Duc Phat']","['[MAS] ', '[VIE] ']","['21-10', '21-18']",MS,20180320
74,"['Lin Yu Hsien [4]', 'K. Ajay Kumar']","['[TPE] ', '[IND] ']",[],MS,20180320
75,"['Pacharapol Nipornram', 'Ruethaichanok Laisuan', 'Wu Yuan Cheng', 'Yang Ching Tun']","['[THA] ', '[THA] ', '[TPE] ', '[TPE] ']","['21-14', '21-17']",XD,20180320
76,"['Lai Yu-Hua', 'Aljallad Ahmad']","['[TPE] ', '[SYR] ']","['21-17', '21-9']",MS,20180320
77,"['Leong Jun Hao [15]', 'Noppanai Singrueang']","['[MAS] ', '[THA] ']","['21-19', '21-14']",MS,20180320
78,"['Krishna Adi Nugraha', 'Hua Chun Liang']","['[INA] ', '[TPE] ']","['21-16', '21-15']",MS,20180320
79,"['Gatjra Piliang Fiqihila Cupu', 'Cheam June Wei [14]']","['[INA] ', '[MAS] ']","['21-17', '21-18']",MS,20180320
80,"['Chi Yu Jen', 'Kartikey Gulshan Kumar']","['[TPE] ', '[IND] ']","['21-12', '21-17']",MS,20180320
81,"['Henrikho Kho Wibowo', 'B. R. Sankeerth']","['[INA] ', '[CAN] ']","['21-19', '21-11']",MS,20180320
82,"['Chong Yee Han', 'Takuma Obayashi']","['[MAS] ', '[JPN] ']","['5-21', '21-17', '21-15']",MS,20180320
83,"['Kantawat Leelavechabutr', 'Lu Chia Hung [12]']","['[THA] ', '[TPE] ']","['21-12', '21-19']",MS,20180320
84,"['Satheishtharan Ramachandran', 'Daniel S. Farid']","['[MAS] ', '[IND] ']","['21-12', '21-15']",MS,20180320
85,"['Firman Abdul Kholik [6]', 'Muhammad Bayu Pangisthu']","['[INA] ', '[INA] ']","['10-21', '21-16', '21-14']",MS,20180320
86,"['Chico Aura Dwi Wardoyo', 'Chang En Chia']","['[INA] ', '[TPE] ']","['11-21', '21-18', '21-16']",MS,20180320
87,"['Goh Giap Chin [11]', 'Liu Haichao']","['[MAS] ', '[CHN] ']","['21-8', '12-21', '21-18']",MS,20180320
88,"['Yang Chih Chieh', 'Wong Hin Shun']","['[TPE] ', '[ENG] ']","['21-8', '21-8']",MS,20180320
89,"['Pannawit Thongnuam [3]', 'Kartik Jindal']","['[THA] ', '[IND] ']","['21-13', '21-14']",MS,20180320
90,"['Saran Jamsri', 'Muhammad Elaf Wei Tan']","['[THA] ', '[SGP] ']","['21-12', '21-14']",MS,20180320
91,"['Ng Zin Rei Ryan [16]', 'Setthanan Piyawatcharavijit']","['[SGP] ', '[THA] ']","['21-17', '13-21', '21-12']",MS,20180320
92,"['Wisnu Yuli Prasetyo', 'Hung Chun Chung']","['[INA] ', '[TPE] ']","['21-9', '21-18']",MS,20180320
93,"['Soong Joo Ven [5]', 'Chia Hao Lee']","['[MAS] ', '[TPE] ']","['11-21', '21-16', '21-18']",MS,20180320
94,"['Lin Chia Hsuan', 'Soh Shi Xuan Dominic']","['[TPE] ', '[SGP] ']","['21-14', '21-12']",MS,20180320
