,COUNTRIES,EVENT,PLAYERS,SCORES,match_location,match_week,Winning Country,Losing Country,Winning Country Coord_x,Winning Country Coord_y,Losing Country Coord_x,Losing Country Coord_y,match_location Coord_x,match_location Coord_y,Winner Distance,Loser Distance,WINNER,LOSER,Wind - Losed,Winner_Closer_ind,match_location_cd,Winner Home,Loser Home
9058,"['[JPN] ', '[CHN] ']",MS,"['Onodera Yusuke', 'Chen Haoyang']","['11-5', '13-11', '11-6']","Hainan, China",20170110,JPN,CHN,139.27149500000007,36.655226998000046,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,3448.06647198984,835.1496409239792,Onodera Yusuke,Chen Haoyang,2612.9168310658606,0,CHN,0,1
9117,"['[CHN] ', '[CHN] ']",MS,"['Zhao Junpeng [2]', 'Zhu Siyuan']","['11-7', '6-11', '11-7', '6-11', '11-5']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Zhao Junpeng,Zhu Siyuan,0.0,0,CHN,1,1
9113,"['[CHN] ', '[CHN] ']",MS,"['Sun Feixiang', 'Wu Xin']","['11-7', '11-6', '11-7']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Sun Feixiang,Wu Xin,0.0,0,CHN,1,1
9108,"['[CHN] ', '[JPN] ']",MS,"['Zhao Junpeng [2]', 'Onodera Yusuke']","['11-5', '13-12', '11-3']","Hainan, China",20170110,CHN,JPN,103.93002703300004,36.56734839800004,139.27149500000007,36.655226998000046,109.60000000000008,19.20000000000005,835.1496409239792,3448.06647198984,Zhao Junpeng,Onodera Yusuke,-2612.9168310658606,1,CHN,1,0
9104,"['[CHN] ', '[CHN] ']",MS,"['Wu Xin', 'Guo Kai']","['11-1', '11-3', '13-11']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Wu Xin,Guo Kai,0.0,0,CHN,1,1
9102,"['[CHN] ', '[CHN] ']",MS,"['Sun Feixiang', 'Gu Junfeng']","['5-11', '11-6', '11-3', '11-7']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Sun Feixiang,Gu Junfeng,0.0,0,CHN,1,1
9098,"['[CHN] ', '[THA] ']",MS,"['Zhu Siyuan', 'Wangcharoen Kantaphon']","['11-8', '11-8', '3-11', '13-10']","Hainan, China",20170110,CHN,THA,103.93002703300004,36.56734839800004,101.01223920600006,15.116802787000038,109.60000000000008,19.20000000000005,835.1496409239792,962.131974196168,Zhu Siyuan,Wangcharoen Kantaphon,-126.98233327218884,1,CHN,1,0
9085,"['[CHN] ', '[CHN] ']",MS,"['Zhao Junpeng [2]', 'Haichao Liu']","['11-4', '11-8', '11-8']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Zhao Junpeng,Haichao Liu,0.0,0,CHN,1,1
9084,"['[CHN] ', '[INA] ']",MS,"['Sun Feixiang', 'Andre Marteen']","['11-6', '12-13', '11-4', '11-6']","Hainan, China",20170110,CHN,INA,103.93002703300004,36.56734839800004,113.91586500000004,-0.989818181999965,109.60000000000008,19.20000000000005,835.1496409239792,954.360258700472,Sun Feixiang,Andre Marteen,-119.21061777649277,1,CHN,1,0
9074,"['[CHN] ', '[CHN] ']",MS,"['Zhu Siyuan', 'Hongyang Weng']","['11-4', '8-11', '13-11', '11-2']","Hainan, China",20170110,CHN,CHN,103.93002703300004,36.56734839800004,103.93002703300004,36.56734839800004,109.60000000000008,19.20000000000005,835.1496409239792,835.1496409239792,Zhu Siyuan,Hongyang Weng,0.0,0,CHN,1,1
