,Country Code
0,
1,BAN
2,AFG
3,PAK
4,ALG
5,IND
6,ESP
7,BEN
8,PYF
9,TUN
10,NOR
11,TTO
12,WAL
13,AUT
14,ZIM
15,TPE
16,POL
17,SRI
18,RSA
19,SWE
20,BAR
21,LAO
22,IRQ
23,MAC
24,CRO
25,SLO
26,ENG
27,CIV
28,BOL
29,GUA
30,ISL
31,AUS
32,BRN
33,CAL
34,SUR
35,AZE
36,KAZ
37,ISR
38,JOR
39,GIB
40,VIE
41,SRB
42,DOM
43,REU
44,NEP
45,GER
46,FRA
47,SUI
48,THA
49,MYA
50,LUX
51,SYR
52,DEN
53,PER
54,UZB
55,ZAM
56,ESA
57,CZE
58,PAN
59,MLT
60,HKG
61,UKR
62,MDV
63,EGY
64,FIN
65,BLR
66,BDI
67,SVK
68,NED
69,ARM
70,BRU
71,NGR
72,HUN
73,FIJ
74,KOR
75,BRA
76,MAD
77,RUS
78,MEX
79,MRI
80,CYP
81,PHI
82,ARG
83,MAS
84,LTU
85,NZL
86,CMR
87,CGO
88,UGA
89,ECU
90,CRC
91,IRL
92,ITA
93,JPN
94,IRI
95,KEN
96,GHA
97,COL
98,POR
99,LAT
100,CHN
101,SGP
102,MDA
103,JAM
104,MAR
105,COK
106,MGL
107,USA
108,EST
109,ROU
110,CHI
111,GRE
112,CUB
113,SEY
114,BEL
115,COD
116,BUL
117,CAN
118,SUD
119,GLD
120,BOT
121,INA
122,TUR
123,SCO
124,GUM
