,Country or Area Name,ISO ALPHA-3 Code,Coordinates
0,Afghanistan,AFG,"(66.02471179700007, 33.831137065000064)"
1,Aland Islands,ALA,"(20.000000000000057, 60.25000000000006)"
2,Albania,ALB,"(20.06420643100006, 41.13455328400005)"
3,Algeria,DZA,"(2.6799659330000623, 28.144113769000057)"
4,American Samoa,ASM,"(-170.71811612199997, -14.30068805999997)"
5,Andorra,AND,"(1.5762863020000282, 42.54530320100008)"
6,Angola,AGO,"(17.545335193000028, -12.293655625999975)"
7,Anguilla,AIA,"(-63.05962295599994, 18.224602780000055)"
8,Antarctica,ATA,"(16.40626000000003, -78.15855999999997)"
9,Antigua and Barbuda,ATG,"(-61.79871012099994, 17.077664637000055)"
10,Argentina,ARG,"(-65.07154210799996, -35.49575818399995)"
11,Armenia,ARM,"(44.94022131100007, 40.293084855000075)"
12,Aruba,ABW,"(-69.97050301699994, 12.50908537500004)"
13,Australia,AUS,"(134.48403119800003, -25.70993156999998)"
14,Austria,AUT,"(14.137076948000072, 47.58581000500004)"
15,Azerbaijan,AZE,"(47.52870740700007, 40.29016196900005)"
16,Bahamas,BHS,"(-77.37121999999994, 25.040820000000053)"
17,Bahrain,BHR,"(50.564426954000055, 26.05185877400004)"
18,Bangladesh,BGD,"(90.28845390100008, 23.804670475000023)"
19,Barbados,BRB,"(-59.55642447799994, 13.172221979000028)"
20,Belarus,BLR,"(28.050095379000027, 53.542208696000046)"
21,Belgium,BEL,"(4.661070427000027, 50.640682937000065)"
22,Belize,BLZ,"(-88.69496155299998, 17.209050260000026)"
23,Benin,BEN,"(2.33919688900005, 9.661949812000046)"
24,Bermuda,BMU,"(-64.77004183699995, 32.30681773200007)"
25,Bhutan,BTN,"(90.42623098500007, 27.41482682700007)"
26,Bolivia,BOL,"(-64.59749402799997, -16.67085566199995)"
27,Bosnia and Herzegovina,BIH,"(17.785249916000055, 44.168254123000054)"
28,Botswana,BWA,"(23.814376269000036, -22.187290210999947)"
29,Bouvet Island,BVT,"(3.400000000000034, -54.433329999999955)"
30,Brazil,BRA,"(-53.073466888999974, -10.769946428999958)"
31,British Virgin Islands,VGB,"(-64.59420749999998, 18.430308339000078)"
32,British Indian Ocean Territory,IOT,"(72.38703250000003, -7.2992616929999485)"
33,Brunei Darussalam,BRN,"(114.7507502090001, 4.520762436000041)"
34,Bulgaria,BGR,"(25.23641224000005, 42.75500839100005)"
35,Burkina Faso,BFA,"(-1.7441041949999772, 12.286319460000072)"
36,Burundi,BDI,"(29.926441276000048, -3.322303981999937)"
37,Cambodia,KHM,"(104.91411439000007, 12.707830461000071)"
38,Cameroon,CMR,"(12.737869296000042, 5.672331431000032)"
39,Canada,CAN,"(-113.64257999999995, 60.108670000000075)"
40,Cape Verde,CPV,"(-23.624671987999932, 15.08362928200006)"
41,Cayman Islands,CYM,"(-81.24322039299994, 19.31842329500006)"
42,Central African Republic,CAF,"(20.485481521000054, 6.57416257400007)"
43,Chad,TCD,"(18.674165747000075, 15.376264850000041)"
44,Chile,CHL,"(-70.99999999999994, -29.999999999999943)"
45,China,CHN,"(103.93002703300004, 36.567348398000036)"
46,"Hong Kong, SAR China",HKG,"(87.00000000000006, 28.700000000000045)"
47,"Macao, SAR China",MAC,"(113.55972000000008, 22.15778000000006)"
48,Christmas Island,CXR,"(105.63647206400009, -10.485355206999941)"
49,Cocos (Keeling) Islands,CCK,"(96.82848750000005, -12.184194269999978)"
50,Colombia,COL,"(-73.07575492399997, 3.901115804000028)"
51,Comoros,COM,"(43.35421636400008, -11.662553529999968)"
52,Congo (Brazzaville),COG,"(15.26039000000003, -4.279339999999934)"
53,"Congo, (Kinshasa)",COD,"(23.615704764000043, -2.8621850039999686)"
54,Cook Islands,COK,"(-159.77802087599997, -21.234657996999942)"
55,Costa Rica,CRI,"(-84.19631843899998, 9.972837179000066)"
56,Côte d'Ivoire,CIV,"(-5.554728587999932, 7.629182541000034)"
57,Croatia,HRV,"(15.435623834000069, 45.11867958500005)"
58,Cuba,CUB,"(-79.49999999999994, 22.000000000000057)"
59,Cyprus,CYP,"(33.22305413400005, 35.04996328500005)"
60,Czech Republic,CZE,"(15.331770143000028, 49.738854023000044)"
61,Denmark,DNK,"(10.053934054000024, 55.959300779000046)"
62,Djibouti,DJI,"(42.58017759000006, 11.733763645000067)"
63,Dominica,DMA,"(-61.35007388199995, 15.434657276000053)"
64,Dominican Republic,DOM,"(-70.49003617099999, 18.89668483400004)"
65,Ecuador,ECU,"(-78.77523855199996, -1.428836290999925)"
66,Egypt,EGY,"(29.870494860000065, 26.512273493000066)"
67,El Salvador,SLV,"(-88.86567455199997, 13.733468471000037)"
68,Equatorial Guinea,GNQ,"(10.333091866000075, 1.7026148510000212)"
69,Eritrea,ERI,"(38.860666913000045, 15.362796794000076)"
70,Estonia,EST,"(25.477224001000025, 58.67204078700007)"
71,Ethiopia,ETH,"(39.644750130000034, 8.619088938000061)"
72,Falkland Islands (Malvinas),FLK,"(-59.166669999999954, -51.74999999999994)"
73,Faroe Islands,FRO,"(-6.892303173999949, 62.07111675700003)"
74,Fiji,FJI,"(177.96333137200008, -17.835402366999972)"
75,Finland,FIN,"(26.158834376000073, 64.52251280100006)"
76,France,FRA,"(2.5505399530000545, 46.55941704400004)"
77,French Guiana,GUF,"(-53.23312207499998, 3.921724136000023)"
78,French Polynesia,PYF,"(-149.40097329699998, -17.67739793399994)"
79,French Southern Territories,ATF,"(69.64303000000007, -49.60647870499997)"
80,Gabon,GAB,"(11.781759891000036, -0.6239040589999263)"
81,Gambia,GMB,"(-15.380941536999956, 13.448008972000025)"
82,Georgia,GEO,"(-83.44453440099994, 32.648324554000055)"
83,Germany,DEU,"(10.39227793200007, 51.11063104900006)"
84,Ghana,GHA,"(-1.2497723419999716, 7.980995107000069)"
85,Gibraltar,GIB,"(-5.348661838999931, 36.13600766900004)"
86,Greece,GRC,"(22.000000000000057, 39.00000000000006)"
87,Greenland,GRL,"(-41.34560937799995, 74.72711633200004)"
88,Grenada,GRD,"(-61.659644958999934, 12.151965053000026)"
89,Guadeloupe,GLP,"(-61.65011999999996, 16.14475253100005)"
90,Guam,GUM,"(144.77762780500007, 13.443563908000044)"
91,Guatemala,GTM,"(-90.36397945999994, 15.697237961000042)"
92,Guernsey,GGY,"(-2.522373039999934, 49.48120934000008)"
93,Guinea,GIN,"(-10.942500889999963, 10.435445941000069)"
94,Guinea-Bissau,GNB,"(-14.984960920999981, 12.010130157000049)"
95,Guyana,GUY,"(-58.97538657499996, 4.796422680000035)"
96,Haiti,HTI,"(-72.41666999999995, 19.000000000000057)"
97,Heard and Mcdonald Islands,HMD,"(73.51951928300008, -53.09309947299994)"
98,Holy See (Vatican City State),VAT,"(12.45330000000007, 41.90225000000004)"
99,Honduras,HND,"(-86.60026424299997, 14.824173968000025)"
100,Hungary,HUN,"(19.424531700000045, 47.16708877000008)"
101,Iceland,ISL,"(-18.582382345999974, 64.98695685900003)"
102,India,IND,"(79.44332654800007, 23.379379735000043)"
103,Indonesia,IDN,"(113.91586500000005, -0.989818181999965)"
104,"Iran, Islamic Republic of",IRN,"(54.305910263000044, 32.55801995200005)"
105,Iraq,IRQ,"(43.77717241800008, 33.03897467000007)"
106,Ireland,IRL,"(-8.14600614699998, 53.17587984600004)"
107,Isle of Man,IMN,"(-4.538760937999939, 54.22823097300005)"
108,Israel,ISR,"(34.97921769200008, 31.97771151200004)"
109,Italy,ITA,"(12.833330000000046, 42.833330000000046)"
110,Jamaica,JAM,"(-77.31110640499998, 18.157695292000028)"
111,Japan,JPN,"(139.27149500000007, 36.655226998000046)"
112,Jersey,JEY,"(-2.1327190749999545, 49.21402591200007)"
113,Jordan,JOR,"(36.78810430300007, 31.248189480000065)"
114,Kazakhstan,KAZ,"(67.19504548200007, 48.18310616400004)"
115,Kenya,KEN,"(37.88969855200003, 0.5284306580000475)"
116,Kiribati,KIR,"(-157.35793263799997, 1.8518405030000622)"
117,Korea (North),PRK,"(-102.61972999999995, 22.743120000000033)"
118,Korea (South),KOR,"(-102.62355999999994, 22.739690000000053)"
119,Kuwait,KWT,"(47.61216588100007, 29.355337252000027)"
120,Kyrgyzstan,KGZ,"(74.46759424400005, 41.43197845000003)"
121,Lao PDR,LAO,"(103.76805746500008, 18.49549827900006)"
122,Latvia,LVA,"(24.926839006000023, 56.85460987000005)"
123,Lebanon,LBN,"(35.893427744000064, 33.92144516600007)"
124,Lesotho,LSO,"(28.24669362800006, -29.582324937999942)"
125,Liberia,LBR,"(-9.31038674499996, 6.447342577000029)"
126,Libya,LBY,"(18.030819147000045, 27.041821576000075)"
127,Liechtenstein,LIE,"(9.553182027000048, 47.14114224000008)"
128,Lithuania,LTU,"(23.900396649000072, 55.33693608100003)"
129,Luxembourg,LUX,"(6.092325247000076, 49.776828429000034)"
130,"Macedonia, Republic of",MKD,"(-70.18805999999995, -3.883329999999944)"
131,Madagascar,MDG,"(46.69788267100006, -19.37694392999998)"
132,Malawi,MWI,"(34.24073561300003, -13.50952235099993)"
133,Malaysia,MYS,"(112.50000000000011, 2.500000000000057)"
134,Maldives,MDV,"(73.50928000000005, 4.175240000000031)"
135,Mali,MLI,"(-3.5204716629999666, 17.362972883000054)"
136,Malta,MLT,"(14.400072590000036, 35.92254885600005)"
137,Marshall Islands,MHL,"(171.2953100000001, 7.069111712000051)"
138,Martinique,MTQ,"(-61.01838056199995, 14.653133328000024)"
139,Mauritania,MRT,"(-10.331488709999974, 20.25950735200007)"
140,Mauritius,MUS,"(57.57181746400005, -20.283556218999934)"
141,Mayotte,MYT,"(45.147848887000066, -12.820609210999976)"
142,Mexico,MEX,"(-102.54835341899997, 23.952824990000067)"
143,"Micronesia, Federated States of",FSM,"(158.22751848500002, 6.880382388000044)"
144,Moldova,MDA,"(28.46370618900005, 47.20102827100004)"
145,Monaco,MCO,"(7.424355000000048, 43.73170451200008)"
146,Mongolia,MNG,"(103.06763313100004, 46.83469147400007)"
147,Montenegro,MNE,"(19.25209946500007, 42.796154744000034)"
148,Montserrat,MSR,"(-62.18928012099997, 16.739171964000036)"
